benchmark,qubits,gates,name,added gate,time(s)
QUKENO_sycamore_53QBT_gate_Sycamore_large_opt1_0_1.5_no.4,53,20,EffectiveQM_abalation_bridge,0.0,0.2092,
QUKENO_sycamore_53QBT_gate_Sycamore_large_opt1_0_1.5_no.4,53,20,EffectiveQM,3.9,848.1148999999999,
,,,,,,
QUKENO_sycamore_53QBT_gate_Sycamore_large_opt1_0_1.5_no.9,53,17,EffectiveQM_abalation_bridge,0.0,0.09519999999999999,
QUKENO_sycamore_53QBT_gate_Sycamore_large_opt1_0_1.5_no.9,53,17,EffectiveQM,4.5,896.9567999999999,
,,,,,,
QUKENO_sycamore_53QBT_gate_Sycamore_large_opt1_10_1.5_no.1,53,209,EffectiveQM_abalation_bridge,39.9,1123.1036,
QUKENO_sycamore_53QBT_gate_Sycamore_large_opt1_10_1.5_no.1,53,209,EffectiveQM,120.9,3602.435,
,,,,,,
QUKENO_sycamore_53QBT_gate_Sycamore_large_opt1_10_1.5_no.2,53,209,EffectiveQM_abalation_bridge,46.2,1171.0027000000002,
QUKENO_sycamore_53QBT_gate_Sycamore_large_opt1_10_1.5_no.2,53,209,EffectiveQM,109.5,3602.8489999999997,
,,,,,,
QUKENO_sycamore_53QBT_gate_Sycamore_large_opt1_15_1.5_no.1,53,305,EffectiveQM_abalation_bridge,45.0,939.0249,
QUKENO_sycamore_53QBT_gate_Sycamore_large_opt1_15_1.5_no.1,53,305,EffectiveQM,54.3,3605.9230000000002,
,,,,,,
QUKENO_sycamore_53QBT_gate_Sycamore_large_opt1_15_1.5_no.6,53,308,EffectiveQM_abalation_bridge,45.0,785.0265999999999,
QUKENO_sycamore_53QBT_gate_Sycamore_large_opt1_15_1.5_no.6,53,308,EffectiveQM,53.1,3604.668,
,,,,,,
QUKENO_sycamore_53QBT_gate_Sycamore_large_opt1_1_1.5_no.0,53,37,EffectiveQM_abalation_bridge,6.3,73.4335,
QUKENO_sycamore_53QBT_gate_Sycamore_large_opt1_1_1.5_no.0,53,37,EffectiveQM,15.9,3512.631,
,,,,,,
QUKENO_sycamore_53QBT_gate_Sycamore_large_opt1_1_1.5_no.5,53,41,EffectiveQM_abalation_bridge,4.8,95.4825,
QUKENO_sycamore_53QBT_gate_Sycamore_large_opt1_1_1.5_no.5,53,41,EffectiveQM,15.6,3604.0990000000006,
,,,,,,
QUKENO_sycamore_53QBT_gate_Sycamore_large_opt1_20_1.5_no.8,53,397,EffectiveQM_abalation_bridge,60.0,847.5523000000001,
QUKENO_sycamore_53QBT_gate_Sycamore_large_opt1_20_1.5_no.8,53,397,EffectiveQM,60.6,3607.714,
,,,,,,
QUKENO_sycamore_53QBT_gate_Sycamore_large_opt1_20_1.5_no.9,53,399,EffectiveQM_abalation_bridge,60.0,1129.1694,
QUKENO_sycamore_53QBT_gate_Sycamore_large_opt1_20_1.5_no.9,53,399,EffectiveQM,57.0,3607.429,
,,,,,,
QUKENO_sycamore_53QBT_gate_Sycamore_large_opt1_25_1.5_no.7,53,490,EffectiveQM_abalation_bridge,75.0,781.4988000000001,
QUKENO_sycamore_53QBT_gate_Sycamore_large_opt1_25_1.5_no.7,53,490,EffectiveQM,75.0,3610.398,
,,,,,,
QUKENO_sycamore_53QBT_gate_Sycamore_large_opt1_25_1.5_no.9,53,490,EffectiveQM_abalation_bridge,75.0,1102.7135000000003,
QUKENO_sycamore_53QBT_gate_Sycamore_large_opt1_25_1.5_no.9,53,490,EffectiveQM,78.0,3609.468,
,,,,,,
QUKENO_sycamore_53QBT_gate_Sycamore_large_opt1_2_1.5_no.3,53,56,EffectiveQM_abalation_bridge,14.1,180.3319,
QUKENO_sycamore_53QBT_gate_Sycamore_large_opt1_2_1.5_no.3,53,56,EffectiveQM,22.2,3390.38,
,,,,,,
QUKENO_sycamore_53QBT_gate_Sycamore_large_opt1_2_1.5_no.4,53,58,EffectiveQM_abalation_bridge,14.4,253.6655,
QUKENO_sycamore_53QBT_gate_Sycamore_large_opt1_2_1.5_no.4,53,58,EffectiveQM,28.8,3605.46,
,,,,,,
QUKENO_sycamore_53QBT_gate_Sycamore_large_opt1_3_1.5_no.0,53,76,EffectiveQM_abalation_bridge,40.2,355.0028,
QUKENO_sycamore_53QBT_gate_Sycamore_large_opt1_3_1.5_no.0,53,76,EffectiveQM,50.7,3609.0690000000004,
,,,,,,
QUKENO_sycamore_53QBT_gate_Sycamore_large_opt1_3_1.5_no.2,53,77,EffectiveQM_abalation_bridge,30.3,349.95540000000005,
QUKENO_sycamore_53QBT_gate_Sycamore_large_opt1_3_1.5_no.2,53,77,EffectiveQM,40.2,3610.5019999999995,
,,,,,,
QUKENO_sycamore_53QBT_gate_Sycamore_large_opt1_4_1.5_no.5,53,94,EffectiveQM_abalation_bridge,54.0,1015.6746999999999,
QUKENO_sycamore_53QBT_gate_Sycamore_large_opt1_4_1.5_no.5,53,94,EffectiveQM,87.6,3605.425,
,,,,,,
