benchmark,qubits,original CNOT gates,algorithm name,added CNOT gates,time(s)
QUKENO_tokyo_20QBT_gate_Tokyo_large_opt1_0_1.5_no.0,20,11,EffectiveQM_abalation_bridge,0.0,0.009600000000000001,
QUKENO_tokyo_20QBT_gate_Tokyo_large_opt1_0_1.5_no.0,20,11,EffectiveQM,0.0,0.3901,
,,,,,,
QUKENO_tokyo_20QBT_gate_Tokyo_large_opt1_0_1.5_no.4,20,13,EffectiveQM_abalation_bridge,0.0,0.010699999999999998,
QUKENO_tokyo_20QBT_gate_Tokyo_large_opt1_0_1.5_no.4,20,13,EffectiveQM,1.8,1.9863,
,,,,,,
QUKENO_tokyo_20QBT_gate_Tokyo_large_opt1_0_1.5_no.5,20,11,EffectiveQM_abalation_bridge,0.0,0.0036999999999999997,
QUKENO_tokyo_20QBT_gate_Tokyo_large_opt1_0_1.5_no.5,20,11,EffectiveQM,0.3,0.6134,
,,,,,,
QUKENO_tokyo_20QBT_gate_Tokyo_large_opt1_0_1.5_no.6,20,13,EffectiveQM_abalation_bridge,0.0,0.0091,
QUKENO_tokyo_20QBT_gate_Tokyo_large_opt1_0_1.5_no.6,20,13,EffectiveQM,0.9,2.3323000000000005,
,,,,,,
QUKENO_tokyo_20QBT_gate_Tokyo_large_opt1_10_1.5_no.3,20,138,EffectiveQM_abalation_bridge,30.0,52.824400000000004,
QUKENO_tokyo_20QBT_gate_Tokyo_large_opt1_10_1.5_no.3,20,138,EffectiveQM,30.0,40.4188,
,,,,,,
QUKENO_tokyo_20QBT_gate_Tokyo_large_opt1_10_1.5_no.4,20,137,EffectiveQM_abalation_bridge,30.0,59.347599999999986,
QUKENO_tokyo_20QBT_gate_Tokyo_large_opt1_10_1.5_no.4,20,137,EffectiveQM,30.0,54.6268,
,,,,,,
QUKENO_tokyo_20QBT_gate_Tokyo_large_opt1_10_1.5_no.6,20,132,EffectiveQM_abalation_bridge,30.0,58.5206,
QUKENO_tokyo_20QBT_gate_Tokyo_large_opt1_10_1.5_no.6,20,132,EffectiveQM,27.0,44.616,
,,,,,,
QUKENO_tokyo_20QBT_gate_Tokyo_large_opt1_10_1.5_no.9,20,131,EffectiveQM_abalation_bridge,30.0,58.5604,
QUKENO_tokyo_20QBT_gate_Tokyo_large_opt1_10_1.5_no.9,20,131,EffectiveQM,30.0,45.3623,
,,,,,,
