benchmark,qubits,gates,name,added gate,time(s)
QUKENO_torino_133QBT_large_gate_opt1_0_1.5_no.0,133,72,EffectiveQM_abalation_bridge,65.4,3605.097,
QUKENO_torino_133QBT_large_gate_opt1_0_1.5_no.0,133,72,EffectiveQM,65.4,3605.097,
,,,,,,
QUKENO_torino_133QBT_large_gate_opt1_0_1.5_no.6,133,77,EffectiveQM_abalation_bridge,82.5,3618.7479999999996,
QUKENO_torino_133QBT_large_gate_opt1_0_1.5_no.6,133,77,EffectiveQM,82.5,3618.7479999999996,
,,,,,,
QUKENO_torino_133QBT_large_gate_opt1_10_1.5_no.2,133,855,EffectiveQM_abalation_bridge,1825.8,3683.2820000000006,
QUKENO_torino_133QBT_large_gate_opt1_10_1.5_no.2,133,855,EffectiveQM,1825.8,3683.2820000000006,
,,,,,,
QUKENO_torino_133QBT_large_gate_opt1_10_1.5_no.3,133,849,EffectiveQM_abalation_bridge,1818.6,3727.3810000000003,
QUKENO_torino_133QBT_large_gate_opt1_10_1.5_no.3,133,849,EffectiveQM,1818.6,3727.3810000000003,
,,,,,,
QUKENO_torino_133QBT_large_gate_opt1_15_1.5_no.4,133,1231,EffectiveQM_abalation_bridge,2300.1,3732.858,
QUKENO_torino_133QBT_large_gate_opt1_15_1.5_no.4,133,1231,EffectiveQM,2300.1,3732.858,
,,,,,,
QUKENO_torino_133QBT_large_gate_opt1_15_1.5_no.7,133,1214,EffectiveQM_abalation_bridge,2516.1,3725.7019999999998,
QUKENO_torino_133QBT_large_gate_opt1_15_1.5_no.7,133,1214,EffectiveQM,2516.1,3725.7019999999998,
,,,,,,
QUKENO_torino_133QBT_large_gate_opt1_1_1.5_no.4,133,161,EffectiveQM_abalation_bridge,194.1,3635.1899999999996,
QUKENO_torino_133QBT_large_gate_opt1_1_1.5_no.4,133,161,EffectiveQM,194.1,3635.1899999999996,
,,,,,,
QUKENO_torino_133QBT_large_gate_opt1_1_1.5_no.8,133,151,EffectiveQM_abalation_bridge,179.1,3651.1769999999997,
