benchmark,qubits,original CNOT gates,algorithm name,added CNOT gates,time(s)
ae_nativegates_ibm_qiskit_opt0_10,10,90,EffectiveQM_abalation_bridge,87.0,12.8714,
ae_nativegates_ibm_qiskit_opt0_10,10,90,EffectiveQM,87.0,17.7106,
,,,,,,
dj_nativegates_ibm_qiskit_opt0_10,10,9,EffectiveQM_abalation_bridge,12.9,0.7843000000000001,
dj_nativegates_ibm_qiskit_opt0_10,10,9,EffectiveQM,15.0,1.3182999999999998,
,,,,,,
ghz_nativegates_ibm_qiskit_opt0_10,10,9,EffectiveQM_abalation_bridge,0.0,0.023,
ghz_nativegates_ibm_qiskit_opt0_10,10,9,EffectiveQM,2.1,0.8691000000000001,
,,,,,,
graphstate_nativegates_ibm_qiskit_opt0_10,10,10,EffectiveQM_abalation_bridge,6.0,0.8842000000000001,
graphstate_nativegates_ibm_qiskit_opt0_10,10,10,EffectiveQM,6.0,2.1673,
,,,,,,
grover-noancilla_nativegates_ibm_qiskit_opt0_10,10,39032,EffectiveQM_abalation_bridge,34614.6,1627.989,
grover-noancilla_nativegates_ibm_qiskit_opt0_10,10,39032,EffectiveQM,26304.3,3548.4129999999996,
,,,,,,
portfolioqaoa_nativegates_ibm_qiskit_opt0_10,10,270,EffectiveQM_abalation_bridge,298.2,76.19409999999999,
portfolioqaoa_nativegates_ibm_qiskit_opt0_10,10,270,EffectiveQM,297.0,275.8152,
,,,,,,
portfoliovqe_nativegates_ibm_qiskit_opt0_10,10,135,EffectiveQM_abalation_bridge,308.1,92.98259999999999,
portfoliovqe_nativegates_ibm_qiskit_opt0_10,10,135,EffectiveQM,313.8,219.39689999999996,
,,,,,,
qaoa_nativegates_ibm_qiskit_opt0_10,10,40,EffectiveQM_abalation_bridge,21.0,2.6399,
qaoa_nativegates_ibm_qiskit_opt0_10,10,40,EffectiveQM,21.0,7.1736,
,,,,,,
qftentangled_nativegates_ibm_qiskit_opt0_10,10,114,EffectiveQM_abalation_bridge,123.6,28.5245,
qftentangled_nativegates_ibm_qiskit_opt0_10,10,114,EffectiveQM,127.5,49.3652,
,,,,,,
qft_nativegates_ibm_qiskit_opt0_10,10,105,EffectiveQM_abalation_bridge,118.5,26.6087,
qft_nativegates_ibm_qiskit_opt0_10,10,105,EffectiveQM,117.6,43.778600000000004,
,,,,,,
qnn_nativegates_ibm_qiskit_opt0_10,10,189,EffectiveQM_abalation_bridge,203.7,30.4275,
qnn_nativegates_ibm_qiskit_opt0_10,10,189,EffectiveQM,200.7,184.4203,
,,,,,,
qpeexact_nativegates_ibm_qiskit_opt0_10,10,98,EffectiveQM_abalation_bridge,107.7,20.217399999999998,
qpeexact_nativegates_ibm_qiskit_opt0_10,10,98,EffectiveQM,108.0,24.7,
,,,,,,
qpeinexact_nativegates_ibm_qiskit_opt0_10,10,102,EffectiveQM_abalation_bridge,116.4,18.052599999999998,
qpeinexact_nativegates_ibm_qiskit_opt0_10,10,102,EffectiveQM,116.4,25.249600000000004,
,,,,,,
qwalk-noancilla_nativegates_ibm_qiskit_opt0_10,10,18078,EffectiveQM_abalation_bridge,18273.3,703.8552,
qwalk-noancilla_nativegates_ibm_qiskit_opt0_10,10,18078,EffectiveQM,12384.6,2863.321,
,,,,,,
vqe_nativegates_ibm_qiskit_opt0_10,10,18,EffectiveQM_abalation_bridge,0.0,0.0131,
vqe_nativegates_ibm_qiskit_opt0_10,10,18,EffectiveQM,0.0,0.18749999999999997,
,,,,,,
wstate_nativegates_ibm_qiskit_opt0_10,10,18,EffectiveQM_abalation_bridge,0.0,0.014499999999999999,
wstate_nativegates_ibm_qiskit_opt0_10,10,18,EffectiveQM,0.0,0.06140000000000001,
,,,,,,
