benchmark,qubits,original CNOT gates,algorithm name,added CNOT gates,time(s)
ae_nativegates_ibm_qiskit_opt0_10,10,90,EffectiveQM_abalation_bridge,87.0,7.1389,
ae_nativegates_ibm_qiskit_opt0_10,10,90,EffectiveQM,87.0,95.81200000000001,
,,,,,,
ae_nativegates_ibm_qiskit_opt0_20,20,380,EffectiveQM_abalation_bridge,457.5,220.6281,
ae_nativegates_ibm_qiskit_opt0_20,20,380,EffectiveQM,459.9,2395.462,
,,,,,,
ae_nativegates_ibm_qiskit_opt0_30,30,870,EffectiveQM_abalation_bridge,1144.2,798.5661999999999,
ae_nativegates_ibm_qiskit_opt0_30,30,870,EffectiveQM,1157.7,3603.733,
,,,,,,
ae_nativegates_ibm_qiskit_opt0_40,40,1560,EffectiveQM_abalation_bridge,2117.7,2556.717,
ae_nativegates_ibm_qiskit_opt0_40,40,1560,EffectiveQM,2154.3,3612.1130000000003,
,,,,,,
ae_nativegates_ibm_qiskit_opt0_50,50,2450,EffectiveQM_abalation_bridge,3408.9,3605.54,
ae_nativegates_ibm_qiskit_opt0_50,50,2450,EffectiveQM,3481.5,3628.095,
,,,,,,
dj_nativegates_ibm_qiskit_opt0_10,10,9,EffectiveQM_abalation_bridge,12.0,0.5079,
dj_nativegates_ibm_qiskit_opt0_10,10,9,EffectiveQM,15.0,5.5310999999999995,
,,,,,,
dj_nativegates_ibm_qiskit_opt0_20,20,19,EffectiveQM_abalation_bridge,35.1,1.9499,
dj_nativegates_ibm_qiskit_opt0_20,20,19,EffectiveQM,40.8,19.0287,
,,,,,,
dj_nativegates_ibm_qiskit_opt0_30,30,29,EffectiveQM_abalation_bridge,61.8,7.004,
dj_nativegates_ibm_qiskit_opt0_30,30,29,EffectiveQM,70.8,60.93979999999999,
,,,,,,
dj_nativegates_ibm_qiskit_opt0_40,40,39,EffectiveQM_abalation_bridge,93.3,8.950700000000001,
dj_nativegates_ibm_qiskit_opt0_40,40,39,EffectiveQM,105.9,88.04149999999998,
,,,,,,
dj_nativegates_ibm_qiskit_opt0_50,50,49,EffectiveQM_abalation_bridge,123.0,15.373000000000001,
dj_nativegates_ibm_qiskit_opt0_50,50,49,EffectiveQM,137.1,226.6529,
,,,,,,
ghz_nativegates_ibm_qiskit_opt0_10,10,9,EffectiveQM_abalation_bridge,0.0,0.10770000000000002,
ghz_nativegates_ibm_qiskit_opt0_10,10,9,EffectiveQM,5.1,1.6723,
,,,,,,
ghz_nativegates_ibm_qiskit_opt0_20,20,19,EffectiveQM_abalation_bridge,13.5,2.2328999999999994,
ghz_nativegates_ibm_qiskit_opt0_20,20,19,EffectiveQM,24.3,24.352899999999998,
,,,,,,
ghz_nativegates_ibm_qiskit_opt0_30,30,29,EffectiveQM_abalation_bridge,37.8,4.5546999999999995,
ghz_nativegates_ibm_qiskit_opt0_30,30,29,EffectiveQM,54.9,65.6543,
,,,,,,
ghz_nativegates_ibm_qiskit_opt0_40,40,39,EffectiveQM_abalation_bridge,62.4,7.574700000000002,
ghz_nativegates_ibm_qiskit_opt0_40,40,39,EffectiveQM,84.6,87.0736,
,,,,,,
ghz_nativegates_ibm_qiskit_opt0_50,50,49,EffectiveQM_abalation_bridge,96.9,13.5161,
ghz_nativegates_ibm_qiskit_opt0_50,50,49,EffectiveQM,108.6,221.766,
,,,,,,
graphstate_nativegates_ibm_qiskit_opt0_10,10,10,EffectiveQM_abalation_bridge,6.0,1.0962,
graphstate_nativegates_ibm_qiskit_opt0_10,10,10,EffectiveQM,6.6,14.5703,
,,,,,,
graphstate_nativegates_ibm_qiskit_opt0_20,20,20,EffectiveQM_abalation_bridge,18.3,20.311199999999996,
graphstate_nativegates_ibm_qiskit_opt0_20,20,20,EffectiveQM,24.6,239.68110000000001,
,,,,,,
graphstate_nativegates_ibm_qiskit_opt0_30,30,30,EffectiveQM_abalation_bridge,30.6,52.2923,
graphstate_nativegates_ibm_qiskit_opt0_30,30,30,EffectiveQM,37.2,717.6489,
,,,,,,
graphstate_nativegates_ibm_qiskit_opt0_40,40,40,EffectiveQM_abalation_bridge,42.3,162.1186,
graphstate_nativegates_ibm_qiskit_opt0_40,40,40,EffectiveQM,60.9,2076.547,
,,,,,,
graphstate_nativegates_ibm_qiskit_opt0_50,50,50,EffectiveQM_abalation_bridge,60.3,302.4894,
graphstate_nativegates_ibm_qiskit_opt0_50,50,50,EffectiveQM,71.1,3193.5009999999993,
,,,,,,
grover-noancilla_nativegates_ibm_qiskit_opt0_10,10,39032,EffectiveQM_abalation_bridge,33781.8,701.1746999999999,
grover-noancilla_nativegates_ibm_qiskit_opt0_10,10,39032,EffectiveQM,21962.1,3602.7280000000005,
,,,,,,
portfolioqaoa_nativegates_ibm_qiskit_opt0_10,10,270,EffectiveQM_abalation_bridge,298.8,32.266600000000004,
portfolioqaoa_nativegates_ibm_qiskit_opt0_10,10,270,EffectiveQM,298.2,500.39510000000007,
,,,,,,
portfoliovqe_nativegates_ibm_qiskit_opt0_10,10,135,EffectiveQM_abalation_bridge,304.2,47.27419999999999,
portfoliovqe_nativegates_ibm_qiskit_opt0_10,10,135,EffectiveQM,313.5,404.7922,
,,,,,,
