benchmark,qubits,original CNOT gates,algorithm name,added CNOT gates,time(s)
ae_nativegates_ibm_qiskit_opt0_10,10,90,EffectiveQM_abalation_bridge,51.0,10.010399999999999,
ae_nativegates_ibm_qiskit_opt0_10,10,90,EffectiveQM,51.0,178.31279999999998,
,,,,,,
ae_nativegates_ibm_qiskit_opt0_20,20,380,EffectiveQM_abalation_bridge,288.0,330.0755,
ae_nativegates_ibm_qiskit_opt0_20,20,380,EffectiveQM,291.6,2998.928,
,,,,,,
ae_nativegates_ibm_qiskit_opt0_30,30,870,EffectiveQM_abalation_bridge,738.3,1659.0549999999998,
ae_nativegates_ibm_qiskit_opt0_30,30,870,EffectiveQM,761.7,3603.274,
,,,,,,
ae_nativegates_ibm_qiskit_opt0_40,40,1560,EffectiveQM_abalation_bridge,1416.6,3257.839,
ae_nativegates_ibm_qiskit_opt0_40,40,1560,EffectiveQM,1460.1,3607.864,
,,,,,,
ae_nativegates_ibm_qiskit_opt0_50,50,2450,EffectiveQM_abalation_bridge,2380.8,3606.8239999999996,
ae_nativegates_ibm_qiskit_opt0_50,50,2450,EffectiveQM,2441.4,3616.443,
,,,,,,
dj_nativegates_ibm_qiskit_opt0_10,10,9,EffectiveQM_abalation_bridge,6.0,0.6422000000000001,
dj_nativegates_ibm_qiskit_opt0_10,10,9,EffectiveQM,9.6,15.780199999999999,
,,,,,,
dj_nativegates_ibm_qiskit_opt0_20,20,19,EffectiveQM_abalation_bridge,19.8,3.6909000000000005,
dj_nativegates_ibm_qiskit_opt0_20,20,19,EffectiveQM,29.1,49.2308,
,,,,,,
dj_nativegates_ibm_qiskit_opt0_30,30,29,EffectiveQM_abalation_bridge,33.9,6.367900000000001,
dj_nativegates_ibm_qiskit_opt0_30,30,29,EffectiveQM,48.9,121.58420000000001,
,,,,,,
dj_nativegates_ibm_qiskit_opt0_40,40,39,EffectiveQM_abalation_bridge,50.1,13.3029,
dj_nativegates_ibm_qiskit_opt0_40,40,39,EffectiveQM,68.4,216.5647,
,,,,,,
dj_nativegates_ibm_qiskit_opt0_50,50,49,EffectiveQM_abalation_bridge,67.2,27.6661,
dj_nativegates_ibm_qiskit_opt0_50,50,49,EffectiveQM,91.2,342.4264,
,,,,,,
ghz_nativegates_ibm_qiskit_opt0_10,10,9,EffectiveQM_abalation_bridge,0.0,0.0223,
ghz_nativegates_ibm_qiskit_opt0_10,10,9,EffectiveQM,2.4,7.812900000000001,
,,,,,,
ghz_nativegates_ibm_qiskit_opt0_20,20,19,EffectiveQM_abalation_bridge,3.6,1.4958999999999998,
ghz_nativegates_ibm_qiskit_opt0_20,20,19,EffectiveQM,12.9,27.5545,
,,,,,,
ghz_nativegates_ibm_qiskit_opt0_30,30,29,EffectiveQM_abalation_bridge,9.0,4.06,
ghz_nativegates_ibm_qiskit_opt0_30,30,29,EffectiveQM,24.3,75.3596,
,,,,,,
ghz_nativegates_ibm_qiskit_opt0_40,40,39,EffectiveQM_abalation_bridge,17.7,13.253400000000003,
ghz_nativegates_ibm_qiskit_opt0_40,40,39,EffectiveQM,38.7,109.47739999999999,
,,,,,,
ghz_nativegates_ibm_qiskit_opt0_50,50,49,EffectiveQM_abalation_bridge,31.5,13.526299999999997,
ghz_nativegates_ibm_qiskit_opt0_50,50,49,EffectiveQM,52.8,189.22400000000002,
,,,,,,
graphstate_nativegates_ibm_qiskit_opt0_10,10,10,EffectiveQM_abalation_bridge,0.0,0.10049999999999999,
graphstate_nativegates_ibm_qiskit_opt0_10,10,10,EffectiveQM,1.2,23.087,
,,,,,,
graphstate_nativegates_ibm_qiskit_opt0_20,20,20,EffectiveQM_abalation_bridge,0.3,4.567200000000001,
graphstate_nativegates_ibm_qiskit_opt0_20,20,20,EffectiveQM,8.7,295.1272,
,,,,,,
graphstate_nativegates_ibm_qiskit_opt0_30,30,30,EffectiveQM_abalation_bridge,9.6,88.9204,
graphstate_nativegates_ibm_qiskit_opt0_30,30,30,EffectiveQM,19.2,971.7698999999999,
,,,,,,
graphstate_nativegates_ibm_qiskit_opt0_40,40,40,EffectiveQM_abalation_bridge,15.3,148.3384,
graphstate_nativegates_ibm_qiskit_opt0_40,40,40,EffectiveQM,28.5,3102.308,
,,,,,,
graphstate_nativegates_ibm_qiskit_opt0_50,50,50,EffectiveQM_abalation_bridge,25.2,420.2272000000001,
graphstate_nativegates_ibm_qiskit_opt0_50,50,50,EffectiveQM,42.9,3536.671,
,,,,,,
grover-noancilla_nativegates_ibm_qiskit_opt0_10,10,39032,EffectiveQM_abalation_bridge,16413.9,1079.7262,
grover-noancilla_nativegates_ibm_qiskit_opt0_10,10,39032,EffectiveQM,11519.1,3602.4550000000004,
,,,,,,
portfolioqaoa_nativegates_ibm_qiskit_opt0_10,10,270,EffectiveQM_abalation_bridge,180.0,43.377599999999994,
portfolioqaoa_nativegates_ibm_qiskit_opt0_10,10,270,EffectiveQM,180.0,624.8148000000001,
,,,,,,
portfoliovqe_nativegates_ibm_qiskit_opt0_10,10,135,EffectiveQM_abalation_bridge,182.1,44.003299999999996,
portfoliovqe_nativegates_ibm_qiskit_opt0_10,10,135,EffectiveQM,183.9,647.0266000000001,
,,,,,,
qaoa_nativegates_ibm_qiskit_opt0_10,10,40,EffectiveQM_abalation_bridge,9.0,1.7721,
qaoa_nativegates_ibm_qiskit_opt0_10,10,40,EffectiveQM,9.0,33.948699999999995,
,,,,,,
qftentangled_nativegates_ibm_qiskit_opt0_10,10,114,EffectiveQM_abalation_bridge,64.8,20.217499999999998,
qftentangled_nativegates_ibm_qiskit_opt0_10,10,114,EffectiveQM,67.2,282.8396,
,,,,,,
qftentangled_nativegates_ibm_qiskit_opt0_20,20,429,EffectiveQM_abalation_bridge,352.5,385.6403999999999,
qftentangled_nativegates_ibm_qiskit_opt0_20,20,429,EffectiveQM,350.7,3427.63,
,,,,,,
qftentangled_nativegates_ibm_qiskit_opt0_30,30,944,EffectiveQM_abalation_bridge,861.9,2398.4010000000003,
qftentangled_nativegates_ibm_qiskit_opt0_30,30,944,EffectiveQM,876.6,3604.215,
,,,,,,
qftentangled_nativegates_ibm_qiskit_opt0_40,40,1659,EffectiveQM_abalation_bridge,1624.8,3499.995,
qftentangled_nativegates_ibm_qiskit_opt0_40,40,1659,EffectiveQM,1674.0,3606.4559999999997,
,,,,,,
qftentangled_nativegates_ibm_qiskit_opt0_50,50,2574,EffectiveQM_abalation_bridge,2666.4,3605.5229999999997,
qftentangled_nativegates_ibm_qiskit_opt0_50,50,2574,EffectiveQM,2738.4,3615.357,
,,,,,,
qft_nativegates_ibm_qiskit_opt0_10,10,105,EffectiveQM_abalation_bridge,55.8,17.7072,
qft_nativegates_ibm_qiskit_opt0_10,10,105,EffectiveQM,56.1,238.30659999999997,
,,,,,,
qft_nativegates_ibm_qiskit_opt0_20,20,410,EffectiveQM_abalation_bridge,333.9,313.29970000000003,
qft_nativegates_ibm_qiskit_opt0_20,20,410,EffectiveQM,334.5,3303.7770000000005,
,,,,,,
qft_nativegates_ibm_qiskit_opt0_30,30,915,EffectiveQM_abalation_bridge,824.7,2267.918,
qft_nativegates_ibm_qiskit_opt0_30,30,915,EffectiveQM,847.8,3602.067,
,,,,,,
qft_nativegates_ibm_qiskit_opt0_40,40,1620,EffectiveQM_abalation_bridge,1572.3,3604.757,
qft_nativegates_ibm_qiskit_opt0_40,40,1620,EffectiveQM,1615.5,3613.3600000000006,
,,,,,,
qft_nativegates_ibm_qiskit_opt0_50,50,2525,EffectiveQM_abalation_bridge,2609.1,3607.5089999999996,
qft_nativegates_ibm_qiskit_opt0_50,50,2525,EffectiveQM,2684.4,3623.887,
,,,,,,
qnn_nativegates_ibm_qiskit_opt0_10,10,189,EffectiveQM_abalation_bridge,120.0,28.5957,
qnn_nativegates_ibm_qiskit_opt0_10,10,189,EffectiveQM,120.0,402.82579999999996,
,,,,,,
qnn_nativegates_ibm_qiskit_opt0_20,20,779,EffectiveQM_abalation_bridge,623.7,956.7778000000001,
qnn_nativegates_ibm_qiskit_opt0_20,20,779,EffectiveQM,641.1,3602.91,
,,,,,,
qnn_nativegates_ibm_qiskit_opt0_30,30,1769,EffectiveQM_abalation_bridge,1592.4,2973.9460000000004,
qnn_nativegates_ibm_qiskit_opt0_30,30,1769,EffectiveQM,1660.5,3608.4590000000003,
,,,,,,
qnn_nativegates_ibm_qiskit_opt0_40,40,3159,EffectiveQM_abalation_bridge,3029.4,3608.796,
qnn_nativegates_ibm_qiskit_opt0_40,40,3159,EffectiveQM,3141.3,3619.4189999999994,
,,,,,,
qnn_nativegates_ibm_qiskit_opt0_50,50,4949,EffectiveQM_abalation_bridge,5078.1,3613.219,
qnn_nativegates_ibm_qiskit_opt0_50,50,4949,EffectiveQM,5197.2,3635.5340000000006,
,,,,,,
qpeexact_nativegates_ibm_qiskit_opt0_10,10,98,EffectiveQM_abalation_bridge,54.3,16.3137,
qpeexact_nativegates_ibm_qiskit_opt0_10,10,98,EffectiveQM,52.8,217.27290000000002,
,,,,,,
qpeexact_nativegates_ibm_qiskit_opt0_20,20,407,EffectiveQM_abalation_bridge,343.8,343.5967999999999,
qpeexact_nativegates_ibm_qiskit_opt0_20,20,407,EffectiveQM,345.0,3011.584,
,,,,,,
qpeexact_nativegates_ibm_qiskit_opt0_30,30,910,EffectiveQM_abalation_bridge,847.8,1550.7350000000001,
qpeexact_nativegates_ibm_qiskit_opt0_30,30,910,EffectiveQM,882.9,3603.264,
,,,,,,
qpeexact_nativegates_ibm_qiskit_opt0_40,40,1617,EffectiveQM_abalation_bridge,1605.9,3440.3799999999997,
qpeexact_nativegates_ibm_qiskit_opt0_40,40,1617,EffectiveQM,1694.7,3609.3969999999995,
,,,,,,
qpeexact_nativegates_ibm_qiskit_opt0_50,50,2522,EffectiveQM_abalation_bridge,2700.9,3611.6549999999997,
qpeexact_nativegates_ibm_qiskit_opt0_50,50,2522,EffectiveQM,2789.7,3630.603,
,,,,,,
qpeinexact_nativegates_ibm_qiskit_opt0_10,10,102,EffectiveQM_abalation_bridge,57.6,21.467600000000004,
qpeinexact_nativegates_ibm_qiskit_opt0_10,10,102,EffectiveQM,56.7,208.08239999999995,
,,,,,,
qpeinexact_nativegates_ibm_qiskit_opt0_20,20,407,EffectiveQM_abalation_bridge,343.8,436.37479999999994,
qpeinexact_nativegates_ibm_qiskit_opt0_20,20,407,EffectiveQM,345.0,2982.799,
,,,,,,
qpeinexact_nativegates_ibm_qiskit_opt0_30,30,912,EffectiveQM_abalation_bridge,856.8,1714.0082000000002,
qpeinexact_nativegates_ibm_qiskit_opt0_30,30,912,EffectiveQM,868.5,3604.0690000000004,
,,,,,,
qpeinexact_nativegates_ibm_qiskit_opt0_40,40,1617,EffectiveQM_abalation_bridge,1609.2,3577.225,
qpeinexact_nativegates_ibm_qiskit_opt0_40,40,1617,EffectiveQM,1695.9,3607.279,
,,,,,,
qpeinexact_nativegates_ibm_qiskit_opt0_50,50,2522,EffectiveQM_abalation_bridge,2694.6,3602.454,
qpeinexact_nativegates_ibm_qiskit_opt0_50,50,2522,EffectiveQM,2784.9,3620.5099999999998,
,,,,,,
qwalk-noancilla_nativegates_ibm_qiskit_opt0_10,10,18078,EffectiveQM_abalation_bridge,7528.5,387.8189,
qwalk-noancilla_nativegates_ibm_qiskit_opt0_10,10,18078,EffectiveQM,5367.6,3311.175,
,,,,,,
vqe_nativegates_ibm_qiskit_opt0_10,10,18,EffectiveQM_abalation_bridge,0.0,0.010400000000000001,
vqe_nativegates_ibm_qiskit_opt0_10,10,18,EffectiveQM,0.0,0.45430000000000004,
,,,,,,
wstate_nativegates_ibm_qiskit_opt0_10,10,18,EffectiveQM_abalation_bridge,0.0,0.0033,
wstate_nativegates_ibm_qiskit_opt0_10,10,18,EffectiveQM,0.0,0.6372000000000001,
,,,,,,
wstate_nativegates_ibm_qiskit_opt0_20,20,38,EffectiveQM_abalation_bridge,0.0,0.3389,
wstate_nativegates_ibm_qiskit_opt0_20,20,38,EffectiveQM,3.0,74.17799999999998,
,,,,,,
wstate_nativegates_ibm_qiskit_opt0_30,30,58,EffectiveQM_abalation_bridge,1.5,6.6663999999999985,
wstate_nativegates_ibm_qiskit_opt0_30,30,58,EffectiveQM,13.2,233.86989999999997,
,,,,,,
wstate_nativegates_ibm_qiskit_opt0_40,40,78,EffectiveQM_abalation_bridge,10.2,19.927100000000003,
wstate_nativegates_ibm_qiskit_opt0_40,40,78,EffectiveQM,29.4,497.1693,
,,,,,,
wstate_nativegates_ibm_qiskit_opt0_50,50,98,EffectiveQM_abalation_bridge,18.0,84.4,
wstate_nativegates_ibm_qiskit_opt0_50,50,98,EffectiveQM,63.6,723.7841000000001,
,,,,,,
