benchmark,qubits,gates,name,added gate,time(s)
ae_nativegates_ibm_qiskit_opt0_10,10,90,EffectiveQM_abalation_bridge,30.0,10.4625,
ae_nativegates_ibm_qiskit_opt0_10,10,90,EffectiveQM,30.0,15.0761,
,,,,,,
dj_nativegates_ibm_qiskit_opt0_10,10,9,EffectiveQM_abalation_bridge,3.0,0.4391,
dj_nativegates_ibm_qiskit_opt0_10,10,9,EffectiveQM,6.0,0.8671999999999999,
,,,,,,
ghz_nativegates_ibm_qiskit_opt0_10,10,9,EffectiveQM_abalation_bridge,0.0,0.004200000000000001,
ghz_nativegates_ibm_qiskit_opt0_10,10,9,EffectiveQM,0.0,0.202,
,,,,,,
graphstate_nativegates_ibm_qiskit_opt0_10,10,10,EffectiveQM_abalation_bridge,0.0,0.012800000000000002,
graphstate_nativegates_ibm_qiskit_opt0_10,10,10,EffectiveQM,0.0,0.6700999999999999,
,,,,,,
grover-noancilla_nativegates_ibm_qiskit_opt0_10,10,39032,EffectiveQM_abalation_bridge,4482.0,864.5386000000001,
grover-noancilla_nativegates_ibm_qiskit_opt0_10,10,39032,EffectiveQM,2771.4,3127.361,
,,,,,,
portfolioqaoa_nativegates_ibm_qiskit_opt0_10,10,270,EffectiveQM_abalation_bridge,99.0,58.6037,
portfolioqaoa_nativegates_ibm_qiskit_opt0_10,10,270,EffectiveQM,99.0,54.8501,
,,,,,,
portfoliovqe_nativegates_ibm_qiskit_opt0_10,10,135,EffectiveQM_abalation_bridge,106.8,72.48190000000001,
portfoliovqe_nativegates_ibm_qiskit_opt0_10,10,135,EffectiveQM,108.9,72.8502,
,,,,,,
qaoa_nativegates_ibm_qiskit_opt0_10,10,40,EffectiveQM_abalation_bridge,0.0,0.0043,
qaoa_nativegates_ibm_qiskit_opt0_10,10,40,EffectiveQM,0.0,0.0206,
,,,,,,
qftentangled_nativegates_ibm_qiskit_opt0_10,10,114,EffectiveQM_abalation_bridge,38.4,26.497899999999998,
qftentangled_nativegates_ibm_qiskit_opt0_10,10,114,EffectiveQM,37.8,29.333500000000004,
,,,,,,
qft_nativegates_ibm_qiskit_opt0_10,10,105,EffectiveQM_abalation_bridge,31.5,21.2836,
qft_nativegates_ibm_qiskit_opt0_10,10,105,EffectiveQM,32.7,19.906,
,,,,,,
qnn_nativegates_ibm_qiskit_opt0_10,10,189,EffectiveQM_abalation_bridge,69.3,45.3626,
qnn_nativegates_ibm_qiskit_opt0_10,10,189,EffectiveQM,70.2,50.57619999999999,
,,,,,,
qpeexact_nativegates_ibm_qiskit_opt0_10,10,98,EffectiveQM_abalation_bridge,27.0,15.260500000000002,
qpeexact_nativegates_ibm_qiskit_opt0_10,10,98,EffectiveQM,27.3,17.0571,
,,,,,,
qpeinexact_nativegates_ibm_qiskit_opt0_10,10,102,EffectiveQM_abalation_bridge,33.0,12.664600000000002,
qpeinexact_nativegates_ibm_qiskit_opt0_10,10,102,EffectiveQM,33.0,17.867299999999997,
,,,,,,
qwalk-noancilla_nativegates_ibm_qiskit_opt0_10,10,18078,EffectiveQM_abalation_bridge,2955.3,598.1976999999999,
qwalk-noancilla_nativegates_ibm_qiskit_opt0_10,10,18078,EffectiveQM,1874.4,2132.2830000000004,
,,,,,,
vqe_nativegates_ibm_qiskit_opt0_10,10,18,EffectiveQM_abalation_bridge,0.0,0.0017000000000000001,
vqe_nativegates_ibm_qiskit_opt0_10,10,18,EffectiveQM,0.0,0.0103,
,,,,,,
wstate_nativegates_ibm_qiskit_opt0_10,10,18,EffectiveQM_abalation_bridge,0.0,0.0013000000000000002,
wstate_nativegates_ibm_qiskit_opt0_10,10,18,EffectiveQM,0.0,0.0046,
,,,,,,
