benchmark,qubits,gates,name,added gate,time(s)
ae_nativegates_ibm_qiskit_opt0_10,10,90,EffectiveQM_abalation_bridge,30.0,7.8683,
ae_nativegates_ibm_qiskit_opt0_10,10,90,EffectiveQM,30.0,11.904,
,,,,,,
ae_nativegates_ibm_qiskit_opt0_20,20,380,EffectiveQM_abalation_bridge,221.4,312.5597,
ae_nativegates_ibm_qiskit_opt0_20,20,380,EffectiveQM,222.6,992.8994,
,,,,,,
dj_nativegates_ibm_qiskit_opt0_10,10,9,EffectiveQM_abalation_bridge,3.0,0.4636,
dj_nativegates_ibm_qiskit_opt0_10,10,9,EffectiveQM,6.9,0.8969999999999999,
,,,,,,
dj_nativegates_ibm_qiskit_opt0_20,20,19,EffectiveQM_abalation_bridge,18.0,1.3501,
dj_nativegates_ibm_qiskit_opt0_20,20,19,EffectiveQM,23.1,2.3343000000000003,
,,,,,,
ghz_nativegates_ibm_qiskit_opt0_10,10,9,EffectiveQM_abalation_bridge,0.0,0.0014000000000000002,
ghz_nativegates_ibm_qiskit_opt0_10,10,9,EffectiveQM,0.3,0.30300000000000005,
,,,,,,
ghz_nativegates_ibm_qiskit_opt0_20,20,19,EffectiveQM_abalation_bridge,0.0,0.0605,
ghz_nativegates_ibm_qiskit_opt0_20,20,19,EffectiveQM,3.6,2.9047,
,,,,,,
graphstate_nativegates_ibm_qiskit_opt0_10,10,10,EffectiveQM_abalation_bridge,0.0,0.004,
graphstate_nativegates_ibm_qiskit_opt0_10,10,10,EffectiveQM,0.3,0.3710999999999999,
,,,,,,
graphstate_nativegates_ibm_qiskit_opt0_20,20,20,EffectiveQM_abalation_bridge,0.0,0.08980000000000002,
graphstate_nativegates_ibm_qiskit_opt0_20,20,20,EffectiveQM,2.4,10.8644,
,,,,,,
grover-noancilla_nativegates_ibm_qiskit_opt0_10,10,39032,EffectiveQM_abalation_bridge,4447.2,748.4518,
grover-noancilla_nativegates_ibm_qiskit_opt0_10,10,39032,EffectiveQM,2853.0,2753.048,
,,,,,,
