benchmark,qubits,gates,name,added gate,time(s)
ae_nativegates_ibm_qiskit_opt0_10,10,90,EffectiveQM_abalation_bridge,87.0,15.467099999999999,
ae_nativegates_ibm_qiskit_opt0_10,10,90,EffectiveQM,87.0,18.1552,
,,,,,,
ae_nativegates_ibm_qiskit_opt0_100,100,9900,EffectiveQM_abalation_bridge,14452.5,3688.534999999999,
ae_nativegates_ibm_qiskit_opt0_100,100,9900,EffectiveQM,15249.9,3665.542,
,,,,,,
ae_nativegates_ibm_qiskit_opt0_20,20,380,EffectiveQM_abalation_bridge,456.0,498.97620000000006,
ae_nativegates_ibm_qiskit_opt0_20,20,380,EffectiveQM,461.1,469.92879999999997,
,,,,,,
ae_nativegates_ibm_qiskit_opt0_30,30,870,EffectiveQM_abalation_bridge,1132.8,2586.815,
ae_nativegates_ibm_qiskit_opt0_30,30,870,EffectiveQM,1141.8,2396.6,
,,,,,,
ae_nativegates_ibm_qiskit_opt0_40,40,1560,EffectiveQM_abalation_bridge,2106.3,3602.701,
ae_nativegates_ibm_qiskit_opt0_40,40,1560,EffectiveQM,2134.5,3579.4919999999997,
,,,,,,
ae_nativegates_ibm_qiskit_opt0_50,50,2450,EffectiveQM_abalation_bridge,3387.6,3614.495,
ae_nativegates_ibm_qiskit_opt0_50,50,2450,EffectiveQM,3388.5,3603.2879999999996,
,,,,,,
dj_nativegates_ibm_qiskit_opt0_10,10,9,EffectiveQM_abalation_bridge,12.0,1.4129,
dj_nativegates_ibm_qiskit_opt0_10,10,9,EffectiveQM,15.3,2.0580000000000003,
,,,,,,
dj_nativegates_ibm_qiskit_opt0_100,100,99,EffectiveQM_abalation_bridge,287.7,178.9514,
dj_nativegates_ibm_qiskit_opt0_100,100,99,EffectiveQM,319.2,172.3197,
,,,,,,
dj_nativegates_ibm_qiskit_opt0_20,20,19,EffectiveQM_abalation_bridge,35.4,5.1517,
dj_nativegates_ibm_qiskit_opt0_20,20,19,EffectiveQM,41.4,6.836799999999999,
,,,,,,
dj_nativegates_ibm_qiskit_opt0_30,30,29,EffectiveQM_abalation_bridge,60.3,13.386599999999998,
dj_nativegates_ibm_qiskit_opt0_30,30,29,EffectiveQM,70.2,13.6297,
,,,,,,
dj_nativegates_ibm_qiskit_opt0_40,40,39,EffectiveQM_abalation_bridge,88.2,21.275,
dj_nativegates_ibm_qiskit_opt0_40,40,39,EffectiveQM,100.2,28.316600000000005,
,,,,,,
dj_nativegates_ibm_qiskit_opt0_50,50,49,EffectiveQM_abalation_bridge,118.5,33.0198,
dj_nativegates_ibm_qiskit_opt0_50,50,49,EffectiveQM,133.8,41.651599999999995,
,,,,,,
ghz_nativegates_ibm_qiskit_opt0_10,10,9,EffectiveQM_abalation_bridge,1.2,1.0184000000000002,
ghz_nativegates_ibm_qiskit_opt0_10,10,9,EffectiveQM,6.6,2.1279,
,,,,,,
ghz_nativegates_ibm_qiskit_opt0_100,100,99,EffectiveQM_abalation_bridge,408.3,191.46080000000003,
ghz_nativegates_ibm_qiskit_opt0_100,100,99,EffectiveQM,417.3,167.62280000000004,
,,,,,,
ghz_nativegates_ibm_qiskit_opt0_20,20,19,EffectiveQM_abalation_bridge,27.3,6.1846000000000005,
ghz_nativegates_ibm_qiskit_opt0_20,20,19,EffectiveQM,30.6,8.293899999999999,
,,,,,,
ghz_nativegates_ibm_qiskit_opt0_30,30,29,EffectiveQM_abalation_bridge,60.9,17.2304,
ghz_nativegates_ibm_qiskit_opt0_30,30,29,EffectiveQM,71.4,13.4035,
,,,,,,
ghz_nativegates_ibm_qiskit_opt0_40,40,39,EffectiveQM_abalation_bridge,103.8,26.087600000000002,
ghz_nativegates_ibm_qiskit_opt0_40,40,39,EffectiveQM,105.6,29.272800000000007,
,,,,,,
ghz_nativegates_ibm_qiskit_opt0_50,50,49,EffectiveQM_abalation_bridge,155.7,47.966300000000004,
ghz_nativegates_ibm_qiskit_opt0_50,50,49,EffectiveQM,152.4,51.3855,
,,,,,,
graphstate_nativegates_ibm_qiskit_opt0_10,10,10,EffectiveQM_abalation_bridge,7.8,3.8792,
graphstate_nativegates_ibm_qiskit_opt0_10,10,10,EffectiveQM,10.2,5.501,
,,,,,,
graphstate_nativegates_ibm_qiskit_opt0_100,100,100,EffectiveQM_abalation_bridge,243.3,3608.042,
graphstate_nativegates_ibm_qiskit_opt0_100,100,100,EffectiveQM,286.5,3614.5759999999996,
,,,,,,
graphstate_nativegates_ibm_qiskit_opt0_20,20,20,EffectiveQM_abalation_bridge,23.1,81.48299999999999,
graphstate_nativegates_ibm_qiskit_opt0_20,20,20,EffectiveQM,30.3,54.8377,
,,,,,,
graphstate_nativegates_ibm_qiskit_opt0_30,30,30,EffectiveQM_abalation_bridge,38.1,202.8598,
graphstate_nativegates_ibm_qiskit_opt0_30,30,30,EffectiveQM,46.5,212.13149999999996,
,,,,,,
graphstate_nativegates_ibm_qiskit_opt0_40,40,40,EffectiveQM_abalation_bridge,57.3,904.8223,
graphstate_nativegates_ibm_qiskit_opt0_40,40,40,EffectiveQM,75.0,352.0277,
,,,,,,
graphstate_nativegates_ibm_qiskit_opt0_50,50,50,EffectiveQM_abalation_bridge,106.5,1369.833,
graphstate_nativegates_ibm_qiskit_opt0_50,50,50,EffectiveQM,113.4,1441.5801999999999,
,,,,,,
grover-noancilla_nativegates_ibm_qiskit_opt0_10,10,39032,EffectiveQM_abalation_bridge,34033.2,1612.705,
grover-noancilla_nativegates_ibm_qiskit_opt0_10,10,39032,EffectiveQM,21827.4,1827.5099999999998,
,,,,,,
portfolioqaoa_nativegates_ibm_qiskit_opt0_10,10,270,EffectiveQM_abalation_bridge,295.8,121.6134,
portfolioqaoa_nativegates_ibm_qiskit_opt0_10,10,270,EffectiveQM,300.6,45.0177,
,,,,,,
portfoliovqe_nativegates_ibm_qiskit_opt0_10,10,135,EffectiveQM_abalation_bridge,304.2,108.54400000000001,
portfoliovqe_nativegates_ibm_qiskit_opt0_10,10,135,EffectiveQM,313.5,72.4761,
,,,,,,
qaoa_nativegates_ibm_qiskit_opt0_10,10,40,EffectiveQM_abalation_bridge,21.0,4.4216999999999995,
qaoa_nativegates_ibm_qiskit_opt0_10,10,40,EffectiveQM,21.0,3.9326999999999996,
,,,,,,
qftentangled_nativegates_ibm_qiskit_opt0_10,10,114,EffectiveQM_abalation_bridge,123.0,28.833299999999998,
qftentangled_nativegates_ibm_qiskit_opt0_10,10,114,EffectiveQM,122.4,39.9589,
,,,,,,
qftentangled_nativegates_ibm_qiskit_opt0_100,100,10149,EffectiveQM_abalation_bridge,17441.4,3672.5049999999997,
