benchmark,qubits,original CNOT gates,algorithm name,added CNOT gates,time(s)
quantum_volume_10_loop0,10,150,EffectiveQM_abalation_bridge,40.2,34.5872,
quantum_volume_10_loop0,10,150,EffectiveQM,39.9,97.51570000000001,
,,,,,,
quantum_volume_10_loop1,10,150,EffectiveQM_abalation_bridge,28.5,26.659399999999998,
quantum_volume_10_loop1,10,150,EffectiveQM,28.8,37.7738,
,,,,,,
quantum_volume_10_loop2,10,150,EffectiveQM_abalation_bridge,30.0,26.2906,
quantum_volume_10_loop2,10,150,EffectiveQM,30.0,34.1403,
,,,,,,
quantum_volume_10_loop3,10,150,EffectiveQM_abalation_bridge,35.7,27.4351,
quantum_volume_10_loop3,10,150,EffectiveQM,34.5,63.642700000000005,
,,,,,,
quantum_volume_10_loop4,10,150,EffectiveQM_abalation_bridge,33.0,35.903,
quantum_volume_10_loop4,10,150,EffectiveQM,33.3,81.8196,
,,,,,,
quantum_volume_10_loop5,10,150,EffectiveQM_abalation_bridge,36.3,37.402699999999996,
quantum_volume_10_loop5,10,150,EffectiveQM,36.0,94.2712,
,,,,,,
quantum_volume_10_loop6,10,150,EffectiveQM_abalation_bridge,36.6,36.623599999999996,
quantum_volume_10_loop6,10,150,EffectiveQM,37.5,70.4122,
,,,,,,
quantum_volume_10_loop7,10,150,EffectiveQM_abalation_bridge,27.6,28.885399999999997,
quantum_volume_10_loop7,10,150,EffectiveQM,27.0,82.8017,
,,,,,,
quantum_volume_10_loop8,10,150,EffectiveQM_abalation_bridge,37.8,32.3419,
quantum_volume_10_loop8,10,150,EffectiveQM,36.9,106.7766,
,,,,,,
quantum_volume_10_loop9,10,150,EffectiveQM_abalation_bridge,24.0,16.1933,
quantum_volume_10_loop9,10,150,EffectiveQM,23.4,31.6584,
,,,,,,
quantum_volume_15_loop0,15,315,EffectiveQM_abalation_bridge,123.0,188.0508,
quantum_volume_15_loop0,15,315,EffectiveQM,120.3,1087.0800999999997,
,,,,,,
quantum_volume_15_loop1,15,315,EffectiveQM_abalation_bridge,111.6,180.84050000000002,
quantum_volume_15_loop1,15,315,EffectiveQM,112.2,766.9159,
,,,,,,
quantum_volume_15_loop2,15,315,EffectiveQM_abalation_bridge,111.6,202.2733,
quantum_volume_15_loop2,15,315,EffectiveQM,111.0,666.5464,
,,,,,,
quantum_volume_15_loop3,15,315,EffectiveQM_abalation_bridge,125.4,245.4382,
quantum_volume_15_loop3,15,315,EffectiveQM,125.7,977.9156,
,,,,,,
quantum_volume_15_loop4,15,315,EffectiveQM_abalation_bridge,124.2,231.3832,
quantum_volume_15_loop4,15,315,EffectiveQM,124.5,1001.5495999999999,
,,,,,,
quantum_volume_15_loop5,15,315,EffectiveQM_abalation_bridge,102.6,199.67379999999997,
quantum_volume_15_loop5,15,315,EffectiveQM,102.6,1029.76,
,,,,,,
quantum_volume_15_loop6,15,315,EffectiveQM_abalation_bridge,126.0,178.1739,
quantum_volume_15_loop6,15,315,EffectiveQM,124.2,1104.5795,
,,,,,,
quantum_volume_15_loop7,15,315,EffectiveQM_abalation_bridge,120.6,205.52129999999997,
quantum_volume_15_loop7,15,315,EffectiveQM,122.1,1047.1286000000002,
,,,,,,
quantum_volume_15_loop8,15,315,EffectiveQM_abalation_bridge,112.5,236.14900000000003,
quantum_volume_15_loop8,15,315,EffectiveQM,113.1,919.7927000000002,
,,,,,,
quantum_volume_15_loop9,15,315,EffectiveQM_abalation_bridge,117.0,205.38629999999998,
quantum_volume_15_loop9,15,315,EffectiveQM,115.2,1158.5391000000002,
,,,,,,
quantum_volume_5_loop0,5,30,EffectiveQM_abalation_bridge,3.0,0.6245,
quantum_volume_5_loop0,5,30,EffectiveQM,3.0,3.095,
,,,,,,
quantum_volume_5_loop1,5,30,EffectiveQM_abalation_bridge,0.0,0.0031,
quantum_volume_5_loop1,5,30,EffectiveQM,0.0,0.004,
,,,,,,
quantum_volume_5_loop2,5,30,EffectiveQM_abalation_bridge,0.0,0.0132,
quantum_volume_5_loop2,5,30,EffectiveQM,0.0,0.09770000000000001,
,,,,,,
quantum_volume_5_loop3,5,30,EffectiveQM_abalation_bridge,3.0,0.6666,
quantum_volume_5_loop3,5,30,EffectiveQM,3.0,1.9211000000000003,
,,,,,,
quantum_volume_5_loop4,5,30,EffectiveQM_abalation_bridge,3.0,0.5741999999999999,
quantum_volume_5_loop4,5,30,EffectiveQM,3.0,2.7952999999999997,
,,,,,,
quantum_volume_5_loop5,5,30,EffectiveQM_abalation_bridge,3.0,0.5664,
quantum_volume_5_loop5,5,30,EffectiveQM,3.0,2.2386000000000004,
,,,,,,
quantum_volume_5_loop6,5,30,EffectiveQM_abalation_bridge,0.0,0.0056,
quantum_volume_5_loop6,5,30,EffectiveQM,0.0,0.017100000000000004,
,,,,,,
quantum_volume_5_loop7,5,30,EffectiveQM_abalation_bridge,3.0,1.0019,
quantum_volume_5_loop7,5,30,EffectiveQM,3.0,2.5288000000000004,
,,,,,,
quantum_volume_5_loop8,5,30,EffectiveQM_abalation_bridge,3.0,0.5837,
quantum_volume_5_loop8,5,30,EffectiveQM,3.0,2.3993999999999995,
,,,,,,
quantum_volume_5_loop9,5,30,EffectiveQM_abalation_bridge,0.0,0.010600000000000002,
quantum_volume_5_loop9,5,30,EffectiveQM,0.0,0.04340000000000001,
,,,,,,
