benchmark,qubits,original CNOT gates,algorithm name,added CNOT gates,time(s)
quantum_volume_10_loop0,10,150,EffectiveQM_abalation_bridge,136.2,51.6364,
quantum_volume_10_loop0,10,150,EffectiveQM,138.9,244.32590000000005,
,,,,,,
quantum_volume_10_loop1,10,150,EffectiveQM_abalation_bridge,108.6,29.043,
quantum_volume_10_loop1,10,150,EffectiveQM,108.6,170.39589999999998,
,,,,,,
quantum_volume_10_loop2,10,150,EffectiveQM_abalation_bridge,116.1,37.4952,
quantum_volume_10_loop2,10,150,EffectiveQM,114.3,173.6531,
,,,,,,
quantum_volume_10_loop3,10,150,EffectiveQM_abalation_bridge,132.6,35.7667,
quantum_volume_10_loop3,10,150,EffectiveQM,131.1,221.41410000000002,
,,,,,,
quantum_volume_10_loop4,10,150,EffectiveQM_abalation_bridge,125.7,28.408099999999997,
quantum_volume_10_loop4,10,150,EffectiveQM,125.1,190.3259,
,,,,,,
quantum_volume_10_loop5,10,150,EffectiveQM_abalation_bridge,140.1,37.8811,
quantum_volume_10_loop5,10,150,EffectiveQM,141.0,221.37470000000002,
,,,,,,
quantum_volume_10_loop6,10,150,EffectiveQM_abalation_bridge,134.7,41.5687,
quantum_volume_10_loop6,10,150,EffectiveQM,137.7,215.5161,
,,,,,,
quantum_volume_10_loop7,10,150,EffectiveQM_abalation_bridge,112.8,38.7735,
quantum_volume_10_loop7,10,150,EffectiveQM,112.5,218.30270000000002,
,,,,,,
quantum_volume_10_loop8,10,150,EffectiveQM_abalation_bridge,136.5,40.641,
quantum_volume_10_loop8,10,150,EffectiveQM,136.8,183.36610000000002,
,,,,,,
quantum_volume_10_loop9,10,150,EffectiveQM_abalation_bridge,95.1,32.245,
quantum_volume_10_loop9,10,150,EffectiveQM,98.7,182.50239999999997,
,,,,,,
quantum_volume_15_loop0,15,315,EffectiveQM_abalation_bridge,352.2,195.28059999999996,
quantum_volume_15_loop0,15,315,EffectiveQM,354.6,972.6515000000002,
,,,,,,
quantum_volume_15_loop1,15,315,EffectiveQM_abalation_bridge,303.6,201.7987,
quantum_volume_15_loop1,15,315,EffectiveQM,305.4,931.5736,
,,,,,,
quantum_volume_15_loop2,15,315,EffectiveQM_abalation_bridge,318.0,244.4161,
quantum_volume_15_loop2,15,315,EffectiveQM,321.3,957.0958,
,,,,,,
quantum_volume_15_loop3,15,315,EffectiveQM_abalation_bridge,355.2,234.65009999999998,
quantum_volume_15_loop3,15,315,EffectiveQM,355.5,970.8716999999999,
,,,,,,
quantum_volume_15_loop4,15,315,EffectiveQM_abalation_bridge,345.9,211.75770000000003,
quantum_volume_15_loop4,15,315,EffectiveQM,349.5,1045.0334,
,,,,,,
quantum_volume_15_loop5,15,315,EffectiveQM_abalation_bridge,309.3,216.07150000000001,
quantum_volume_15_loop5,15,315,EffectiveQM,315.6,1001.1163,
,,,,,,
quantum_volume_15_loop6,15,315,EffectiveQM_abalation_bridge,355.5,205.56059999999997,
quantum_volume_15_loop6,15,315,EffectiveQM,352.8,1186.3959,
,,,,,,
quantum_volume_15_loop7,15,315,EffectiveQM_abalation_bridge,336.6,170.6101,
quantum_volume_15_loop7,15,315,EffectiveQM,335.1,968.8182,
,,,,,,
quantum_volume_15_loop8,15,315,EffectiveQM_abalation_bridge,332.7,165.38299999999998,
quantum_volume_15_loop8,15,315,EffectiveQM,337.5,919.6733,
,,,,,,
quantum_volume_15_loop9,15,315,EffectiveQM_abalation_bridge,330.3,163.1565,
quantum_volume_15_loop9,15,315,EffectiveQM,331.5,1095.0953,
,,,,,,
quantum_volume_5_loop0,5,30,EffectiveQM_abalation_bridge,12.0,0.7145999999999999,
quantum_volume_5_loop0,5,30,EffectiveQM,12.0,2.5543,
,,,,,,
quantum_volume_5_loop1,5,30,EffectiveQM_abalation_bridge,3.0,0.3847999999999999,
quantum_volume_5_loop1,5,30,EffectiveQM,3.0,1.8555,
,,,,,,
quantum_volume_5_loop2,5,30,EffectiveQM_abalation_bridge,9.0,0.7357,
quantum_volume_5_loop2,5,30,EffectiveQM,9.0,2.7818,
,,,,,,
quantum_volume_5_loop3,5,30,EffectiveQM_abalation_bridge,9.0,0.7559,
quantum_volume_5_loop3,5,30,EffectiveQM,9.0,2.7228000000000003,
,,,,,,
quantum_volume_5_loop4,5,30,EffectiveQM_abalation_bridge,6.0,0.5871000000000001,
quantum_volume_5_loop4,5,30,EffectiveQM,6.0,2.4909,
,,,,,,
quantum_volume_5_loop5,5,30,EffectiveQM_abalation_bridge,6.0,0.6744,
quantum_volume_5_loop5,5,30,EffectiveQM,6.0,2.0048000000000004,
,,,,,,
quantum_volume_5_loop6,5,30,EffectiveQM_abalation_bridge,6.0,0.5222,
quantum_volume_5_loop6,5,30,EffectiveQM,6.0,2.4406999999999996,
,,,,,,
quantum_volume_5_loop7,5,30,EffectiveQM_abalation_bridge,9.0,0.7791,
quantum_volume_5_loop7,5,30,EffectiveQM,9.0,1.9254000000000002,
,,,,,,
quantum_volume_5_loop8,5,30,EffectiveQM_abalation_bridge,6.0,0.5406000000000001,
quantum_volume_5_loop8,5,30,EffectiveQM,6.0,2.4747,
,,,,,,
quantum_volume_5_loop9,5,30,EffectiveQM_abalation_bridge,6.0,0.6919,
quantum_volume_5_loop9,5,30,EffectiveQM,6.0,2.1765999999999996,
,,,,,,
