benchmark,qubits,gates,name,added gate,time(s)
quantum_volume_10_loop0,10,150,EffectiveQM_abalation_bridge,128.7,37.0093,
quantum_volume_10_loop0,10,150,EffectiveQM,131.7,294.48,
,,,,,,
quantum_volume_10_loop1,10,150,EffectiveQM_abalation_bridge,104.4,20.736,
quantum_volume_10_loop1,10,150,EffectiveQM,104.4,216.1821,
,,,,,,
quantum_volume_10_loop2,10,150,EffectiveQM_abalation_bridge,116.1,26.219600000000003,
quantum_volume_10_loop2,10,150,EffectiveQM,116.1,182.04909999999998,
,,,,,,
quantum_volume_10_loop3,10,150,EffectiveQM_abalation_bridge,121.2,24.7839,
quantum_volume_10_loop3,10,150,EffectiveQM,120.3,225.7826,
,,,,,,
quantum_volume_10_loop4,10,150,EffectiveQM_abalation_bridge,124.8,24.452900000000003,
quantum_volume_10_loop4,10,150,EffectiveQM,124.8,185.98450000000003,
,,,,,,
quantum_volume_10_loop5,10,150,EffectiveQM_abalation_bridge,135.6,33.1961,
quantum_volume_10_loop5,10,150,EffectiveQM,135.3,280.3744,
,,,,,,
quantum_volume_10_loop6,10,150,EffectiveQM_abalation_bridge,132.6,34.73630000000001,
quantum_volume_10_loop6,10,150,EffectiveQM,131.7,262.8136,
,,,,,,
quantum_volume_10_loop7,10,150,EffectiveQM_abalation_bridge,111.9,38.3523,
quantum_volume_10_loop7,10,150,EffectiveQM,110.1,200.1318,
,,,,,,
quantum_volume_10_loop8,10,150,EffectiveQM_abalation_bridge,132.0,32.8913,
quantum_volume_10_loop8,10,150,EffectiveQM,131.7,304.5258,
,,,,,,
quantum_volume_10_loop9,10,150,EffectiveQM_abalation_bridge,93.0,23.259300000000003,
quantum_volume_10_loop9,10,150,EffectiveQM,93.0,167.863,
,,,,,,
quantum_volume_15_loop0,15,315,EffectiveQM_abalation_bridge,356.4,210.4169,
quantum_volume_15_loop0,15,315,EffectiveQM,365.1,1350.3154000000002,
,,,,,,
quantum_volume_15_loop1,15,315,EffectiveQM_abalation_bridge,313.5,192.5123,
quantum_volume_15_loop1,15,315,EffectiveQM,312.3,1343.5290999999997,
,,,,,,
