benchmark,qubits,gates,name,added gate,time(s)
quantum_volume_10_loop0,10,150,EffectiveQM_abalation_bridge,59.1,40.835100000000004,
quantum_volume_10_loop0,10,150,EffectiveQM,59.1,264.6717,
,,,,,,
quantum_volume_10_loop1,10,150,EffectiveQM_abalation_bridge,45.3,28.402899999999995,
quantum_volume_10_loop1,10,150,EffectiveQM,45.3,243.4598,
,,,,,,
quantum_volume_10_loop2,10,150,EffectiveQM_abalation_bridge,47.1,34.142700000000005,
quantum_volume_10_loop2,10,150,EffectiveQM,48.0,262.9732,
,,,,,,
quantum_volume_10_loop3,10,150,EffectiveQM_abalation_bridge,52.8,34.2338,
quantum_volume_10_loop3,10,150,EffectiveQM,52.8,269.9959,
,,,,,,
quantum_volume_10_loop4,10,150,EffectiveQM_abalation_bridge,50.4,41.6935,
quantum_volume_10_loop4,10,150,EffectiveQM,53.1,291.40279999999996,
,,,,,,
quantum_volume_10_loop5,10,150,EffectiveQM_abalation_bridge,56.4,38.40509999999999,
quantum_volume_10_loop5,10,150,EffectiveQM,57.0,301.8515,
,,,,,,
quantum_volume_10_loop6,10,150,EffectiveQM_abalation_bridge,58.2,39.5365,
quantum_volume_10_loop6,10,150,EffectiveQM,58.5,212.7063,
,,,,,,
quantum_volume_10_loop7,10,150,EffectiveQM_abalation_bridge,44.1,37.6666,
quantum_volume_10_loop7,10,150,EffectiveQM,44.7,193.24190000000002,
,,,,,,
quantum_volume_10_loop8,10,150,EffectiveQM_abalation_bridge,55.8,33.8319,
quantum_volume_10_loop8,10,150,EffectiveQM,55.2,217.14809999999997,
,,,,,,
quantum_volume_10_loop9,10,150,EffectiveQM_abalation_bridge,35.1,27.261800000000004,
quantum_volume_10_loop9,10,150,EffectiveQM,34.2,290.8435,
,,,,,,
quantum_volume_15_loop0,15,315,EffectiveQM_abalation_bridge,189.0,241.4393,
quantum_volume_15_loop0,15,315,EffectiveQM,190.2,1645.2119999999995,
,,,,,,
quantum_volume_15_loop1,15,315,EffectiveQM_abalation_bridge,172.8,237.42159999999998,
quantum_volume_15_loop1,15,315,EffectiveQM,172.5,1409.3145,
,,,,,,
quantum_volume_15_loop2,15,315,EffectiveQM_abalation_bridge,178.2,186.50799999999998,
quantum_volume_15_loop2,15,315,EffectiveQM,175.8,1381.5910000000001,
,,,,,,
quantum_volume_15_loop3,15,315,EffectiveQM_abalation_bridge,193.8,234.64569999999998,
quantum_volume_15_loop3,15,315,EffectiveQM,194.1,1511.9699999999998,
,,,,,,
quantum_volume_15_loop4,15,315,EffectiveQM_abalation_bridge,191.7,183.8761,
quantum_volume_15_loop4,15,315,EffectiveQM,190.2,1685.016,
,,,,,,
quantum_volume_15_loop5,15,315,EffectiveQM_abalation_bridge,165.6,186.8063,
quantum_volume_15_loop5,15,315,EffectiveQM,165.9,1322.3429999999998,
,,,,,,
quantum_volume_15_loop6,15,315,EffectiveQM_abalation_bridge,192.9,221.2588,
quantum_volume_15_loop6,15,315,EffectiveQM,194.4,1574.9459999999995,
,,,,,,
quantum_volume_15_loop7,15,315,EffectiveQM_abalation_bridge,186.3,255.6174,
quantum_volume_15_loop7,15,315,EffectiveQM,188.4,1376.1029999999998,
,,,,,,
quantum_volume_15_loop8,15,315,EffectiveQM_abalation_bridge,181.2,223.19189999999998,
quantum_volume_15_loop8,15,315,EffectiveQM,180.3,1553.858,
,,,,,,
quantum_volume_15_loop9,15,315,EffectiveQM_abalation_bridge,179.1,252.62359999999998,
quantum_volume_15_loop9,15,315,EffectiveQM,176.4,1580.7669999999998,
,,,,,,
quantum_volume_20_loop0,20,600,EffectiveQM_abalation_bridge,488.1,794.0849,
quantum_volume_20_loop0,20,600,EffectiveQM,486.6,3588.811,
,,,,,,
quantum_volume_20_loop1,20,600,EffectiveQM_abalation_bridge,497.4,841.8101,
quantum_volume_20_loop1,20,600,EffectiveQM,502.5,3497.5559999999996,
,,,,,,
quantum_volume_20_loop2,20,600,EffectiveQM_abalation_bridge,487.8,748.8087,
quantum_volume_20_loop2,20,600,EffectiveQM,490.2,3502.1169999999997,
,,,,,,
quantum_volume_20_loop3,20,600,EffectiveQM_abalation_bridge,476.4,1037.2287999999996,
quantum_volume_20_loop3,20,600,EffectiveQM,473.4,3500.186,
,,,,,,
quantum_volume_20_loop4,20,600,EffectiveQM_abalation_bridge,480.9,1085.4539,
quantum_volume_20_loop4,20,600,EffectiveQM,481.5,3586.674,
,,,,,,
quantum_volume_20_loop5,20,600,EffectiveQM_abalation_bridge,513.0,886.1745999999999,
quantum_volume_20_loop5,20,600,EffectiveQM,513.0,3511.957,
,,,,,,
quantum_volume_20_loop6,20,600,EffectiveQM_abalation_bridge,474.0,841.1191999999999,
quantum_volume_20_loop6,20,600,EffectiveQM,472.8,3600.613,
,,,,,,
quantum_volume_20_loop7,20,600,EffectiveQM_abalation_bridge,518.4,970.625,
quantum_volume_20_loop7,20,600,EffectiveQM,516.9,3600.7820000000006,
,,,,,,
quantum_volume_20_loop8,20,600,EffectiveQM_abalation_bridge,492.0,855.8745000000001,
quantum_volume_20_loop8,20,600,EffectiveQM,499.8,3499.0980000000004,
,,,,,,
quantum_volume_20_loop9,20,600,EffectiveQM_abalation_bridge,508.8,853.5577,
quantum_volume_20_loop9,20,600,EffectiveQM,511.5,3545.1979999999994,
,,,,,,
quantum_volume_25_loop0,25,900,EffectiveQM_abalation_bridge,952.5,2493.0670000000005,
quantum_volume_25_loop0,25,900,EffectiveQM,961.5,3601.2159999999994,
,,,,,,
quantum_volume_25_loop1,25,900,EffectiveQM_abalation_bridge,945.6,2497.8319999999994,
quantum_volume_25_loop1,25,900,EffectiveQM,942.6,3601.9630000000006,
,,,,,,
quantum_volume_25_loop2,25,900,EffectiveQM_abalation_bridge,936.6,2252.597,
quantum_volume_25_loop2,25,900,EffectiveQM,944.4,3601.9700000000003,
,,,,,,
quantum_volume_25_loop3,25,900,EffectiveQM_abalation_bridge,921.9,2539.8810000000003,
quantum_volume_25_loop3,25,900,EffectiveQM,940.2,3600.9550000000004,
,,,,,,
quantum_volume_25_loop4,25,900,EffectiveQM_abalation_bridge,913.5,2078.6639999999998,
quantum_volume_25_loop4,25,900,EffectiveQM,927.9,3600.782,
,,,,,,
quantum_volume_25_loop5,25,900,EffectiveQM_abalation_bridge,924.9,2444.381,
quantum_volume_25_loop5,25,900,EffectiveQM,950.1,3600.9899999999993,
,,,,,,
