benchmark,qubits,gates,name,added gate,time(s)
quantum_volume_10_loop0,10,150,EffectiveQM_abalation_bridge,40.2,37.1761,
quantum_volume_10_loop0,10,150,EffectiveQM,40.2,41.419599999999996,
,,,,,,
quantum_volume_10_loop1,10,150,EffectiveQM_abalation_bridge,29.1,23.0552,
quantum_volume_10_loop1,10,150,EffectiveQM,28.8,31.764400000000002,
,,,,,,
quantum_volume_10_loop2,10,150,EffectiveQM_abalation_bridge,30.0,29.497499999999995,
quantum_volume_10_loop2,10,150,EffectiveQM,30.3,35.2204,
,,,,,,
quantum_volume_10_loop3,10,150,EffectiveQM_abalation_bridge,34.5,27.464099999999995,
quantum_volume_10_loop3,10,150,EffectiveQM,34.5,35.8682,
,,,,,,
quantum_volume_10_loop4,10,150,EffectiveQM_abalation_bridge,33.6,37.704499999999996,
quantum_volume_10_loop4,10,150,EffectiveQM,33.6,31.083800000000004,
,,,,,,
quantum_volume_10_loop5,10,150,EffectiveQM_abalation_bridge,36.3,40.48950000000001,
quantum_volume_10_loop5,10,150,EffectiveQM,37.5,27.0837,
,,,,,,
quantum_volume_10_loop6,10,150,EffectiveQM_abalation_bridge,37.8,31.769600000000004,
quantum_volume_10_loop6,10,150,EffectiveQM,37.2,42.868,
,,,,,,
quantum_volume_10_loop7,10,150,EffectiveQM_abalation_bridge,27.9,29.0377,
quantum_volume_10_loop7,10,150,EffectiveQM,27.0,42.8781,
,,,,,,
quantum_volume_10_loop8,10,150,EffectiveQM_abalation_bridge,37.5,35.778,
quantum_volume_10_loop8,10,150,EffectiveQM,37.2,44.962599999999995,
,,,,,,
quantum_volume_10_loop9,10,150,EffectiveQM_abalation_bridge,23.7,19.3932,
quantum_volume_10_loop9,10,150,EffectiveQM,23.4,20.329900000000002,
,,,,,,
quantum_volume_15_loop0,15,315,EffectiveQM_abalation_bridge,125.4,206.90279999999998,
quantum_volume_15_loop0,15,315,EffectiveQM,125.7,150.4321,
,,,,,,
quantum_volume_15_loop1,15,315,EffectiveQM_abalation_bridge,115.5,208.6719,
quantum_volume_15_loop1,15,315,EffectiveQM,116.1,122.58429999999998,
,,,,,,
quantum_volume_15_loop2,15,315,EffectiveQM_abalation_bridge,115.5,201.6444,
quantum_volume_15_loop2,15,315,EffectiveQM,117.9,217.71539999999996,
,,,,,,
quantum_volume_15_loop3,15,315,EffectiveQM_abalation_bridge,132.3,228.1243,
quantum_volume_15_loop3,15,315,EffectiveQM,132.9,170.90699999999998,
,,,,,,
quantum_volume_15_loop4,15,315,EffectiveQM_abalation_bridge,132.6,269.1623,
quantum_volume_15_loop4,15,315,EffectiveQM,129.6,222.31980000000004,
,,,,,,
quantum_volume_15_loop5,15,315,EffectiveQM_abalation_bridge,109.2,214.00069999999997,
quantum_volume_15_loop5,15,315,EffectiveQM,110.4,150.3245,
,,,,,,
quantum_volume_15_loop6,15,315,EffectiveQM_abalation_bridge,130.5,248.70999999999998,
quantum_volume_15_loop6,15,315,EffectiveQM,130.2,160.21620000000001,
,,,,,,
quantum_volume_15_loop7,15,315,EffectiveQM_abalation_bridge,126.3,255.24059999999994,
quantum_volume_15_loop7,15,315,EffectiveQM,126.3,176.5324,
,,,,,,
quantum_volume_15_loop8,15,315,EffectiveQM_abalation_bridge,120.0,202.92479999999998,
quantum_volume_15_loop8,15,315,EffectiveQM,121.8,212.1288,
,,,,,,
quantum_volume_15_loop9,15,315,EffectiveQM_abalation_bridge,120.9,215.84650000000002,
quantum_volume_15_loop9,15,315,EffectiveQM,120.3,152.1567,
,,,,,,
quantum_volume_20_loop0,20,600,EffectiveQM_abalation_bridge,335.1,971.4071,
quantum_volume_20_loop0,20,600,EffectiveQM,337.8,2303.6059999999998,
,,,,,,
quantum_volume_20_loop1,20,600,EffectiveQM_abalation_bridge,339.6,1027.2370999999998,
quantum_volume_20_loop1,20,600,EffectiveQM,342.6,2917.4540000000006,
,,,,,,
quantum_volume_20_loop2,20,600,EffectiveQM_abalation_bridge,336.9,907.9321,
quantum_volume_20_loop2,20,600,EffectiveQM,338.4,2997.066,
,,,,,,
quantum_volume_20_loop3,20,600,EffectiveQM_abalation_bridge,326.1,895.8261999999999,
quantum_volume_20_loop3,20,600,EffectiveQM,330.0,1772.3231,
,,,,,,
quantum_volume_20_loop4,20,600,EffectiveQM_abalation_bridge,331.2,1085.3086,
quantum_volume_20_loop4,20,600,EffectiveQM,335.7,2534.258,
,,,,,,
quantum_volume_20_loop5,20,600,EffectiveQM_abalation_bridge,355.5,784.657,
quantum_volume_20_loop5,20,600,EffectiveQM,354.9,2475.6690000000003,
,,,,,,
quantum_volume_20_loop6,20,600,EffectiveQM_abalation_bridge,329.4,930.1362000000001,
quantum_volume_20_loop6,20,600,EffectiveQM,327.3,2744.8390000000004,
,,,,,,
quantum_volume_20_loop7,20,600,EffectiveQM_abalation_bridge,359.1,963.594,
quantum_volume_20_loop7,20,600,EffectiveQM,360.3,2717.948,
,,,,,,
quantum_volume_20_loop8,20,600,EffectiveQM_abalation_bridge,339.6,1078.9371,
quantum_volume_20_loop8,20,600,EffectiveQM,342.3,2428.3329999999996,
,,,,,,
quantum_volume_20_loop9,20,600,EffectiveQM_abalation_bridge,351.3,738.9163,
quantum_volume_20_loop9,20,600,EffectiveQM,351.9,2639.379,
,,,,,,
quantum_volume_5_loop0,5,30,EffectiveQM_abalation_bridge,3.0,0.7166,
quantum_volume_5_loop0,5,30,EffectiveQM,3.0,1.4176,
,,,,,,
quantum_volume_5_loop1,5,30,EffectiveQM_abalation_bridge,0.0,0.0010000000000000002,
quantum_volume_5_loop1,5,30,EffectiveQM,0.0,0.0006000000000000001,
,,,,,,
quantum_volume_5_loop2,5,30,EffectiveQM_abalation_bridge,0.0,0.006900000000000001,
quantum_volume_5_loop2,5,30,EffectiveQM,0.0,0.0232,
,,,,,,
quantum_volume_5_loop3,5,30,EffectiveQM_abalation_bridge,3.0,0.7015,
quantum_volume_5_loop3,5,30,EffectiveQM,3.0,0.29569999999999996,
,,,,,,
quantum_volume_5_loop4,5,30,EffectiveQM_abalation_bridge,3.0,0.5918,
quantum_volume_5_loop4,5,30,EffectiveQM,3.0,1.2689,
,,,,,,
quantum_volume_5_loop5,5,30,EffectiveQM_abalation_bridge,3.0,0.4728,
quantum_volume_5_loop5,5,30,EffectiveQM,3.0,1.4250999999999998,
,,,,,,
quantum_volume_5_loop6,5,30,EffectiveQM_abalation_bridge,0.0,0.0014,
quantum_volume_5_loop6,5,30,EffectiveQM,0.0,0.0023,
,,,,,,
quantum_volume_5_loop7,5,30,EffectiveQM_abalation_bridge,3.0,0.8568,
quantum_volume_5_loop7,5,30,EffectiveQM,3.0,1.5198,
,,,,,,
quantum_volume_5_loop8,5,30,EffectiveQM_abalation_bridge,3.0,0.6020000000000001,
quantum_volume_5_loop8,5,30,EffectiveQM,3.0,0.23420000000000002,
,,,,,,
quantum_volume_5_loop9,5,30,EffectiveQM_abalation_bridge,0.0,0.008400000000000001,
quantum_volume_5_loop9,5,30,EffectiveQM,0.0,0.0306,
,,,,,,
