benchmark,qubits,gates,name,added gate,time(s)
quantum_volume_10_loop0,10,150,EffectiveQM_abalation_bridge,129.6,74.6892,
quantum_volume_10_loop0,10,150,EffectiveQM,129.9,54.24649999999999,
,,,,,,
quantum_volume_10_loop1,10,150,EffectiveQM_abalation_bridge,104.7,45.3729,
quantum_volume_10_loop1,10,150,EffectiveQM,105.3,43.51200000000001,
,,,,,,
quantum_volume_10_loop2,10,150,EffectiveQM_abalation_bridge,116.1,55.6383,
quantum_volume_10_loop2,10,150,EffectiveQM,116.4,44.581399999999995,
,,,,,,
quantum_volume_10_loop3,10,150,EffectiveQM_abalation_bridge,122.7,59.04440000000002,
quantum_volume_10_loop3,10,150,EffectiveQM,121.8,46.190999999999995,
,,,,,,
quantum_volume_10_loop4,10,150,EffectiveQM_abalation_bridge,124.8,58.21020000000001,
quantum_volume_10_loop4,10,150,EffectiveQM,123.6,46.036,
,,,,,,
quantum_volume_10_loop5,10,150,EffectiveQM_abalation_bridge,135.9,82.86869999999999,
quantum_volume_10_loop5,10,150,EffectiveQM,135.3,62.54659999999999,
,,,,,,
quantum_volume_10_loop6,10,150,EffectiveQM_abalation_bridge,133.2,60.73619999999998,
quantum_volume_10_loop6,10,150,EffectiveQM,134.1,56.1407,
,,,,,,
quantum_volume_10_loop7,10,150,EffectiveQM_abalation_bridge,111.3,35.6586,
quantum_volume_10_loop7,10,150,EffectiveQM,108.6,52.981899999999996,
,,,,,,
quantum_volume_10_loop8,10,150,EffectiveQM_abalation_bridge,133.5,52.66940000000001,
quantum_volume_10_loop8,10,150,EffectiveQM,134.1,52.647299999999994,
,,,,,,
quantum_volume_10_loop9,10,150,EffectiveQM_abalation_bridge,91.2,47.5012,
quantum_volume_10_loop9,10,150,EffectiveQM,93.3,39.0261,
,,,,,,
quantum_volume_15_loop0,15,315,EffectiveQM_abalation_bridge,361.8,479.0159,
quantum_volume_15_loop0,15,315,EffectiveQM,358.8,308.26059999999995,
,,,,,,
quantum_volume_15_loop1,15,315,EffectiveQM_abalation_bridge,321.0,436.6453,
quantum_volume_15_loop1,15,315,EffectiveQM,312.9,146.8314,
,,,,,,
quantum_volume_15_loop2,15,315,EffectiveQM_abalation_bridge,336.6,321.5801,
quantum_volume_15_loop2,15,315,EffectiveQM,327.6,318.01869999999997,
,,,,,,
quantum_volume_15_loop3,15,315,EffectiveQM_abalation_bridge,367.8,461.98139999999995,
quantum_volume_15_loop3,15,315,EffectiveQM,363.9,385.81499999999994,
,,,,,,
quantum_volume_15_loop4,15,315,EffectiveQM_abalation_bridge,362.7,431.1525,
quantum_volume_15_loop4,15,315,EffectiveQM,360.3,308.59299999999996,
,,,,,,
