benchmark,qubits,gates,name,added gate,time(s)
4gt13_92,5,30,EffectiveQM_abalation_bridge,39.0,1.0943,
4gt13_92,5,30,EffectiveQM,24.0,0.4194444444444445,
,,,,,,
4mod5-v1_22,5,11,EffectiveQM_abalation_bridge,9.0,0.4109,
4mod5-v1_22,5,11,EffectiveQM,6.0,0.2581111111111111,
,,,,,,
9symml_195,11,15232,EffectiveQM_abalation_bridge,34312.5,2979.3300000000004,
9symml_195,11,15232,EffectiveQM,22183.0,669.6541111111111,
,,,,,,
adr4_197,13,1498,EffectiveQM_abalation_bridge,3072.3,272.6943,
adr4_197,13,1498,EffectiveQM,2115.6666666666665,79.98888888888888,
,,,,,,
alu-v0_27,5,17,EffectiveQM_abalation_bridge,21.0,0.6284,
alu-v0_27,5,17,EffectiveQM,18.0,0.43666666666666665,
,,,,,,
co14_215,15,7840,EffectiveQM_abalation_bridge,15597.3,1610.5790000000002,
co14_215,15,7840,EffectiveQM,9165.0,648.5677777777778,
,,,,,,
cycle10_2_110,12,2648,EffectiveQM_abalation_bridge,5199.0,418.77109999999993,
cycle10_2_110,12,2648,EffectiveQM,3422.6666666666665,142.733,
,,,,,,
decod24-v2_43,4,22,EffectiveQM_abalation_bridge,27.0,0.46950000000000003,
decod24-v2_43,4,22,EffectiveQM,18.0,0.15566666666666665,
,,,,,,
ising_model_10,10,90,EffectiveQM_abalation_bridge,0.0,0.0024000000000000002,
ising_model_10,10,90,EffectiveQM,0.0,0.008777777777777777,
,,,,,,
ising_model_13,13,120,EffectiveQM_abalation_bridge,0.0,0.071,
ising_model_13,13,120,EffectiveQM,0.0,0.03744444444444445,
,,,,,,
ising_model_16,16,150,EffectiveQM_abalation_bridge,32.7,17.052100000000003,
ising_model_16,16,150,EffectiveQM,33.333333333333336,14.913666666666668,
,,,,,,
misex1_241,15,2100,EffectiveQM_abalation_bridge,3895.5,287.2471,
misex1_241,15,2100,EffectiveQM,2567.3333333333335,92.72544444444443,
,,,,,,
mod5mils_65,5,16,EffectiveQM_abalation_bridge,18.0,0.4648999999999999,
mod5mils_65,5,16,EffectiveQM,12.0,0.1621111111111111,
,,,,,,
qft_10,10,90,EffectiveQM_abalation_bridge,87.3,20.6188,
qft_10,10,90,EffectiveQM,87.66666666666667,14.13011111111111,
,,,,,,
qft_13,13,156,EffectiveQM_abalation_bridge,167.7,57.5761,
qft_13,13,156,EffectiveQM,167.66666666666666,30.880111111111116,
,,,,,,
qft_16,16,240,EffectiveQM_abalation_bridge,267.9,142.2706,
qft_16,16,240,EffectiveQM,270.3333333333333,57.50933333333334,
,,,,,,
radd_250,13,1405,EffectiveQM_abalation_bridge,2786.7,192.1263,
radd_250,13,1405,EffectiveQM,1977.0,77.55977777777778,
,,,,,,
rd73_252,10,2319,EffectiveQM_abalation_bridge,4599.3,313.36469999999997,
rd73_252,10,2319,EffectiveQM,3311.0,122.06188888888886,
,,,,,,
rd84_142,15,154,EffectiveQM_abalation_bridge,237.0,38.8504,
rd84_142,15,154,EffectiveQM,173.0,18.91788888888889,
,,,,,,
rd84_253,12,5960,EffectiveQM_abalation_bridge,13278.6,1194.0868000000003,
rd84_253,12,5960,EffectiveQM,9306.0,330.52066666666667,
,,,,,,
sqn_258,10,4459,EffectiveQM_abalation_bridge,8759.4,947.4995000000001,
sqn_258,10,4459,EffectiveQM,6239.666666666667,222.30555555555554,
,,,,,,
square_root_7,15,3089,EffectiveQM_abalation_bridge,7081.5,678.2213,
square_root_7,15,3089,EffectiveQM,4446.333333333333,313.1576666666667,
,,,,,,
sym6_145,7,1701,EffectiveQM_abalation_bridge,2743.2,182.8973,
sym6_145,7,1701,EffectiveQM,1924.6666666666667,51.903333333333336,
,,,,,,
sym9_193,11,15232,EffectiveQM_abalation_bridge,34312.5,2664.0299999999997,
sym9_193,11,15232,EffectiveQM,22183.0,670.1983333333333,
,,,,,,
z4_268,11,1343,EffectiveQM_abalation_bridge,2619.9,174.6277,
z4_268,11,1343,EffectiveQM,1842.0,76.30122222222221,
,,,,,,
