benchmark,qubits,gates,name,added gate,time(s)
4gt13_92,5,30,EffectiveQM_abalation_bridge,30.0,2.2861000000000002,
4gt13_92,5,30,EffectiveQM,24.0,0.7914444444444445,
,,,,,,
4mod5-v1_22,5,11,EffectiveQM_abalation_bridge,9.0,0.8368,
4mod5-v1_22,5,11,EffectiveQM,6.0,0.4258888888888889,
,,,,,,
9symml_195,11,15232,EffectiveQM_abalation_bridge,22910.4,3258.5729999999994,
9symml_195,11,15232,EffectiveQM,16240.0,1525.9133333333334,
,,,,,,
adr4_197,13,1498,EffectiveQM_abalation_bridge,2158.2,459.89220000000006,
adr4_197,13,1498,EffectiveQM,1567.6666666666667,162.13511111111112,
,,,,,,
alu-v0_27,5,17,EffectiveQM_abalation_bridge,15.0,1.5136999999999998,
alu-v0_27,5,17,EffectiveQM,12.0,0.8400000000000001,
,,,,,,
co14_215,15,7840,EffectiveQM_abalation_bridge,12574.5,3551.9979999999996,
co14_215,15,7840,EffectiveQM,7890.333333333333,1246.742777777778,
,,,,,,
cycle10_2_110,12,2648,EffectiveQM_abalation_bridge,3809.7,656.6831999999997,
cycle10_2_110,12,2648,EffectiveQM,2728.0,334.85511111111117,
,,,,,,
decod24-v2_43,4,22,EffectiveQM_abalation_bridge,27.0,1.0203000000000002,
decod24-v2_43,4,22,EffectiveQM,18.0,0.2717777777777778,
,,,,,,
ising_model_10,10,90,EffectiveQM_abalation_bridge,0.0,0.023100000000000002,
ising_model_10,10,90,EffectiveQM,0.0,0.07244444444444445,
,,,,,,
ising_model_13,13,120,EffectiveQM_abalation_bridge,0.0,0.0651,
ising_model_13,13,120,EffectiveQM,0.0,0.01888888888888889,
,,,,,,
ising_model_16,16,150,EffectiveQM_abalation_bridge,0.0,0.17740000000000003,
ising_model_16,16,150,EffectiveQM,0.0,0.17266666666666663,
,,,,,,
misex1_241,15,2100,EffectiveQM_abalation_bridge,2952.6,357.83739999999995,
misex1_241,15,2100,EffectiveQM,2032.0,179.11066666666667,
,,,,,,
mod5mils_65,5,16,EffectiveQM_abalation_bridge,18.0,0.8088999999999998,
mod5mils_65,5,16,EffectiveQM,12.0,0.25955555555555554,
,,,,,,
qft_10,10,90,EffectiveQM_abalation_bridge,45.3,31.308600000000006,
qft_10,10,90,EffectiveQM,45.333333333333336,18.78988888888889,
,,,,,,
qft_13,13,156,EffectiveQM_abalation_bridge,99.9,135.93560000000002,
qft_13,13,156,EffectiveQM,99.33333333333333,59.439777777777785,
,,,,,,
qft_16,16,240,EffectiveQM_abalation_bridge,168.9,279.25020000000006,
qft_16,16,240,EffectiveQM,171.33333333333334,126.61622222222223,
,,,,,,
qft_20,20,380,EffectiveQM_abalation_bridge,294.6,599.3289,
qft_20,20,380,EffectiveQM,294.0,321.57222222222225,
,,,,,,
radd_250,13,1405,EffectiveQM_abalation_bridge,2006.4,330.55679999999995,
radd_250,13,1405,EffectiveQM,1470.0,140.3634444444444,
,,,,,,
rd73_252,10,2319,EffectiveQM_abalation_bridge,3334.5,484.99170000000004,
rd73_252,10,2319,EffectiveQM,2436.6666666666665,265.0783333333333,
,,,,,,
rd84_142,15,154,EffectiveQM_abalation_bridge,192.0,89.35589999999999,
rd84_142,15,154,EffectiveQM,142.0,44.263777777777776,
,,,,,,
rd84_253,12,5960,EffectiveQM_abalation_bridge,8924.1,1882.313,
rd84_253,12,5960,EffectiveQM,6458.0,661.2077777777777,
,,,,,,
sqn_258,10,4459,EffectiveQM_abalation_bridge,6425.7,1186.7026,
sqn_258,10,4459,EffectiveQM,4600.666666666667,396.3175555555556,
,,,,,,
square_root_7,15,3089,EffectiveQM_abalation_bridge,4683.3,1303.3167999999998,
square_root_7,15,3089,EffectiveQM,3167.0,463.81388888888887,
,,,,,,
sym6_145,7,1701,EffectiveQM_abalation_bridge,2263.5,248.19080000000002,
sym6_145,7,1701,EffectiveQM,1587.3333333333333,120.38277777777778,
,,,,,,
sym9_193,11,15232,EffectiveQM_abalation_bridge,22910.4,3273.065,
sym9_193,11,15232,EffectiveQM,16240.0,1523.7266666666667,
,,,,,,
z4_268,11,1343,EffectiveQM_abalation_bridge,1878.3,356.81579999999997,
z4_268,11,1343,EffectiveQM,1382.0,141.1351111111111,
,,,,,,
