benchmark,qubits,original CNOT gates,algorithm name,added CNOT gates,time(s)
4gt13_92,5,30,EffectiveQM_abalation_bridge,0.0,0.006,
4gt13_92,5,30,EffectiveQM,0.0,0.001,
,,,,,,
4mod5-v1_22,5,11,EffectiveQM_abalation_bridge,0.0,0.0035000000000000005,
4mod5-v1_22,5,11,EffectiveQM,0.0,0.0024444444444444444,
,,,,,,
9symml_195,11,15232,EffectiveQM_abalation_bridge,7887.9,2474.2480000000005,
9symml_195,11,15232,EffectiveQM,5295.666666666667,577.0763333333333,
,,,,,,
adr4_197,13,1498,EffectiveQM_abalation_bridge,618.3,228.64719999999997,
adr4_197,13,1498,EffectiveQM,501.3333333333333,84.07244444444444,
,,,,,,
alu-v0_27,5,17,EffectiveQM_abalation_bridge,3.0,0.5011,
alu-v0_27,5,17,EffectiveQM,3.0,0.18633333333333332,
,,,,,,
co14_215,15,7840,EffectiveQM_abalation_bridge,4530.0,1733.78,
co14_215,15,7840,EffectiveQM,2741.3333333333335,649.0736666666667,
,,,,,,
cycle10_2_110,12,2648,EffectiveQM_abalation_bridge,1092.6,368.25820000000004,
cycle10_2_110,12,2648,EffectiveQM,882.3333333333334,108.72822222222223,
,,,,,,
decod24-v2_43,4,22,EffectiveQM_abalation_bridge,0.0,0.0067,
decod24-v2_43,4,22,EffectiveQM,0.0,0.001,
,,,,,,
ising_model_10,10,90,EffectiveQM_abalation_bridge,0.0,0.004200000000000001,
ising_model_10,10,90,EffectiveQM,0.0,0.012444444444444445,
,,,,,,
ising_model_13,13,120,EffectiveQM_abalation_bridge,0.0,0.0245,
ising_model_13,13,120,EffectiveQM,0.0,0.0054444444444444445,
,,,,,,
ising_model_16,16,150,EffectiveQM_abalation_bridge,0.0,0.029300000000000003,
ising_model_16,16,150,EffectiveQM,0.0,0.10344444444444445,
,,,,,,
misex1_241,15,2100,EffectiveQM_abalation_bridge,576.3,212.0758,
misex1_241,15,2100,EffectiveQM,434.6666666666667,59.97755555555557,
,,,,,,
mod5mils_65,5,16,EffectiveQM_abalation_bridge,0.0,0.010199999999999999,
mod5mils_65,5,16,EffectiveQM,0.0,0.004333333333333333,
,,,,,,
qft_10,10,90,EffectiveQM_abalation_bridge,27.0,20.628600000000002,
qft_10,10,90,EffectiveQM,27.333333333333332,12.85988888888889,
,,,,,,
qft_13,13,156,EffectiveQM_abalation_bridge,62.1,80.2851,
qft_13,13,156,EffectiveQM,62.0,41.903999999999996,
,,,,,,
qft_16,16,240,EffectiveQM_abalation_bridge,114.3,235.4024,
qft_16,16,240,EffectiveQM,115.66666666666667,87.82733333333334,
,,,,,,
qft_20,20,380,EffectiveQM_abalation_bridge,221.7,505.2867,
qft_20,20,380,EffectiveQM,218.0,222.29233333333335,
,,,,,,
radd_250,13,1405,EffectiveQM_abalation_bridge,631.8,209.18850000000003,
radd_250,13,1405,EffectiveQM,524.6666666666666,73.69900000000001,
,,,,,,
rd73_252,10,2319,EffectiveQM_abalation_bridge,1013.7,328.75870000000003,
rd73_252,10,2319,EffectiveQM,793.3333333333334,122.04477777777778,
,,,,,,
rd84_142,15,154,EffectiveQM_abalation_bridge,60.3,43.9324,
rd84_142,15,154,EffectiveQM,56.333333333333336,19.82511111111111,
,,,,,,
rd84_253,12,5960,EffectiveQM_abalation_bridge,3041.1,892.2221,
rd84_253,12,5960,EffectiveQM,2218.0,239.82066666666665,
,,,,,,
sqn_258,10,4459,EffectiveQM_abalation_bridge,2092.5,505.70590000000004,
sqn_258,10,4459,EffectiveQM,1485.0,166.60844444444444,
,,,,,,
square_root_7,15,3089,EffectiveQM_abalation_bridge,813.3,603.3248000000001,
square_root_7,15,3089,EffectiveQM,785.6666666666666,214.224,
,,,,,,
sym6_145,7,1701,EffectiveQM_abalation_bridge,529.5,133.33459999999997,
sym6_145,7,1701,EffectiveQM,460.0,62.55511111111111,
,,,,,,
sym9_193,11,15232,EffectiveQM_abalation_bridge,7887.9,2430.2780000000002,
sym9_193,11,15232,EffectiveQM,5295.666666666667,579.1241111111111,
,,,,,,
z4_268,11,1343,EffectiveQM_abalation_bridge,519.3,158.28500000000003,
z4_268,11,1343,EffectiveQM,431.6666666666667,76.44277777777778,
,,,,,,
