benchmark,qubits,original CNOT gates,algorithm name,added CNOT gates,time(s)
4gt13_92,5,30,1,0.0,0.0003333333333333333,
4gt13_92,5,30,3,0.0,0.0011111111111111111,
4gt13_92,5,30,7,0.0,0.0012222222222222222,
4gt13_92,5,30,9,0.0,0.0012222222222222222,
4gt13_92,5,30,5,0.0,0.0006666666666666666,
,,,,,,
4mod5-v1_22,5,11,1,0.0,0.0012222222222222222,
4mod5-v1_22,5,11,3,0.0,0.0020000000000000005,
4mod5-v1_22,5,11,7,0.0,0.0024444444444444444,
4mod5-v1_22,5,11,9,0.0,0.002888888888888889,
4mod5-v1_22,5,11,5,0.0,0.0017777777777777779,
,,,,,,
9symml_195,11,15232,1,6688.333333333333,196.14922222222222,
9symml_195,11,15232,3,6670.0,370.37188888888886,
9symml_195,11,15232,7,6643.0,732.1377777777777,
9symml_195,11,15232,9,6606.333333333333,776.0627777777777,
9symml_195,11,15232,5,6684.666666666667,550.6994444444443,
,,,,,,
adr4_197,13,1498,1,556.6666666666666,21.010333333333335,
adr4_197,13,1498,3,522.3333333333334,55.25011111111112,
adr4_197,13,1498,7,518.6666666666666,110.38044444444444,
adr4_197,13,1498,9,519.0,100.06455555555556,
adr4_197,13,1498,5,536.6666666666666,73.29277777777777,
,,,,,,
alu-v0_27,5,17,1,3.0,0.10077777777777777,
alu-v0_27,5,17,3,3.0,0.14677777777777778,
alu-v0_27,5,17,7,3.0,0.162,
alu-v0_27,5,17,9,3.0,0.20444444444444446,
alu-v0_27,5,17,5,3.0,0.14022222222222222,
,,,,,,
co14_215,15,7840,1,3370.6666666666665,163.78433333333334,
co14_215,15,7840,3,3362.6666666666665,439.71299999999997,
co14_215,15,7840,7,3304.3333333333335,762.1828888888888,
co14_215,15,7840,9,3339.3333333333335,908.9078888888888,
co14_215,15,7840,5,3291.0,591.853111111111,
,,,,,,
cycle10_2_110,12,2648,1,1036.0,48.838,
cycle10_2_110,12,2648,3,1003.6666666666666,89.17044444444444,
cycle10_2_110,12,2648,7,1012.6666666666666,177.51044444444446,
cycle10_2_110,12,2648,9,1013.3333333333334,203.64644444444446,
cycle10_2_110,12,2648,5,1012.0,108.07288888888888,
,,,,,,
decod24-v2_43,4,22,1,0.0,0.0003333333333333333,
decod24-v2_43,4,22,3,0.0,0.0005555555555555556,
decod24-v2_43,4,22,7,0.0,0.0011111111111111111,
decod24-v2_43,4,22,9,0.0,0.0013333333333333333,
decod24-v2_43,4,22,5,0.0,0.0005555555555555556,
,,,,,,
ising_model_10,10,90,1,0.0,0.0031111111111111114,
ising_model_10,10,90,3,0.0,0.0017777777777777779,
ising_model_10,10,90,7,0.0,0.006888888888888889,
ising_model_10,10,90,9,0.0,0.0074444444444444445,
ising_model_10,10,90,5,0.0,0.004555555555555556,
,,,,,,
ising_model_13,13,120,1,0.0,0.004222222222222223,
ising_model_13,13,120,3,0.0,0.004777777777777779,
ising_model_13,13,120,7,0.0,0.004333333333333334,
ising_model_13,13,120,9,0.0,0.004666666666666667,
ising_model_13,13,120,5,0.0,0.004333333333333334,
,,,,,,
ising_model_16,16,150,1,0.0,0.06455555555555555,
ising_model_16,16,150,3,0.0,0.061111111111111116,
ising_model_16,16,150,7,0.0,0.05522222222222222,
ising_model_16,16,150,9,0.0,0.044444444444444446,
ising_model_16,16,150,5,0.0,0.06844444444444446,
,,,,,,
misex1_241,15,2100,1,510.0,20.25577777777778,
misex1_241,15,2100,3,492.3333333333333,37.23844444444444,
misex1_241,15,2100,7,484.6666666666667,83.64566666666667,
misex1_241,15,2100,9,475.3333333333333,101.32144444444444,
misex1_241,15,2100,5,490.0,51.001,
,,,,,,
mod5mils_65,5,16,1,0.0,0.0026666666666666666,
mod5mils_65,5,16,3,0.0,0.0031111111111111114,
mod5mils_65,5,16,7,0.0,0.002444444444444445,
mod5mils_65,5,16,9,0.0,0.003666666666666667,
mod5mils_65,5,16,5,0.0,0.003777777777777778,
,,,,,,
