benchmark,qubits,gates,name,added gate,time(s)
4gt13_92,5,30,1,24.0,0.1838888888888889,
4gt13_92,5,30,3,24.0,0.3062222222222222,
4gt13_92,5,30,7,24.0,0.614,
4gt13_92,5,30,9,24.0,0.5917777777777777,
4gt13_92,5,30,5,24.0,0.4194444444444445,
,,,,,,
4mod5-v1_22,5,11,1,6.0,0.078,
4mod5-v1_22,5,11,3,6.0,0.12077777777777778,
4mod5-v1_22,5,11,7,6.0,0.22655555555555557,
4mod5-v1_22,5,11,9,6.0,0.219,
4mod5-v1_22,5,11,5,6.0,0.2581111111111111,
,,,,,,
9symml_195,11,15232,1,22260.666666666668,217.986,
9symml_195,11,15232,3,22181.333333333332,576.0233333333334,
9symml_195,11,15232,7,22109.333333333332,1272.243111111111,
9symml_195,11,15232,9,22104.0,1688.2686666666668,
9symml_195,11,15232,5,22183.0,669.6541111111111,
,,,,,,
adr4_197,13,1498,1,2131.3333333333335,30.00011111111111,
adr4_197,13,1498,3,2125.3333333333335,61.462333333333326,
adr4_197,13,1498,7,2110.0,127.2428888888889,
adr4_197,13,1498,9,2116.6666666666665,137.69111111111113,
adr4_197,13,1498,5,2115.6666666666665,79.98888888888888,
,,,,,,
alu-v0_27,5,17,1,18.0,0.163,
alu-v0_27,5,17,3,18.0,0.3001111111111111,
alu-v0_27,5,17,7,18.0,0.4874444444444444,
alu-v0_27,5,17,9,18.0,0.5647777777777778,
alu-v0_27,5,17,5,18.0,0.43666666666666665,
,,,,,,
co14_215,15,7840,1,9243.666666666666,189.53566666666669,
co14_215,15,7840,3,9121.0,498.7701111111112,
co14_215,15,7840,7,9119.666666666666,1057.1704444444445,
co14_215,15,7840,9,9136.666666666666,1097.578111111111,
co14_215,15,7840,5,9165.0,648.5677777777778,
,,,,,,
cycle10_2_110,12,2648,1,3438.0,40.58622222222223,
cycle10_2_110,12,2648,3,3421.0,114.34133333333332,
cycle10_2_110,12,2648,7,3418.0,169.29333333333332,
cycle10_2_110,12,2648,9,3412.6666666666665,240.3487777777778,
cycle10_2_110,12,2648,5,3422.6666666666665,142.733,
,,,,,,
decod24-v2_43,4,22,1,18.0,0.07577777777777778,
decod24-v2_43,4,22,3,18.0,0.116,
decod24-v2_43,4,22,7,18.0,0.19844444444444442,
decod24-v2_43,4,22,9,18.0,0.2806666666666666,
decod24-v2_43,4,22,5,18.0,0.15566666666666665,
,,,,,,
ising_model_10,10,90,1,0.0,0.001888888888888889,
