benchmark,qubits,original CNOT gates,algorithm name,added CNOT gates,time(s)
4gt13_92,5,30,1,24.0,0.2626666666666667,
4gt13_92,5,30,3,24.0,0.5335555555555556,
4gt13_92,5,30,7,24.0,0.6364444444444444,
4gt13_92,5,30,9,24.0,0.7395555555555556,
4gt13_92,5,30,5,24.0,0.6872222222222222,
,,,,,,
4mod5-v1_22,5,11,1,6.0,0.19200000000000003,
4mod5-v1_22,5,11,3,6.0,0.28055555555555556,
4mod5-v1_22,5,11,7,6.0,0.34444444444444444,
4mod5-v1_22,5,11,9,6.0,0.3612222222222222,
4mod5-v1_22,5,11,5,6.0,0.2951111111111111,
,,,,,,
9symml_195,11,15232,1,22076.666666666668,290.1014444444445,
9symml_195,11,15232,3,22048.666666666668,659.8238888888889,
9symml_195,11,15232,7,21976.0,1510.3655555555554,
9symml_195,11,15232,9,21939.333333333332,1718.3144444444445,
9symml_195,11,15232,5,21923.333333333332,1064.2923333333335,
,,,,,,
adr4_197,13,1498,1,2056.3333333333335,42.31266666666667,
adr4_197,13,1498,3,2057.3333333333335,55.25977777777777,
adr4_197,13,1498,7,2029.6666666666667,130.88933333333335,
adr4_197,13,1498,9,2048.0,148.07011111111112,
adr4_197,13,1498,5,2065.3333333333335,95.88455555555554,
,,,,,,
alu-v0_27,5,17,1,18.0,0.2891111111111111,
alu-v0_27,5,17,3,18.0,0.4092222222222222,
alu-v0_27,5,17,7,18.0,0.6713333333333334,
alu-v0_27,5,17,9,18.0,0.8818888888888889,
alu-v0_27,5,17,5,18.0,0.5167777777777779,
,,,,,,
co14_215,15,7840,1,9385.666666666666,307.1001111111111,
co14_215,15,7840,3,9330.333333333334,607.8864444444444,
co14_215,15,7840,7,9228.333333333334,1339.9182222222223,
co14_215,15,7840,9,9221.333333333334,1486.9663333333333,
co14_215,15,7840,5,9257.666666666666,802.3702222222222,
,,,,,,
cycle10_2_110,12,2648,1,3457.0,53.47966666666667,
cycle10_2_110,12,2648,3,3420.3333333333335,131.41622222222222,
cycle10_2_110,12,2648,7,3419.6666666666665,183.33055555555558,
cycle10_2_110,12,2648,9,3410.6666666666665,267.4186666666667,
cycle10_2_110,12,2648,5,3420.6666666666665,170.01044444444446,
,,,,,,
decod24-v2_43,4,22,1,18.0,0.0912222222222222,
decod24-v2_43,4,22,3,18.0,0.1436666666666667,
decod24-v2_43,4,22,7,18.0,0.21322222222222223,
decod24-v2_43,4,22,9,18.0,0.25566666666666665,
decod24-v2_43,4,22,5,18.0,0.18188888888888888,
,,,,,,
ising_model_10,10,90,1,0.0,0.03155555555555556,
ising_model_10,10,90,3,0.0,0.011333333333333332,
ising_model_10,10,90,7,0.0,0.057444444444444444,
ising_model_10,10,90,9,0.0,0.06777777777777777,
ising_model_10,10,90,5,0.0,0.025333333333333333,
,,,,,,
ising_model_13,13,120,1,0.0,0.025111111111111112,
ising_model_13,13,120,3,0.0,0.014444444444444446,
ising_model_13,13,120,7,0.0,0.017222222222222226,
ising_model_13,13,120,9,0.0,0.032777777777777774,
ising_model_13,13,120,5,0.0,0.019444444444444445,
,,,,,,
ising_model_16,16,150,1,0.0,0.25722222222222224,
ising_model_16,16,150,3,0.0,0.25822222222222224,
ising_model_16,16,150,7,0.0,0.3638888888888888,
ising_model_16,16,150,9,0.0,0.336,
ising_model_16,16,150,5,0.0,0.32477777777777783,
,,,,,,
misex1_241,15,2100,1,2539.0,38.37277777777778,
misex1_241,15,2100,3,2517.3333333333335,67.67033333333332,
misex1_241,15,2100,7,2508.0,141.3846666666667,
misex1_241,15,2100,9,2512.0,148.00300000000001,
misex1_241,15,2100,5,2514.6666666666665,105.33144444444444,
,,,,,,
mod5mils_65,5,16,1,12.0,0.11644444444444445,
mod5mils_65,5,16,3,12.0,0.1502222222222222,
mod5mils_65,5,16,7,12.0,0.3254444444444445,
mod5mils_65,5,16,9,12.0,0.2753333333333334,
mod5mils_65,5,16,5,12.0,0.25800000000000006,
,,,,,,
qft_10,10,90,1,88.66666666666667,5.514777777777777,
qft_10,10,90,3,87.33333333333333,10.338777777777777,
qft_10,10,90,7,87.66666666666667,14.798888888888891,
qft_10,10,90,9,87.0,22.60766666666667,
qft_10,10,90,5,87.0,15.058333333333334,
,,,,,,
qft_13,13,156,1,170.0,17.113666666666667,
qft_13,13,156,3,168.33333333333334,33.06422222222222,
qft_13,13,156,7,168.66666666666666,53.226,
qft_13,13,156,9,168.33333333333334,61.665888888888894,
qft_13,13,156,5,168.33333333333334,31.109222222222222,
,,,,,,
qft_16,16,240,1,283.0,29.45688888888889,
qft_16,16,240,3,275.3333333333333,61.15611111111111,
qft_16,16,240,7,274.6666666666667,104.51088888888889,
qft_16,16,240,9,272.3333333333333,134.15577777777779,
qft_16,16,240,5,274.6666666666667,84.47066666666667,
,,,,,,
qft_20,20,380,1,465.3333333333333,75.07855555555557,
qft_20,20,380,3,464.0,122.8328888888889,
qft_20,20,380,7,461.6666666666667,302.6884444444445,
qft_20,20,380,9,456.6666666666667,309.2281111111111,
qft_20,20,380,5,462.0,202.68877777777777,
,,,,,,
radd_250,13,1405,1,1918.6666666666667,31.35422222222222,
radd_250,13,1405,3,1904.3333333333333,63.64577777777778,
radd_250,13,1405,7,1894.0,124.83233333333334,
radd_250,13,1405,9,1903.3333333333333,125.00555555555557,
radd_250,13,1405,5,1902.6666666666667,106.555,
,,,,,,
rd73_252,10,2319,1,3263.6666666666665,40.07377777777778,
rd73_252,10,2319,3,3238.6666666666665,87.85877777777779,
rd73_252,10,2319,7,3223.3333333333335,172.20799999999997,
rd73_252,10,2319,9,3216.0,229.3036666666667,
