benchmark,qubits,original CNOT gates,algorithm name,added CNOT gates,time(s)
4gt13_92,5,30,1,24.0,0.3485555555555555,
4gt13_92,5,30,3,24.0,0.6623333333333333,
4gt13_92,5,30,7,24.0,0.8074444444444445,
4gt13_92,5,30,9,24.0,1.46,
4gt13_92,5,30,5,24.0,0.7914444444444445,
,,,,,,
4mod5-v1_22,5,11,1,6.0,0.21066666666666667,
4mod5-v1_22,5,11,3,6.0,0.33522222222222225,
4mod5-v1_22,5,11,7,6.0,0.36066666666666664,
4mod5-v1_22,5,11,9,6.0,0.4833333333333333,
4mod5-v1_22,5,11,5,6.0,0.4258888888888889,
,,,,,,
9symml_195,11,15232,1,16317.666666666666,500.8233333333333,
9symml_195,11,15232,3,16238.666666666666,1054.0055555555557,
9symml_195,11,15232,7,16235.0,1754.1555555555558,
9symml_195,11,15232,9,16214.0,2256.822222222222,
9symml_195,11,15232,5,16240.0,1525.9133333333334,
,,,,,,
adr4_197,13,1498,1,1593.6666666666667,60.726777777777784,
adr4_197,13,1498,3,1578.6666666666667,109.06133333333334,
adr4_197,13,1498,7,1570.0,184.388,
adr4_197,13,1498,9,1564.3333333333333,322.1254444444445,
adr4_197,13,1498,5,1567.6666666666667,162.13511111111112,
,,,,,,
alu-v0_27,5,17,1,12.0,0.4582222222222223,
alu-v0_27,5,17,3,12.0,0.6119999999999999,
alu-v0_27,5,17,7,12.0,0.9184444444444444,
alu-v0_27,5,17,9,12.0,1.0195555555555555,
alu-v0_27,5,17,5,12.0,0.8400000000000001,
,,,,,,
co14_215,15,7840,1,8035.0,355.7304444444444,
co14_215,15,7840,3,7985.333333333333,731.374888888889,
co14_215,15,7840,7,7872.333333333333,1927.352222222222,
co14_215,15,7840,9,7870.0,2008.897777777778,
co14_215,15,7840,5,7890.333333333333,1246.742777777778,
,,,,,,
cycle10_2_110,12,2648,1,2783.3333333333335,87.87722222222222,
cycle10_2_110,12,2648,3,2750.0,181.7456666666667,
cycle10_2_110,12,2648,7,2721.6666666666665,398.1253333333333,
cycle10_2_110,12,2648,9,2724.6666666666665,506.54788888888896,
cycle10_2_110,12,2648,5,2728.0,334.85511111111117,
,,,,,,
decod24-v2_43,4,22,1,18.0,0.13655555555555557,
decod24-v2_43,4,22,3,18.0,0.2291111111111111,
decod24-v2_43,4,22,7,18.0,0.3847777777777778,
decod24-v2_43,4,22,9,18.0,0.44700000000000006,
decod24-v2_43,4,22,5,18.0,0.2717777777777778,
,,,,,,
ising_model_10,10,90,1,0.0,0.022777777777777772,
ising_model_10,10,90,3,0.0,0.02711111111111111,
ising_model_10,10,90,7,0.0,0.027,
ising_model_10,10,90,9,0.0,0.08133333333333333,
ising_model_10,10,90,5,0.0,0.07244444444444445,
,,,,,,
ising_model_13,13,120,1,0.0,0.021444444444444447,
ising_model_13,13,120,3,0.0,0.01866666666666667,
ising_model_13,13,120,7,0.0,0.018444444444444444,
ising_model_13,13,120,9,0.0,0.020444444444444446,
ising_model_13,13,120,5,0.0,0.01888888888888889,
,,,,,,
ising_model_16,16,150,1,0.0,0.19488888888888892,
ising_model_16,16,150,3,0.0,0.1428888888888889,
ising_model_16,16,150,7,0.0,0.2262222222222222,
ising_model_16,16,150,9,0.0,0.24844444444444447,
ising_model_16,16,150,5,0.0,0.17266666666666663,
,,,,,,
misex1_241,15,2100,1,2051.3333333333335,64.46322222222221,
misex1_241,15,2100,3,2037.3333333333333,136.9252222222222,
misex1_241,15,2100,7,2026.3333333333333,248.63,
misex1_241,15,2100,9,2025.6666666666667,290.4815555555555,
misex1_241,15,2100,5,2032.0,179.11066666666667,
,,,,,,
mod5mils_65,5,16,1,12.0,0.13422222222222224,
mod5mils_65,5,16,3,12.0,0.22777777777777775,
mod5mils_65,5,16,7,12.0,0.4063333333333334,
mod5mils_65,5,16,9,12.0,0.5903333333333333,
mod5mils_65,5,16,5,12.0,0.25955555555555554,
,,,,,,
qft_10,10,90,1,49.0,9.943222222222223,
qft_10,10,90,3,45.666666666666664,15.604333333333336,
qft_10,10,90,7,45.0,25.551777777777776,
qft_10,10,90,9,45.333333333333336,24.525333333333336,
qft_10,10,90,5,45.333333333333336,18.78988888888889,
,,,,,,
qft_13,13,156,1,103.66666666666667,19.195000000000004,
qft_13,13,156,3,102.0,38.67266666666667,
qft_13,13,156,7,98.33333333333333,68.42611111111111,
qft_13,13,156,9,98.0,84.37655555555556,
qft_13,13,156,5,99.33333333333333,59.439777777777785,
,,,,,,
qft_16,16,240,1,174.0,45.574111111111115,
qft_16,16,240,3,173.66666666666666,78.49311111111112,
qft_16,16,240,7,170.33333333333334,136.2564444444444,
qft_16,16,240,9,167.66666666666666,202.1181111111111,
qft_16,16,240,5,171.33333333333334,126.61622222222223,
,,,,,,
qft_20,20,380,1,303.3333333333333,84.99411111111111,
qft_20,20,380,3,294.0,202.8818888888889,
qft_20,20,380,7,289.6666666666667,430.90566666666666,
qft_20,20,380,9,292.6666666666667,407.9395555555555,
qft_20,20,380,5,294.0,321.57222222222225,
,,,,,,
radd_250,13,1405,1,1496.0,45.001555555555555,
radd_250,13,1405,3,1475.3333333333333,111.97477777777777,
radd_250,13,1405,7,1468.3333333333333,172.61355555555554,
radd_250,13,1405,9,1456.6666666666667,310.51877777777776,
radd_250,13,1405,5,1470.0,140.3634444444444,
,,,,,,
rd73_252,10,2319,1,2456.3333333333335,74.35933333333334,
rd73_252,10,2319,3,2441.6666666666665,182.47011111111115,
rd73_252,10,2319,7,2429.0,382.3656666666667,
rd73_252,10,2319,9,2418.6666666666665,465.95000000000005,
rd73_252,10,2319,5,2436.6666666666665,265.0783333333333,
,,,,,,
rd84_142,15,154,1,146.0,21.27722222222222,
rd84_142,15,154,3,142.66666666666666,42.85711111111111,
rd84_142,15,154,7,142.33333333333334,57.72244444444445,
rd84_142,15,154,9,140.33333333333334,94.86544444444445,
rd84_142,15,154,5,142.0,44.263777777777776,
,,,,,,
rd84_253,12,5960,1,6507.333333333333,226.64244444444444,
rd84_253,12,5960,3,6470.333333333333,556.5312222222223,
rd84_253,12,5960,7,6444.333333333333,911.0383333333334,
rd84_253,12,5960,9,6437.0,1192.6224444444442,
rd84_253,12,5960,5,6458.0,661.2077777777777,
,,,,,,
sqn_258,10,4459,1,4610.0,154.30766666666668,
sqn_258,10,4459,3,4603.0,263.36855555555553,
sqn_258,10,4459,7,4576.666666666667,650.94,
sqn_258,10,4459,9,4576.0,699.7991111111111,
sqn_258,10,4459,5,4600.666666666667,396.3175555555556,
,,,,,,
square_root_7,15,3089,1,3268.0,186.08811111111112,
square_root_7,15,3089,3,3185.3333333333335,355.30466666666666,
square_root_7,15,3089,7,3188.3333333333335,668.4895555555556,
square_root_7,15,3089,9,3171.0,819.8445555555556,
square_root_7,15,3089,5,3167.0,463.81388888888887,
,,,,,,
sym6_145,7,1701,1,1607.3333333333333,43.87577777777777,
sym6_145,7,1701,3,1589.0,76.38166666666666,
sym6_145,7,1701,7,1587.0,156.91566666666665,
sym6_145,7,1701,9,1589.3333333333333,210.251,
sym6_145,7,1701,5,1587.3333333333333,120.38277777777778,
,,,,,,
sym9_193,11,15232,1,16317.666666666666,498.9971111111111,
sym9_193,11,15232,3,16238.666666666666,1052.7662222222223,
sym9_193,11,15232,7,16235.0,1750.641111111111,
sym9_193,11,15232,9,16214.0,2265.6711111111113,
sym9_193,11,15232,5,16240.0,1523.7266666666667,
,,,,,,
z4_268,11,1343,1,1402.0,45.250888888888895,
z4_268,11,1343,3,1383.3333333333333,102.13000000000001,
z4_268,11,1343,7,1370.0,221.18744444444442,
z4_268,11,1343,9,1376.3333333333333,259.4386666666667,
z4_268,11,1343,5,1382.0,141.1351111111111,
,,,,,,
