benchmark,qubits,gates,name,added gate,time(s)
4gt13_92,5,30,1,0.0,0.0006666666666666666,
4gt13_92,5,30,3,0.0,0.0015555555555555555,
4gt13_92,5,30,7,0.0,0.002111111111111111,
4gt13_92,5,30,9,0.0,0.0028888888888888888,
4gt13_92,5,30,5,0.0,0.0009000000000000001,
,,,,,,
4mod5-v1_22,5,11,1,0.0,0.0015555555555555557,
4mod5-v1_22,5,11,3,0.0,0.002,
4mod5-v1_22,5,11,7,0.0,0.003444444444444445,
4mod5-v1_22,5,11,9,0.0,0.0024444444444444444,
4mod5-v1_22,5,11,5,0.0,0.0023,
,,,,,,
9symml_195,11,15232,1,5372.333333333333,170.24733333333336,
9symml_195,11,15232,3,5340.333333333333,393.0838888888889,
9symml_195,11,15232,7,5286.666666666667,827.4192222222223,
9symml_195,11,15232,9,5253.0,1190.5732222222223,
9symml_195,11,15232,5,5283.6,611.1587,
,,,,,,
adr4_197,13,1498,1,514.0,24.69922222222222,
adr4_197,13,1498,3,501.0,60.36211111111111,
adr4_197,13,1498,7,484.6666666666667,106.16655555555556,
adr4_197,13,1498,9,485.6666666666667,146.56933333333336,
adr4_197,13,1498,5,500.7,83.4114,
,,,,,,
alu-v0_27,5,17,1,3.0,0.12722222222222224,
alu-v0_27,5,17,3,3.0,0.20944444444444446,
alu-v0_27,5,17,7,3.0,0.19933333333333333,
alu-v0_27,5,17,9,3.0,0.2508888888888889,
alu-v0_27,5,17,5,3.0,0.1829,
,,,,,,
co14_215,15,7840,1,2796.0,180.82466666666673,
co14_215,15,7840,3,2703.6666666666665,325.3704444444445,
co14_215,15,7840,7,2733.3333333333335,845.0665555555556,
co14_215,15,7840,9,2665.0,976.5520000000001,
co14_215,15,7840,5,2736.6,630.0647000000001,
,,,,,,
cycle10_2_110,12,2648,1,908.3333333333334,38.466333333333324,
cycle10_2_110,12,2648,3,875.0,85.53433333333334,
cycle10_2_110,12,2648,7,864.0,167.90933333333334,
cycle10_2_110,12,2648,9,847.6666666666666,206.34866666666665,
cycle10_2_110,12,2648,5,878.1,108.59639999999999,
,,,,,,
decod24-v2_43,4,22,1,0.0,0.00044444444444444447,
decod24-v2_43,4,22,3,0.0,0.0008888888888888889,
decod24-v2_43,4,22,7,0.0,0.002,
decod24-v2_43,4,22,9,0.0,0.0026666666666666666,
decod24-v2_43,4,22,5,0.0,0.0011000000000000003,
,,,,,,
ising_model_10,10,90,1,0.0,0.005666666666666667,
ising_model_10,10,90,3,0.0,0.003666666666666667,
ising_model_10,10,90,7,0.0,0.005666666666666668,
ising_model_10,10,90,9,0.0,0.0071111111111111115,
ising_model_10,10,90,5,0.0,0.0122,
,,,,,,
ising_model_13,13,120,1,0.0,0.005666666666666666,
ising_model_13,13,120,3,0.0,0.006666666666666668,
ising_model_13,13,120,7,0.0,0.008,
ising_model_13,13,120,9,0.0,0.006444444444444445,
ising_model_13,13,120,5,0.0,0.005900000000000001,
,,,,,,
ising_model_16,16,150,1,0.0,0.06833333333333334,
ising_model_16,16,150,3,0.0,0.037777777777777785,
ising_model_16,16,150,7,0.0,0.07111111111111112,
ising_model_16,16,150,9,0.0,0.028,
ising_model_16,16,150,5,0.0,0.10410000000000001,
,,,,,,
misex1_241,15,2100,1,469.0,23.12222222222222,
misex1_241,15,2100,3,453.6666666666667,42.08988888888888,
misex1_241,15,2100,7,428.6666666666667,92.95433333333332,
misex1_241,15,2100,9,428.0,122.16566666666667,
misex1_241,15,2100,5,436.2,62.623900000000006,
,,,,,,
mod5mils_65,5,16,1,0.0,0.002444444444444445,
mod5mils_65,5,16,3,0.0,0.003333333333333333,
mod5mils_65,5,16,7,0.0,0.006555555555555556,
mod5mils_65,5,16,9,0.0,0.003666666666666667,
mod5mils_65,5,16,5,0.0,0.0046,
,,,,,,
qft_10,10,90,1,28.333333333333332,5.285444444444445,
qft_10,10,90,3,28.0,9.871222222222222,
qft_10,10,90,7,27.333333333333332,16.477555555555558,
qft_10,10,90,9,27.0,17.37,
qft_10,10,90,5,27.3,12.863900000000001,
,,,,,,
qft_13,13,156,1,63.666666666666664,13.716999999999999,
qft_13,13,156,3,62.333333333333336,29.187555555555555,
qft_13,13,156,7,62.666666666666664,44.96066666666667,
qft_13,13,156,9,63.0,49.595555555555556,
qft_13,13,156,5,62.1,40.7926,
,,,,,,
qft_16,16,240,1,121.0,28.89933333333333,
qft_16,16,240,3,115.33333333333333,60.836333333333336,
qft_16,16,240,7,114.33333333333333,112.20633333333333,
qft_16,16,240,9,113.33333333333333,145.82166666666666,
qft_16,16,240,5,115.5,85.50560000000002,
,,,,,,
qft_20,20,380,1,225.33333333333334,83.88544444444445,
qft_20,20,380,3,224.66666666666666,135.52866666666668,
qft_20,20,380,7,221.0,234.0403333333333,
qft_20,20,380,9,219.66666666666666,369.30822222222224,
qft_20,20,380,5,219.0,217.29010000000002,
,,,,,,
radd_250,13,1405,1,540.0,25.175111111111114,
radd_250,13,1405,3,537.0,55.59055555555556,
radd_250,13,1405,7,517.6666666666666,111.55977777777778,
radd_250,13,1405,9,519.3333333333334,127.0058888888889,
radd_250,13,1405,5,526.2,72.1831,
,,,,,,
rd73_252,10,2319,1,804.3333333333334,35.093222222222224,
rd73_252,10,2319,3,794.3333333333334,70.41400000000002,
rd73_252,10,2319,7,772.3333333333334,157.68133333333336,
rd73_252,10,2319,9,764.0,207.64611111111108,
rd73_252,10,2319,5,784.5,122.02630000000002,
,,,,,,
rd84_142,15,154,1,59.666666666666664,8.372777777777777,
rd84_142,15,154,3,58.0,14.190000000000001,
rd84_142,15,154,7,57.333333333333336,27.36488888888889,
rd84_142,15,154,9,54.666666666666664,35.144111111111116,
rd84_142,15,154,5,56.1,20.331599999999998,
,,,,,,
rd84_253,12,5960,1,2289.6666666666665,83.29444444444445,
rd84_253,12,5960,3,2256.6666666666665,224.6038888888889,
rd84_253,12,5960,7,2246.0,363.47444444444443,
rd84_253,12,5960,9,2216.6666666666665,587.9416666666667,
rd84_253,12,5960,5,2231.4,241.10759999999996,
,,,,,,
sqn_258,10,4459,1,1515.3333333333333,52.69933333333333,
sqn_258,10,4459,3,1472.6666666666667,112.15477777777775,
sqn_258,10,4459,7,1468.6666666666667,222.41711111111113,
sqn_258,10,4459,9,1456.3333333333333,276.12333333333333,
sqn_258,10,4459,5,1485.3,176.9976,
,,,,,,
square_root_7,15,3089,1,840.0,68.16477777777777,
square_root_7,15,3089,3,761.3333333333334,181.78955555555555,
square_root_7,15,3089,7,753.6666666666666,406.407,
square_root_7,15,3089,9,744.3333333333334,440.0892222222222,
square_root_7,15,3089,5,777.0,222.7886,
,,,,,,
sym6_145,7,1701,1,481.0,18.897111111111112,
sym6_145,7,1701,3,463.0,32.773999999999994,
sym6_145,7,1701,7,457.6666666666667,83.09266666666666,
sym6_145,7,1701,9,454.0,94.779,
