benchmark,qubits,gates,name,added gate,time(s)
4gt13_92,5,30,1,24.0,1.0249000000000001,
4gt13_92,5,30,3,24.0,1.6161999999999999,
4gt13_92,5,30,7,24.0,2.6691,
4gt13_92,5,30,9,24.0,2.1677999999999997,
4gt13_92,5,30,5,24.0,1.1857000000000002,
,,,,,,
4mod5-v1_22,5,11,1,6.6,0.3113,
4mod5-v1_22,5,11,3,6.0,0.6519999999999999,
4mod5-v1_22,5,11,7,6.0,1.0469,
4mod5-v1_22,5,11,9,6.0,1.1974,
4mod5-v1_22,5,11,5,6.0,0.8206,
,,,,,,
9symml_195,11,15232,1,22140.3,665.5489,
9symml_195,11,15232,3,21998.7,1790.1371000000004,
9symml_195,11,15232,7,21919.8,3266.401,
9symml_195,11,15232,9,21901.2,3479.7689999999993,
9symml_195,11,15232,5,21841.5,2688.7349999999997,
,,,,,,
adr4_197,13,1498,1,2058.6,81.3132,
adr4_197,13,1498,3,2061.9,119.92840000000001,
adr4_197,13,1498,7,2041.5,417.9977,
adr4_197,13,1498,9,2034.0,563.3925999999999,
adr4_197,13,1498,5,2043.9,267.03270000000003,
,,,,,,
alu-v0_27,5,17,1,18.0,0.3162,
alu-v0_27,5,17,3,18.0,0.8205,
alu-v0_27,5,17,7,18.0,1.2327,
alu-v0_27,5,17,9,18.0,1.4174,
alu-v0_27,5,17,5,18.0,0.9471000000000002,
,,,,,,
co14_215,15,7840,1,9362.7,586.6677000000001,
co14_215,15,7840,3,9321.9,1325.7553,
co14_215,15,7840,7,9249.9,3130.7529999999997,
co14_215,15,7840,9,9191.7,3525.2879999999996,
co14_215,15,7840,5,9234.9,2733.852,
,,,,,,
cycle10_2_110,12,2648,1,3465.9,121.68260000000001,
cycle10_2_110,12,2648,3,3444.9,287.8537,
cycle10_2_110,12,2648,7,3420.0,753.9181000000001,
cycle10_2_110,12,2648,9,3407.4,946.117,
cycle10_2_110,12,2648,5,3416.4,497.30060000000003,
,,,,,,
decod24-v2_43,4,22,1,18.0,0.2791,
decod24-v2_43,4,22,3,18.0,0.2428,
decod24-v2_43,4,22,7,18.0,0.784,
decod24-v2_43,4,22,9,18.0,0.9226000000000001,
decod24-v2_43,4,22,5,18.0,0.5862,
,,,,,,
ising_model_10,10,90,1,0.0,0.0333,
ising_model_10,10,90,3,0.0,0.032100000000000004,
ising_model_10,10,90,7,0.0,0.055400000000000005,
ising_model_10,10,90,9,0.0,0.032,
ising_model_10,10,90,5,0.0,0.032200000000000006,
,,,,,,
ising_model_13,13,120,1,0.0,0.1092,
ising_model_13,13,120,3,0.0,0.12790000000000004,
ising_model_13,13,120,7,0.0,0.1627,
ising_model_13,13,120,9,0.0,0.11770000000000003,
ising_model_13,13,120,5,0.0,0.09380000000000001,
,,,,,,
ising_model_16,16,150,1,0.0,0.2624,
ising_model_16,16,150,3,0.0,0.2813,
ising_model_16,16,150,7,0.0,0.2378,
ising_model_16,16,150,9,0.0,0.31310000000000004,
ising_model_16,16,150,5,0.0,0.20980000000000004,
,,,,,,
misex1_241,15,2100,1,2552.1,80.4748,
misex1_241,15,2100,3,2525.1,223.1178,
misex1_241,15,2100,7,2511.3,480.33009999999996,
misex1_241,15,2100,9,2501.1,464.75409999999994,
misex1_241,15,2100,5,2515.2,369.16929999999996,
,,,,,,
mod5mils_65,5,16,1,12.0,0.4077,
mod5mils_65,5,16,3,12.0,0.5105999999999999,
mod5mils_65,5,16,7,12.0,0.9373999999999999,
mod5mils_65,5,16,9,12.0,1.0171,
mod5mils_65,5,16,5,12.0,0.6923999999999999,
,,,,,,
qft_10,10,90,1,88.8,8.359399999999999,
qft_10,10,90,3,88.2,13.092000000000002,
qft_10,10,90,7,87.3,35.8864,
qft_10,10,90,9,87.3,49.4547,
qft_10,10,90,5,87.3,29.021000000000004,
,,,,,,
qft_13,13,156,1,171.3,28.7414,
qft_13,13,156,3,169.2,61.7734,
qft_13,13,156,7,168.9,125.60529999999997,
qft_13,13,156,9,168.3,135.558,
qft_13,13,156,5,169.2,87.965,
,,,,,,
qft_16,16,240,1,279.3,62.40560000000001,
qft_16,16,240,3,275.1,164.7837,
qft_16,16,240,7,273.9,287.6555000000001,
qft_16,16,240,9,273.3,328.77580000000006,
qft_16,16,240,5,276.6,246.1417,
,,,,,,
qft_20,20,380,1,471.6,117.39630000000002,
qft_20,20,380,3,462.6,474.13610000000006,
qft_20,20,380,7,457.5,703.8414,
qft_20,20,380,9,456.0,583.4374,
qft_20,20,380,5,458.1,333.8783,
,,,,,,
radd_250,13,1405,1,1927.5,67.20680000000002,
radd_250,13,1405,3,1915.8,125.02990000000003,
radd_250,13,1405,7,1886.1,429.1767,
radd_250,13,1405,9,1890.6,492.99219999999997,
radd_250,13,1405,5,1900.8,275.6303,
,,,,,,
rd73_252,10,2319,1,3261.9,84.12160000000002,
rd73_252,10,2319,3,3224.1,330.36179999999996,
