benchmark,qubits,original CNOT gates,algorithm name,added CNOT gates,time(s)
4gt13_92,5,30,100,0.0,0.0007777777777777778,
4gt13_92,5,30,1000,0.0,0.0005555555555555556,
4gt13_92,5,30,50,0.0,0.0006666666666666666,
4gt13_92,5,30,500,0.0,0.0006666666666666666,
,,,,,,
4mod5-v1_22,5,11,100,0.0,0.001666666666666667,
4mod5-v1_22,5,11,1000,0.0,0.001888888888888889,
4mod5-v1_22,5,11,50,0.0,0.0021111111111111113,
4mod5-v1_22,5,11,500,0.0,0.0017777777777777779,
,,,,,,
9symml_195,11,15232,100,6760.666666666667,130.92966666666666,
9symml_195,11,15232,1000,6645.333333333333,1172.6323333333335,
9symml_195,11,15232,50,6843.666666666667,59.167,
9symml_195,11,15232,500,6684.666666666667,550.6994444444443,
,,,,,,
adr4_197,13,1498,100,566.6666666666666,16.35088888888889,
adr4_197,13,1498,1000,520.0,158.52677777777774,
adr4_197,13,1498,50,572.6666666666666,8.514333333333333,
adr4_197,13,1498,500,536.6666666666666,73.29277777777777,
,,,,,,
alu-v0_27,5,17,100,3.0,0.02822222222222222,
alu-v0_27,5,17,1000,3.0,0.2721111111111111,
alu-v0_27,5,17,50,3.0,0.014,
alu-v0_27,5,17,500,3.0,0.14022222222222222,
,,,,,,
co14_215,15,7840,100,3412.6666666666665,120.39511111111112,
co14_215,15,7840,1000,3269.6666666666665,1127.831222222222,
co14_215,15,7840,50,3466.3333333333335,53.74088888888889,
co14_215,15,7840,500,3291.0,591.853111111111,
,,,,,,
cycle10_2_110,12,2648,100,1026.3333333333333,22.959999999999997,
cycle10_2_110,12,2648,1000,1001.0,212.02388888888888,
cycle10_2_110,12,2648,50,1032.0,12.517222222222223,
cycle10_2_110,12,2648,500,1012.0,108.07288888888888,
,,,,,,
decod24-v2_43,4,22,100,0.0,0.00044444444444444447,
decod24-v2_43,4,22,1000,0.0,0.001,
decod24-v2_43,4,22,50,0.0,0.0005555555555555556,
decod24-v2_43,4,22,500,0.0,0.0005555555555555556,
,,,,,,
ising_model_10,10,90,100,0.0,0.0017777777777777779,
ising_model_10,10,90,1000,0.0,0.0016666666666666666,
ising_model_10,10,90,50,0.0,0.010555555555555556,
ising_model_10,10,90,500,0.0,0.004555555555555556,
,,,,,,
ising_model_13,13,120,100,0.0,0.004,
ising_model_13,13,120,1000,0.0,0.00488888888888889,
ising_model_13,13,120,50,0.0,0.004333333333333334,
ising_model_13,13,120,500,0.0,0.004333333333333334,
,,,,,,
ising_model_16,16,150,100,0.0,0.06877777777777777,
ising_model_16,16,150,1000,0.0,0.04466666666666666,
ising_model_16,16,150,50,0.0,0.054555555555555565,
ising_model_16,16,150,500,0.0,0.06844444444444446,
,,,,,,
misex1_241,15,2100,100,499.3333333333333,13.014999999999999,
misex1_241,15,2100,1000,477.6666666666667,128.93266666666668,
misex1_241,15,2100,50,511.6666666666667,6.590999999999999,
misex1_241,15,2100,500,490.0,51.001,
