benchmark,qubits,original CNOT gates,algorithm name,added CNOT gates,time(s)
4gt13_92,5,30,100,24.333333333333332,0.09155555555555556,
4gt13_92,5,30,1000,24.0,0.8355555555555555,
4gt13_92,5,30,50,24.666666666666668,0.048666666666666664,
4gt13_92,5,30,500,24.0,0.4194444444444445,
,,,,,,
4mod5-v1_22,5,11,100,6.333333333333333,0.03866666666666666,
4mod5-v1_22,5,11,1000,6.0,0.28522222222222227,
4mod5-v1_22,5,11,50,6.666666666666667,0.018222222222222223,
4mod5-v1_22,5,11,500,6.0,0.2581111111111111,
,,,,,,
9symml_195,11,15232,100,22222.0,205.19866666666667,
9symml_195,11,15232,1000,22082.0,1661.7581111111112,
9symml_195,11,15232,50,22313.666666666668,101.71366666666667,
9symml_195,11,15232,500,22183.0,669.6541111111111,
,,,,,,
adr4_197,13,1498,100,2143.3333333333335,19.731111111111108,
adr4_197,13,1498,1000,2106.6666666666665,198.17511111111108,
adr4_197,13,1498,50,2170.6666666666665,8.974555555555556,
adr4_197,13,1498,500,2115.6666666666665,79.98888888888888,
,,,,,,
alu-v0_27,5,17,100,18.0,0.05744444444444444,
alu-v0_27,5,17,1000,18.0,0.9528888888888891,
alu-v0_27,5,17,50,18.0,0.025777777777777774,
alu-v0_27,5,17,500,18.0,0.43666666666666665,
,,,,,,
co14_215,15,7840,100,9218.0,150.13033333333334,
co14_215,15,7840,1000,9105.666666666666,1763.0611111111111,
co14_215,15,7840,50,9239.333333333334,83.11644444444444,
co14_215,15,7840,500,9165.0,648.5677777777778,
,,,,,,
cycle10_2_110,12,2648,100,3437.6666666666665,33.437000000000005,
cycle10_2_110,12,2648,1000,3405.6666666666665,315.58011111111114,
cycle10_2_110,12,2648,50,3454.0,14.501888888888892,
cycle10_2_110,12,2648,500,3422.6666666666665,142.733,
,,,,,,
decod24-v2_43,4,22,100,18.0,0.03077777777777778,
decod24-v2_43,4,22,1000,18.0,0.38922222222222225,
decod24-v2_43,4,22,50,18.0,0.01577777777777778,
decod24-v2_43,4,22,500,18.0,0.15566666666666665,
,,,,,,
ising_model_10,10,90,100,0.0,0.005111111111111112,
ising_model_10,10,90,1000,0.0,0.01,
ising_model_10,10,90,50,0.0,0.014555555555555556,
ising_model_10,10,90,500,0.0,0.008777777777777777,
,,,,,,
ising_model_13,13,120,100,0.0,0.035333333333333335,
ising_model_13,13,120,1000,0.0,0.039666666666666656,
ising_model_13,13,120,50,0.0,0.049,
ising_model_13,13,120,500,0.0,0.03744444444444445,
,,,,,,
ising_model_16,16,150,100,36.666666666666664,2.7645555555555554,
ising_model_16,16,150,1000,33.0,26.371111111111112,
ising_model_16,16,150,50,38.333333333333336,1.6541111111111109,
ising_model_16,16,150,500,33.333333333333336,14.913666666666668,
,,,,,,
misex1_241,15,2100,100,2602.6666666666665,18.055,
misex1_241,15,2100,1000,2562.3333333333335,193.416,
misex1_241,15,2100,50,2610.0,10.476111111111111,
misex1_241,15,2100,500,2567.3333333333335,92.72544444444443,
,,,,,,
mod5mils_65,5,16,100,12.0,0.038,
mod5mils_65,5,16,1000,12.0,0.3531111111111111,
mod5mils_65,5,16,50,12.0,0.02266666666666667,
mod5mils_65,5,16,500,12.0,0.1621111111111111,
,,,,,,
qft_10,10,90,100,90.33333333333333,2.449333333333333,
qft_10,10,90,1000,87.33333333333333,24.04511111111111,
qft_10,10,90,50,90.66666666666667,1.0568888888888888,
qft_10,10,90,500,87.66666666666667,14.13011111111111,
,,,,,,
qft_13,13,156,100,170.0,6.046111111111112,
qft_13,13,156,1000,166.66666666666666,64.68288888888888,
qft_13,13,156,50,170.33333333333334,3.243,
qft_13,13,156,500,167.66666666666666,30.880111111111116,
,,,,,,
qft_16,16,240,100,273.3333333333333,13.69188888888889,
qft_16,16,240,1000,268.3333333333333,120.04766666666667,
qft_16,16,240,50,273.6666666666667,8.664666666666667,
qft_16,16,240,500,270.3333333333333,57.50933333333334,
,,,,,,
radd_250,13,1405,100,2020.3333333333333,14.92311111111111,
radd_250,13,1405,1000,1948.3333333333333,199.39888888888885,
radd_250,13,1405,50,2028.0,7.84611111111111,
radd_250,13,1405,500,1977.0,77.55977777777778,
,,,,,,
rd73_252,10,2319,100,3363.3333333333335,25.250555555555554,
rd73_252,10,2319,1000,3305.3333333333335,219.75722222222223,
rd73_252,10,2319,50,3379.3333333333335,11.87011111111111,
rd73_252,10,2319,500,3311.0,122.06188888888886,
,,,,,,
rd84_142,15,154,100,174.0,3.4541111111111107,
rd84_142,15,154,1000,173.0,33.340111111111106,
rd84_142,15,154,50,174.33333333333334,1.8585555555555555,
rd84_142,15,154,500,173.0,18.91788888888889,
,,,,,,
rd84_253,12,5960,100,9362.666666666666,86.82566666666668,
rd84_253,12,5960,1000,9280.666666666666,661.3573333333334,
rd84_253,12,5960,50,9486.0,33.67155555555556,
rd84_253,12,5960,500,9306.0,330.52066666666667,
,,,,,,
sqn_258,10,4459,100,6288.666666666667,45.407555555555554,
sqn_258,10,4459,1000,6183.0,428.4992222222223,
sqn_258,10,4459,50,6370.666666666667,21.937555555555555,
sqn_258,10,4459,500,6239.666666666667,222.30555555555554,
,,,,,,
square_root_7,15,3089,100,4586.666666666667,68.359,
square_root_7,15,3089,1000,4405.666666666667,599.4262222222223,
square_root_7,15,3089,50,4699.666666666667,31.321,
square_root_7,15,3089,500,4446.333333333333,313.1576666666667,
,,,,,,
sym6_145,7,1701,100,1934.6666666666667,13.007555555555555,
sym6_145,7,1701,1000,1914.6666666666667,127.43344444444445,
sym6_145,7,1701,50,1948.3333333333333,5.632000000000001,
sym6_145,7,1701,500,1924.6666666666667,51.903333333333336,
,,,,,,
sym9_193,11,15232,100,22222.0,204.26155555555556,
sym9_193,11,15232,1000,22082.0,1649.8672222222222,
sym9_193,11,15232,50,22313.666666666668,100.96755555555553,
sym9_193,11,15232,500,22183.0,670.1983333333333,
,,,,,,
z4_268,11,1343,100,1879.0,17.24533333333333,
z4_268,11,1343,1000,1839.0,139.2948888888889,
z4_268,11,1343,50,1899.6666666666667,7.385444444444444,
z4_268,11,1343,500,1842.0,76.30122222222221,
,,,,,,
