benchmark,qubits,gates,name,added gate,time(s)
4gt13_92,5,30,100,24.0,0.13122222222222224,
4gt13_92,5,30,1000,24.0,1.0285555555555557,
4gt13_92,5,30,50,24.666666666666668,0.06666666666666667,
4gt13_92,5,30,500,24.0,0.6872222222222222,
,,,,,,
4mod5-v1_22,5,11,100,6.333333333333333,0.05644444444444444,
4mod5-v1_22,5,11,1000,6.0,0.5047777777777777,
4mod5-v1_22,5,11,50,7.333333333333333,0.02588888888888889,
4mod5-v1_22,5,11,500,6.0,0.2951111111111111,
,,,,,,
9symml_195,11,15232,100,22106.0,240.69,
9symml_195,11,15232,1000,21828.0,2332.498888888889,
9symml_195,11,15232,50,22202.666666666668,114.00633333333333,
9symml_195,11,15232,500,21923.333333333332,1064.2923333333335,
,,,,,,
adr4_197,13,1498,100,2091.6666666666665,23.62355555555556,
adr4_197,13,1498,1000,2041.3333333333333,274.8884444444444,
adr4_197,13,1498,50,2107.6666666666665,10.63011111111111,
adr4_197,13,1498,500,2065.3333333333335,95.88455555555554,
,,,,,,
alu-v0_27,5,17,100,18.0,0.07311111111111111,
alu-v0_27,5,17,1000,18.0,1.1006666666666665,
alu-v0_27,5,17,50,18.0,0.03588888888888889,
alu-v0_27,5,17,500,18.0,0.5167777777777779,
,,,,,,
co14_215,15,7840,100,9348.333333333334,174.37822222222223,
co14_215,15,7840,1000,9222.666666666666,1703.3722222222223,
co14_215,15,7840,50,9409.333333333334,79.63833333333332,
co14_215,15,7840,500,9257.666666666666,802.3702222222222,
,,,,,,
cycle10_2_110,12,2648,100,3441.3333333333335,38.94111111111111,
cycle10_2_110,12,2648,1000,3420.6666666666665,284.4032222222222,
cycle10_2_110,12,2648,50,3446.0,19.173111111111112,
cycle10_2_110,12,2648,500,3420.6666666666665,170.01044444444446,
,,,,,,
decod24-v2_43,4,22,100,18.0,0.03433333333333334,
decod24-v2_43,4,22,1000,18.0,0.3825555555555556,
decod24-v2_43,4,22,50,18.0,0.01755555555555556,
decod24-v2_43,4,22,500,18.0,0.18188888888888888,
,,,,,,
ising_model_10,10,90,100,0.0,0.029777777777777778,
ising_model_10,10,90,1000,0.0,0.02155555555555556,
ising_model_10,10,90,50,0.0,0.02688888888888889,
ising_model_10,10,90,500,0.0,0.025333333333333333,
,,,,,,
ising_model_13,13,120,100,0.0,0.024111111111111114,
ising_model_13,13,120,1000,0.0,0.019888888888888887,
ising_model_13,13,120,50,0.0,0.01988888888888889,
ising_model_13,13,120,500,0.0,0.019444444444444445,
,,,,,,
ising_model_16,16,150,100,0.0,0.28144444444444444,
ising_model_16,16,150,1000,0.0,0.2648888888888889,
ising_model_16,16,150,50,0.0,0.2708888888888889,
ising_model_16,16,150,500,0.0,0.32477777777777783,
,,,,,,
misex1_241,15,2100,100,2564.0,21.78211111111111,
misex1_241,15,2100,1000,2496.0,205.07288888888888,
misex1_241,15,2100,50,2590.0,11.155222222222221,
misex1_241,15,2100,500,2514.6666666666665,105.33144444444444,
,,,,,,
mod5mils_65,5,16,100,12.0,0.04399999999999999,
mod5mils_65,5,16,1000,12.0,0.47022222222222226,
mod5mils_65,5,16,50,12.0,0.025777777777777774,
mod5mils_65,5,16,500,12.0,0.25800000000000006,
,,,,,,
qft_10,10,90,100,88.0,3.0376666666666665,
qft_10,10,90,1000,87.0,24.07144444444445,
qft_10,10,90,50,89.33333333333333,1.761222222222222,
qft_10,10,90,500,87.0,15.058333333333334,
,,,,,,
qft_13,13,156,100,171.66666666666666,8.097111111111111,
qft_13,13,156,1000,167.66666666666666,71.27122222222222,
qft_13,13,156,50,172.33333333333334,4.7203333333333335,
qft_13,13,156,500,168.33333333333334,31.109222222222222,
,,,,,,
qft_16,16,240,100,279.3333333333333,17.548666666666666,
qft_16,16,240,1000,272.6666666666667,160.20055555555552,
qft_16,16,240,50,281.0,11.363000000000001,
qft_16,16,240,500,274.6666666666667,84.47066666666667,
,,,,,,
qft_20,20,380,100,472.0,43.93655555555556,
qft_20,20,380,1000,459.3333333333333,394.94155555555557,
qft_20,20,380,50,476.0,23.84411111111111,
qft_20,20,380,500,462.0,202.68877777777777,
,,,,,,
radd_250,13,1405,100,1927.6666666666667,17.760444444444445,
radd_250,13,1405,1000,1892.3333333333333,208.4017777777778,
radd_250,13,1405,50,1933.3333333333333,9.780000000000001,
radd_250,13,1405,500,1902.6666666666667,106.555,
,,,,,,
rd73_252,10,2319,100,3268.6666666666665,26.807777777777776,
rd73_252,10,2319,1000,3211.0,341.55711111111106,
rd73_252,10,2319,50,3278.0,14.87188888888889,
rd73_252,10,2319,500,3230.0,159.29711111111112,
,,,,,,
rd84_142,15,154,100,174.0,6.500333333333334,
rd84_142,15,154,1000,170.0,57.77366666666668,
rd84_142,15,154,50,175.66666666666666,2.6591111111111108,
rd84_142,15,154,500,171.66666666666666,24.617111111111114,
,,,,,,
rd84_253,12,5960,100,9117.0,77.91422222222224,
rd84_253,12,5960,1000,9035.333333333334,626.1422222222221,
rd84_253,12,5960,50,9129.666666666666,52.135555555555555,
rd84_253,12,5960,500,9044.666666666666,355.65277777777777,
,,,,,,
sqn_258,10,4459,100,6074.0,40.37788888888889,
sqn_258,10,4459,1000,5994.0,542.1321111111112,
sqn_258,10,4459,50,6087.0,24.674333333333333,
sqn_258,10,4459,500,6013.333333333333,226.0487777777778,
,,,,,,
square_root_7,15,3089,100,4801.333333333333,54.580333333333336,
square_root_7,15,3089,1000,4572.666666666667,603.7661111111112,
square_root_7,15,3089,50,4837.666666666667,29.331444444444443,
square_root_7,15,3089,500,4629.0,338.25777777777773,
,,,,,,
sym6_145,7,1701,100,1940.3333333333333,12.399666666666667,
sym6_145,7,1701,1000,1914.6666666666667,137.34544444444447,
sym6_145,7,1701,50,1943.6666666666667,6.571666666666668,
sym6_145,7,1701,500,1923.0,59.086444444444446,
,,,,,,
sym9_193,11,15232,100,22106.0,242.19777777777776,
sym9_193,11,15232,1000,21828.0,2321.5033333333336,
sym9_193,11,15232,50,22202.666666666668,113.96133333333334,
sym9_193,11,15232,500,21923.333333333332,1078.0526666666665,
,,,,,,
z4_268,11,1343,100,1837.0,16.75033333333333,
z4_268,11,1343,1000,1779.3333333333333,193.43733333333336,
z4_268,11,1343,50,1844.6666666666667,9.453444444444445,
z4_268,11,1343,500,1802.6666666666667,102.6798888888889,
,,,,,,
