benchmark,qubits,gates,name,added gate,time(s)
4gt13_92,5,30,100,24.0,0.13,
4gt13_92,5,30,1000,24.0,1.542888888888889,
4gt13_92,5,30,50,24.0,0.06477777777777778,
4gt13_92,5,30,500,24.0,0.7914444444444445,
,,,,,,
4mod5-v1_22,5,11,100,6.333333333333333,0.09277777777777779,
4mod5-v1_22,5,11,1000,6.0,0.8488888888888888,
4mod5-v1_22,5,11,50,7.333333333333333,0.035333333333333335,
4mod5-v1_22,5,11,500,6.0,0.4258888888888889,
,,,,,,
9symml_195,11,15232,100,16302.333333333334,337.4216666666666,
9symml_195,11,15232,1000,16210.0,2860.297777777778,
9symml_195,11,15232,50,16360.333333333334,167.26444444444442,
9symml_195,11,15232,500,16240.0,1525.9133333333334,
,,,,,,
adr4_197,13,1498,100,1582.6666666666667,32.91255555555556,
adr4_197,13,1498,1000,1563.0,293.01833333333326,
adr4_197,13,1498,50,1588.3333333333333,16.990666666666666,
adr4_197,13,1498,500,1567.6666666666667,162.13511111111112,
,,,,,,
alu-v0_27,5,17,100,12.0,0.11422222222222222,
alu-v0_27,5,17,1000,12.0,1.3515555555555556,
alu-v0_27,5,17,50,12.0,0.048999999999999995,
alu-v0_27,5,17,500,12.0,0.8400000000000001,
,,,,,,
co14_215,15,7840,100,7983.666666666667,319.3163333333334,
co14_215,15,7840,1000,7855.666666666667,2426.6311111111113,
co14_215,15,7840,50,8075.333333333333,123.1948888888889,
co14_215,15,7840,500,7890.333333333333,1246.742777777778,
,,,,,,
cycle10_2_110,12,2648,100,2763.3333333333335,64.77711111111111,
cycle10_2_110,12,2648,1000,2715.0,731.4845555555555,
cycle10_2_110,12,2648,50,2778.6666666666665,25.540888888888887,
cycle10_2_110,12,2648,500,2728.0,334.85511111111117,
,,,,,,
decod24-v2_43,4,22,100,18.0,0.05277777777777778,
decod24-v2_43,4,22,1000,18.0,0.5958888888888889,
decod24-v2_43,4,22,50,18.0,0.026777777777777775,
decod24-v2_43,4,22,500,18.0,0.2717777777777778,
,,,,,,
ising_model_10,10,90,100,0.0,0.040777777777777774,
ising_model_10,10,90,1000,0.0,0.02266666666666667,
ising_model_10,10,90,50,0.0,0.01966666666666667,
ising_model_10,10,90,500,0.0,0.07244444444444445,
,,,,,,
ising_model_13,13,120,100,0.0,0.017777777777777774,
ising_model_13,13,120,1000,0.0,0.017555555555555553,
ising_model_13,13,120,50,0.0,0.018,
ising_model_13,13,120,500,0.0,0.01888888888888889,
,,,,,,
ising_model_16,16,150,100,0.0,0.17177777777777778,
ising_model_16,16,150,1000,0.0,0.126,
ising_model_16,16,150,50,0.0,0.10144444444444445,
ising_model_16,16,150,500,0.0,0.17266666666666663,
,,,,,,
misex1_241,15,2100,100,2052.0,34.578222222222216,
misex1_241,15,2100,1000,2019.6666666666667,423.7908888888889,
misex1_241,15,2100,50,2066.6666666666665,16.54188888888889,
misex1_241,15,2100,500,2032.0,179.11066666666667,
,,,,,,
mod5mils_65,5,16,100,12.0,0.054,
mod5mils_65,5,16,1000,12.0,0.628,
mod5mils_65,5,16,50,12.0,0.029,
mod5mils_65,5,16,500,12.0,0.25955555555555554,
,,,,,,
qft_10,10,90,100,47.0,5.118444444444444,
qft_10,10,90,1000,45.0,37.784111111111116,
qft_10,10,90,50,49.333333333333336,3.2286666666666664,
qft_10,10,90,500,45.333333333333336,18.78988888888889,
,,,,,,
qft_13,13,156,100,102.0,11.186,
qft_13,13,156,1000,98.33333333333333,111.91066666666669,
qft_13,13,156,50,105.0,5.709333333333333,
qft_13,13,156,500,99.33333333333333,59.439777777777785,
,,,,,,
qft_16,16,240,100,175.66666666666666,28.57233333333334,
qft_16,16,240,1000,167.66666666666666,285.4276666666667,
qft_16,16,240,50,178.33333333333334,15.970888888888888,
qft_16,16,240,500,171.33333333333334,126.61622222222223,
,,,,,,
qft_20,20,380,100,305.6666666666667,61.57677777777778,
qft_20,20,380,1000,287.6666666666667,709.8844444444444,
qft_20,20,380,50,310.3333333333333,25.948999999999998,
qft_20,20,380,500,294.0,321.57222222222225,
,,,,,,
