benchmark,qubits,original CNOT gates,algorithm name,added CNOT gates,time(s)
4gt13_92,5,30,100,0.0,0.0011111111111111111,
4gt13_92,5,30,1000,0.0,0.0012222222222222222,
4gt13_92,5,30,50,0.0,0.0011111111111111111,
4gt13_92,5,30,500,0.0,0.0009000000000000001,
,,,,,,
4mod5-v1_22,5,11,100,0.0,0.0024444444444444444,
4mod5-v1_22,5,11,1000,0.0,0.002777777777777778,
4mod5-v1_22,5,11,50,0.0,0.0026666666666666666,
4mod5-v1_22,5,11,500,0.0,0.0023,
,,,,,,
9symml_195,11,15232,100,5414.333333333333,138.06455555555556,
9symml_195,11,15232,1000,5204.333333333333,1135.1611111111113,
9symml_195,11,15232,50,5544.0,66.8591111111111,
9symml_195,11,15232,500,5283.6,611.1587,
,,,,,,
adr4_197,13,1498,100,520.6666666666666,15.195222222222222,
adr4_197,13,1498,1000,498.6666666666667,167.3748888888889,
adr4_197,13,1498,50,533.6666666666666,7.332555555555555,
adr4_197,13,1498,500,500.7,83.4114,
,,,,,,
alu-v0_27,5,17,100,3.0,0.03233333333333334,
alu-v0_27,5,17,1000,3.0,0.31244444444444447,
alu-v0_27,5,17,50,3.0,0.017555555555555557,
alu-v0_27,5,17,500,3.0,0.1829,
,,,,,,
co14_215,15,7840,100,2902.6666666666665,114.95044444444443,
co14_215,15,7840,1000,2685.0,1276.9204444444445,
co14_215,15,7840,50,2944.0,60.23033333333334,
co14_215,15,7840,500,2736.6,630.0647000000001,
,,,,,,
cycle10_2_110,12,2648,100,929.6666666666666,26.341777777777775,
cycle10_2_110,12,2648,1000,860.3333333333334,272.0776666666667,
cycle10_2_110,12,2648,50,942.6666666666666,13.998888888888889,
cycle10_2_110,12,2648,500,878.1,108.59639999999999,
,,,,,,
decod24-v2_43,4,22,100,0.0,0.0013333333333333333,
decod24-v2_43,4,22,1000,0.0,0.001,
decod24-v2_43,4,22,50,0.0,0.001,
decod24-v2_43,4,22,500,0.0,0.0011000000000000003,
,,,,,,
ising_model_10,10,90,100,0.0,0.004555555555555556,
ising_model_10,10,90,1000,0.0,0.008555555555555556,
ising_model_10,10,90,50,0.0,0.01588888888888889,
ising_model_10,10,90,500,0.0,0.0122,
,,,,,,
ising_model_13,13,120,100,0.0,0.005333333333333333,
ising_model_13,13,120,1000,0.0,0.005222222222222222,
ising_model_13,13,120,50,0.0,0.005333333333333333,
ising_model_13,13,120,500,0.0,0.005900000000000001,
,,,,,,
ising_model_16,16,150,100,0.0,0.06944444444444445,
ising_model_16,16,150,1000,0.0,0.10900000000000001,
ising_model_16,16,150,50,0.0,0.08444444444444445,
ising_model_16,16,150,500,0.0,0.10410000000000001,
,,,,,,
misex1_241,15,2100,100,469.3333333333333,14.09688888888889,
misex1_241,15,2100,1000,416.0,135.80855555555553,
misex1_241,15,2100,50,483.0,9.378111111111112,
misex1_241,15,2100,500,436.2,62.623900000000006,
,,,,,,
mod5mils_65,5,16,100,0.0,0.004777777777777778,
mod5mils_65,5,16,1000,0.0,0.005000000000000001,
mod5mils_65,5,16,50,0.0,0.004555555555555557,
mod5mils_65,5,16,500,0.0,0.0046,
,,,,,,
qft_10,10,90,100,28.333333333333332,2.8546666666666667,
qft_10,10,90,1000,27.0,23.337333333333333,
qft_10,10,90,50,29.333333333333332,1.4411111111111112,
qft_10,10,90,500,27.3,12.863900000000001,
,,,,,,
qft_13,13,156,100,64.0,7.860111111111111,
qft_13,13,156,1000,61.333333333333336,67.70366666666666,
qft_13,13,156,50,64.33333333333333,4.495444444444445,
qft_13,13,156,500,62.1,40.7926,
,,,,,,
qft_16,16,240,100,120.0,20.17877777777778,
qft_16,16,240,1000,115.0,175.29555555555555,
qft_16,16,240,50,120.66666666666667,12.880333333333335,
qft_16,16,240,500,115.5,85.50560000000002,
,,,,,,
qft_20,20,380,100,223.66666666666666,46.73122222222222,
qft_20,20,380,1000,216.33333333333334,401.0468888888888,
qft_20,20,380,50,226.33333333333334,25.458222222222226,
qft_20,20,380,500,219.0,217.29010000000002,
,,,,,,
radd_250,13,1405,100,540.0,17.919555555555558,
radd_250,13,1405,1000,516.0,145.93944444444443,
radd_250,13,1405,50,553.3333333333334,9.568666666666665,
radd_250,13,1405,500,526.2,72.1831,
,,,,,,
rd73_252,10,2319,100,812.6666666666666,26.190111111111108,
rd73_252,10,2319,1000,765.3333333333334,310.6834444444445,
rd73_252,10,2319,50,848.3333333333334,11.510444444444444,
rd73_252,10,2319,500,784.5,122.02630000000002,
,,,,,,
rd84_142,15,154,100,59.0,4.627222222222222,
rd84_142,15,154,1000,54.333333333333336,49.67722222222222,
rd84_142,15,154,50,60.333333333333336,2.460444444444444,
rd84_142,15,154,500,56.1,20.331599999999998,
,,,,,,
rd84_253,12,5960,100,2301.6666666666665,56.55555555555556,
rd84_253,12,5960,1000,2218.0,415.4668888888889,
rd84_253,12,5960,50,2332.0,29.94588888888889,
rd84_253,12,5960,500,2231.4,241.10759999999996,
,,,,,,
sqn_258,10,4459,100,1522.6666666666667,34.291666666666664,
sqn_258,10,4459,1000,1462.0,398.1532222222222,
sqn_258,10,4459,50,1539.3333333333333,16.192333333333334,
sqn_258,10,4459,500,1485.3,176.9976,
,,,,,,
square_root_7,15,3089,100,822.0,55.42177777777777,
square_root_7,15,3089,1000,772.3333333333334,451.06600000000003,
square_root_7,15,3089,50,860.6666666666666,27.51344444444445,
square_root_7,15,3089,500,777.0,222.7886,
,,,,,,
sym6_145,7,1701,100,497.0,9.181333333333335,
sym6_145,7,1701,1000,450.6666666666667,113.74411111111111,
sym6_145,7,1701,50,497.0,5.426333333333333,
sym6_145,7,1701,500,461.1,61.74159999999999,
,,,,,,
sym9_193,11,15232,100,5414.333333333333,136.21744444444445,
sym9_193,11,15232,1000,5204.333333333333,1144.9461111111111,
sym9_193,11,15232,50,5544.0,67.19588888888887,
sym9_193,11,15232,500,5283.6,615.2377,
,,,,,,
z4_268,11,1343,100,450.6666666666667,14.852666666666668,
z4_268,11,1343,1000,424.6666666666667,156.2696666666667,
z4_268,11,1343,50,453.6666666666667,8.449222222222222,
z4_268,11,1343,500,430.2,76.73849999999999,
,,,,,,
