benchmark,qubits,gates,name,added gate,time(s)
4gt13_92,5,30,100,24.0,0.2406,
4gt13_92,5,30,1000,24.0,1.8023,
4gt13_92,5,30,50,24.3,0.18980000000000002,
4gt13_92,5,30,500,24.0,1.1857000000000002,
,,,,,,
4mod5-v1_22,5,11,100,7.2,0.199,
4mod5-v1_22,5,11,1000,6.0,0.7986000000000002,
4mod5-v1_22,5,11,50,7.8,0.1076,
4mod5-v1_22,5,11,500,6.0,0.8206,
,,,,,,
9symml_195,11,15232,100,22059.6,545.3585,
9symml_195,11,15232,1000,21831.3,2782.6979999999994,
9symml_195,11,15232,50,22137.9,288.034,
9symml_195,11,15232,500,21841.5,2688.7349999999997,
,,,,,,
adr4_197,13,1498,100,2086.8,43.4442,
adr4_197,13,1498,1000,2038.8,296.7625,
adr4_197,13,1498,50,2092.2,23.969,
adr4_197,13,1498,500,2043.9,267.03270000000003,
,,,,,,
alu-v0_27,5,17,100,18.0,0.21580000000000005,
alu-v0_27,5,17,1000,18.0,1.0363,
alu-v0_27,5,17,50,18.0,0.11909999999999998,
alu-v0_27,5,17,500,18.0,0.9471000000000002,
,,,,,,
co14_215,15,7840,100,9456.0,489.77259999999995,
co14_215,15,7840,1000,9200.4,2820.9449999999997,
co14_215,15,7840,50,9600.0,216.38400000000001,
co14_215,15,7840,500,9234.9,2733.852,
,,,,,,
cycle10_2_110,12,2648,100,3437.4,99.2705,
cycle10_2_110,12,2648,1000,3410.1,527.8403000000001,
cycle10_2_110,12,2648,50,3451.2,51.03189999999999,
cycle10_2_110,12,2648,500,3416.4,497.30060000000003,
,,,,,,
decod24-v2_43,4,22,100,18.0,0.13269999999999998,
decod24-v2_43,4,22,1000,18.0,0.6033999999999999,
decod24-v2_43,4,22,50,18.0,0.07549999999999998,
decod24-v2_43,4,22,500,18.0,0.5862,
,,,,,,
ising_model_10,10,90,100,0.0,0.03450000000000001,
ising_model_10,10,90,1000,0.0,0.017400000000000006,
ising_model_10,10,90,50,0.0,0.031000000000000007,
ising_model_10,10,90,500,0.0,0.032200000000000006,
,,,,,,
ising_model_13,13,120,100,0.0,0.057000000000000016,
ising_model_13,13,120,1000,0.0,0.05340000000000002,
ising_model_13,13,120,50,0.0,0.10980000000000001,
ising_model_13,13,120,500,0.0,0.09380000000000001,
,,,,,,
ising_model_16,16,150,100,0.0,0.12249999999999998,
ising_model_16,16,150,1000,0.0,0.11660000000000001,
ising_model_16,16,150,50,0.0,0.22969999999999996,
ising_model_16,16,150,500,0.0,0.20980000000000004,
,,,,,,
misex1_241,15,2100,100,2569.5,50.7749,
misex1_241,15,2100,1000,2497.8,377.53669999999994,
misex1_241,15,2100,50,2588.7,26.4178,
misex1_241,15,2100,500,2515.2,369.16929999999996,
,,,,,,
mod5mils_65,5,16,100,12.0,0.20190000000000002,
mod5mils_65,5,16,1000,12.0,1.4239000000000002,
mod5mils_65,5,16,50,12.9,0.0925,
mod5mils_65,5,16,500,12.0,0.6923999999999999,
,,,,,,
qft_10,10,90,100,89.4,5.682,
qft_10,10,90,1000,87.3,30.480499999999996,
qft_10,10,90,50,89.7,2.8910000000000005,
qft_10,10,90,500,87.3,29.021000000000004,
,,,,,,
qft_13,13,156,100,171.0,20.1029,
qft_13,13,156,1000,168.0,125.532,
qft_13,13,156,50,172.8,10.409699999999999,
qft_13,13,156,500,169.2,87.965,
,,,,,,
qft_16,16,240,100,282.6,38.8127,
qft_16,16,240,1000,273.9,312.54110000000003,
qft_16,16,240,50,283.8,22.359699999999997,
qft_16,16,240,500,276.6,246.1417,
,,,,,,
qft_20,20,380,100,470.4,92.67360000000001,
qft_20,20,380,1000,458.1,552.1551000000001,
qft_20,20,380,50,476.1,48.5357,
qft_20,20,380,500,458.1,333.8783,
,,,,,,
radd_250,13,1405,100,1925.4,54.93830000000001,
radd_250,13,1405,1000,1895.1,323.9016000000001,
radd_250,13,1405,50,1950.0,22.180799999999998,
radd_250,13,1405,500,1900.8,275.6303,
,,,,,,
rd73_252,10,2319,100,3258.0,65.7749,
rd73_252,10,2319,1000,3214.2,441.04049999999995,
rd73_252,10,2319,50,3277.2,39.6308,
rd73_252,10,2319,500,3231.3,316.7649,
,,,,,,
rd84_142,15,154,100,173.7,8.6797,
rd84_142,15,154,1000,171.0,78.76259999999999,
rd84_142,15,154,50,174.3,4.7509999999999994,
rd84_142,15,154,500,172.2,49.736900000000006,
,,,,,,
rd84_253,12,5960,100,9139.2,208.8391,
rd84_253,12,5960,1000,8986.8,1457.9963999999998,
rd84_253,12,5960,50,9170.7,129.94850000000002,
rd84_253,12,5960,500,9030.0,1174.5292000000002,
,,,,,,
sqn_258,10,4459,100,6073.8,113.09580000000001,
