benchmark,qubits,original CNOT gates,algorithm name,added CNOT gates,time(s)
4gt13_92,5,30,1,0.0,0.0005555555555555556,
4gt13_92,5,30,3,0.0,0.0005555555555555556,
4gt13_92,5,30,7,0.0,0.0016666666666666666,
4gt13_92,5,30,9,0.0,0.001888888888888889,
4gt13_92,5,30,5,0.0,0.0006666666666666666,
,,,,,,
4mod5-v1_22,5,11,1,0.0,0.0017777777777777779,
4mod5-v1_22,5,11,3,0.0,0.0015555555555555557,
4mod5-v1_22,5,11,7,0.0,0.004,
4mod5-v1_22,5,11,9,0.0,0.003777777777777778,
4mod5-v1_22,5,11,5,0.0,0.0017777777777777779,
,,,,,,
9symml_195,11,15232,1,6594.666666666667,478.9191111111112,
9symml_195,11,15232,3,6785.333333333333,543.957,
9symml_195,11,15232,7,6747.333333333333,761.2196666666667,
9symml_195,11,15232,9,6827.0,738.7755555555557,
9symml_195,11,15232,5,6684.666666666667,550.6994444444443,
,,,,,,
adr4_197,13,1498,1,531.0,48.516444444444446,
adr4_197,13,1498,3,540.6666666666666,59.33366666666666,
adr4_197,13,1498,7,529.0,97.25177777777779,
adr4_197,13,1498,9,542.3333333333334,107.67055555555557,
adr4_197,13,1498,5,536.6666666666666,73.29277777777777,
,,,,,,
alu-v0_27,5,17,1,3.0,0.10655555555555554,
alu-v0_27,5,17,3,3.0,0.11577777777777779,
alu-v0_27,5,17,7,3.0,0.15811111111111112,
alu-v0_27,5,17,9,3.0,0.21444444444444447,
alu-v0_27,5,17,5,3.0,0.14022222222222222,
,,,,,,
co14_215,15,7840,1,3357.6666666666665,419.759,
co14_215,15,7840,3,3338.0,571.1204444444444,
co14_215,15,7840,7,3359.0,715.5173333333335,
co14_215,15,7840,9,3237.6666666666665,577.622,
co14_215,15,7840,5,3291.0,591.853111111111,
,,,,,,
cycle10_2_110,12,2648,1,1021.0,92.04577777777777,
cycle10_2_110,12,2648,3,1051.6666666666667,94.60688888888889,
cycle10_2_110,12,2648,7,1020.0,128.21211111111108,
cycle10_2_110,12,2648,9,1005.6666666666666,137.49622222222223,
cycle10_2_110,12,2648,5,1012.0,108.07288888888888,
,,,,,,
decod24-v2_43,4,22,1,0.0,0.0007777777777777778,
decod24-v2_43,4,22,3,0.0,0.00044444444444444447,
decod24-v2_43,4,22,7,0.0,0.0006666666666666666,
decod24-v2_43,4,22,9,0.0,0.0011111111111111111,
decod24-v2_43,4,22,5,0.0,0.0005555555555555556,
,,,,,,
ising_model_10,10,90,1,0.0,0.0007777777777777778,
ising_model_10,10,90,3,0.0,0.003222222222222222,
ising_model_10,10,90,7,0.0,0.0029999999999999996,
ising_model_10,10,90,9,0.0,0.005444444444444443,
ising_model_10,10,90,5,0.0,0.004555555555555556,
,,,,,,
ising_model_13,13,120,1,0.0,0.0026666666666666666,
ising_model_13,13,120,3,0.0,0.003666666666666667,
ising_model_13,13,120,7,0.0,0.005777777777777778,
ising_model_13,13,120,9,0.0,0.008555555555555556,
ising_model_13,13,120,5,0.0,0.004333333333333334,
,,,,,,
ising_model_16,16,150,1,0.0,0.014222222222222223,
ising_model_16,16,150,3,0.0,0.016333333333333335,
ising_model_16,16,150,7,0.0,0.07266666666666667,
ising_model_16,16,150,9,0.0,0.06633333333333334,
ising_model_16,16,150,5,0.0,0.06844444444444446,
,,,,,,
misex1_241,15,2100,1,494.3333333333333,44.217333333333336,
misex1_241,15,2100,3,503.0,47.164,
misex1_241,15,2100,7,487.6666666666667,58.965999999999994,
misex1_241,15,2100,9,496.3333333333333,69.11055555555555,
misex1_241,15,2100,5,490.0,51.001,
,,,,,,
mod5mils_65,5,16,1,0.0,0.0014444444444444446,
mod5mils_65,5,16,3,0.0,0.0022222222222222222,
mod5mils_65,5,16,7,0.0,0.0025555555555555557,
mod5mils_65,5,16,9,0.0,0.002888888888888889,
mod5mils_65,5,16,5,0.0,0.003777777777777778,
,,,,,,
qft_10,10,90,1,27.666666666666668,5.364111111111111,
qft_10,10,90,3,27.0,7.696,
qft_10,10,90,7,27.0,11.66088888888889,
qft_10,10,90,9,27.0,14.826222222222222,
qft_10,10,90,5,27.0,8.818222222222223,
,,,,,,
qft_13,13,156,1,65.0,14.731111111111112,
qft_13,13,156,3,63.333333333333336,26.698333333333334,
qft_13,13,156,7,64.33333333333333,46.43633333333334,
qft_13,13,156,9,62.666666666666664,43.50977777777777,
qft_13,13,156,5,63.666666666666664,31.230222222222224,
,,,,,,
qft_16,16,240,1,119.0,27.17722222222222,
