benchmark,qubits,original CNOT gates,algorithm name,added CNOT gates,time(s)
4gt13_92,5,30,1,24.0,0.47,
4gt13_92,5,30,3,24.0,0.3401111111111111,
4gt13_92,5,30,7,24.0,0.44699999999999995,
4gt13_92,5,30,9,24.0,0.49222222222222217,
4gt13_92,5,30,5,24.0,0.4194444444444445,
,,,,,,
4mod5-v1_22,5,11,1,6.0,0.2644444444444444,
4mod5-v1_22,5,11,3,6.0,0.18466666666666667,
4mod5-v1_22,5,11,7,6.0,0.16788888888888887,
4mod5-v1_22,5,11,9,6.0,0.1741111111111111,
4mod5-v1_22,5,11,5,6.0,0.2581111111111111,
,,,,,,
9symml_195,11,15232,1,29226.666666666668,683.6138888888888,
9symml_195,11,15232,3,23097.666666666668,587.06,
9symml_195,11,15232,7,21723.666666666668,1108.1491111111109,
9symml_195,11,15232,9,22204.333333333332,879.4246666666666,
9symml_195,11,15232,5,22183.0,669.6541111111111,
,,,,,,
adr4_197,13,1498,1,2790.3333333333335,102.40799999999999,
adr4_197,13,1498,3,2251.0,65.47977777777777,
adr4_197,13,1498,7,2096.6666666666665,107.44666666666666,
adr4_197,13,1498,9,2097.0,118.60922222222221,
adr4_197,13,1498,5,2115.6666666666665,79.98888888888888,
,,,,,,
alu-v0_27,5,17,1,18.0,0.2914444444444444,
alu-v0_27,5,17,3,18.0,0.30877777777777776,
alu-v0_27,5,17,7,18.0,0.42166666666666663,
alu-v0_27,5,17,9,18.0,0.481,
alu-v0_27,5,17,5,18.0,0.43666666666666665,
,,,,,,
co14_215,15,7840,1,12678.0,536.259,
co14_215,15,7840,3,9445.0,600.8244444444443,
co14_215,15,7840,7,9152.333333333334,814.0803333333332,
co14_215,15,7840,9,9180.0,930.0915555555556,
co14_215,15,7840,5,9165.0,648.5677777777778,
,,,,,,
cycle10_2_110,12,2648,1,4071.0,144.15366666666665,
cycle10_2_110,12,2648,3,3568.3333333333335,119.01622222222221,
cycle10_2_110,12,2648,7,3375.3333333333335,144.34888888888887,
cycle10_2_110,12,2648,9,3295.0,192.01044444444443,
cycle10_2_110,12,2648,5,3422.6666666666665,142.733,
,,,,,,
decod24-v2_43,4,22,1,18.0,0.1627777777777778,
decod24-v2_43,4,22,3,18.0,0.13744444444444445,
decod24-v2_43,4,22,7,18.0,0.17188888888888887,
decod24-v2_43,4,22,9,18.0,0.17133333333333334,
decod24-v2_43,4,22,5,18.0,0.15566666666666665,
,,,,,,
ising_model_10,10,90,1,0.0,0.003444444444444445,
ising_model_10,10,90,3,0.0,0.006333333333333334,
ising_model_10,10,90,7,0.0,0.0030000000000000005,
ising_model_10,10,90,9,0.0,0.035,
ising_model_10,10,90,5,0.0,0.008777777777777777,
,,,,,,
ising_model_13,13,120,1,0.0,0.015222222222222224,
ising_model_13,13,120,3,0.0,0.026111111111111113,
ising_model_13,13,120,7,0.0,0.03177777777777778,
ising_model_13,13,120,9,0.0,0.026555555555555554,
ising_model_13,13,120,5,0.0,0.03744444444444445,
,,,,,,
ising_model_16,16,150,1,38.0,9.567333333333332,
ising_model_16,16,150,3,37.0,11.169222222222222,
ising_model_16,16,150,7,33.666666666666664,13.133333333333335,
ising_model_16,16,150,9,36.0,19.531666666666666,
ising_model_16,16,150,5,33.333333333333336,14.913666666666668,
,,,,,,
misex1_241,15,2100,1,3190.6666666666665,73.81477777777778,
misex1_241,15,2100,3,2594.6666666666665,65.31155555555557,
misex1_241,15,2100,7,2474.3333333333335,101.58255555555556,
misex1_241,15,2100,9,2411.6666666666665,95.20877777777778,
misex1_241,15,2100,5,2567.3333333333335,92.72544444444443,
,,,,,,
mod5mils_65,5,16,1,12.0,0.3417777777777778,
mod5mils_65,5,16,3,12.0,0.1788888888888889,
mod5mils_65,5,16,7,12.0,0.18655555555555556,
mod5mils_65,5,16,9,12.0,0.18988888888888886,
mod5mils_65,5,16,5,12.0,0.1621111111111111,
,,,,,,
qft_10,10,90,1,105.33333333333333,10.64788888888889,
qft_10,10,90,3,90.33333333333333,9.52511111111111,
qft_10,10,90,7,87.0,16.121666666666663,
qft_10,10,90,9,89.0,16.23177777777778,
qft_10,10,90,5,87.66666666666667,14.13011111111111,
,,,,,,
qft_13,13,156,1,209.66666666666666,21.436222222222224,
qft_13,13,156,3,174.0,27.53233333333333,
qft_13,13,156,7,168.33333333333334,36.04266666666666,
qft_13,13,156,9,174.0,43.780555555555566,
qft_13,13,156,5,167.66666666666666,30.880111111111116,
,,,,,,
qft_16,16,240,1,344.3333333333333,34.43577777777778,
qft_16,16,240,3,287.0,45.78,
qft_16,16,240,7,267.3333333333333,76.872,
qft_16,16,240,9,272.6666666666667,81.39677777777779,
qft_16,16,240,5,270.3333333333333,57.50933333333334,
,,,,,,
radd_250,13,1405,1,2600.6666666666665,71.519,
radd_250,13,1405,3,2086.3333333333335,61.01533333333334,
