benchmark,qubits,original CNOT gates,algorithm name,added CNOT gates,time(s)
4gt13_92,5,30,1,24.0,0.618,
4gt13_92,5,30,3,24.0,0.648,
4gt13_92,5,30,7,24.0,0.6203333333333334,
4gt13_92,5,30,9,24.0,0.6746666666666666,
4gt13_92,5,30,5,24.0,0.6872222222222222,
,,,,,,
4mod5-v1_22,5,11,1,6.0,0.39222222222222225,
4mod5-v1_22,5,11,3,6.0,0.23233333333333336,
4mod5-v1_22,5,11,7,6.0,0.23644444444444446,
4mod5-v1_22,5,11,9,6.0,0.3751111111111111,
4mod5-v1_22,5,11,5,6.0,0.2951111111111111,
,,,,,,
9symml_195,11,15232,1,29310.333333333332,710.0055555555555,
9symml_195,11,15232,3,23145.333333333332,686.7182222222222,
9symml_195,11,15232,7,21753.0,1206.7486666666668,
9symml_195,11,15232,9,22182.0,1072.3550000000002,
9symml_195,11,15232,5,21923.333333333332,1064.2923333333335,
,,,,,,
adr4_197,13,1498,1,2651.6666666666665,79.64233333333334,
adr4_197,13,1498,3,2182.0,79.14577777777777,
adr4_197,13,1498,7,2059.3333333333335,106.32544444444446,
adr4_197,13,1498,9,2069.3333333333335,116.49244444444444,
adr4_197,13,1498,5,2065.3333333333335,95.88455555555554,
,,,,,,
alu-v0_27,5,17,1,18.0,0.6193333333333334,
alu-v0_27,5,17,3,18.0,0.3533333333333333,
alu-v0_27,5,17,7,18.0,0.6985555555555556,
alu-v0_27,5,17,9,18.0,0.6882222222222222,
alu-v0_27,5,17,5,18.0,0.5167777777777779,
,,,,,,
co14_215,15,7840,1,13073.0,605.9804444444445,
co14_215,15,7840,3,9733.666666666666,593.3007777777779,
co14_215,15,7840,7,9330.0,1198.8817777777776,
co14_215,15,7840,9,9312.666666666666,1218.2265555555555,
co14_215,15,7840,5,9257.666666666666,802.3702222222222,
,,,,,,
cycle10_2_110,12,2648,1,4118.666666666667,152.14022222222223,
cycle10_2_110,12,2648,3,3585.6666666666665,157.64011111111114,
cycle10_2_110,12,2648,7,3381.3333333333335,209.4556666666667,
cycle10_2_110,12,2648,9,3300.0,188.6338888888889,
cycle10_2_110,12,2648,5,3420.6666666666665,170.01044444444446,
,,,,,,
decod24-v2_43,4,22,1,18.0,0.18377777777777776,
decod24-v2_43,4,22,3,18.0,0.14755555555555555,
decod24-v2_43,4,22,7,18.0,0.2748888888888889,
decod24-v2_43,4,22,9,18.0,0.18977777777777777,
decod24-v2_43,4,22,5,18.0,0.18188888888888888,
,,,,,,
ising_model_10,10,90,1,0.0,0.028111111111111118,
ising_model_10,10,90,3,0.0,0.021111111111111115,
ising_model_10,10,90,7,0.0,0.06877777777777777,
ising_model_10,10,90,9,0.0,0.04333333333333334,
ising_model_10,10,90,5,0.0,0.025333333333333333,
,,,,,,
ising_model_13,13,120,1,0.0,0.019666666666666666,
ising_model_13,13,120,3,0.0,0.03411111111111111,
ising_model_13,13,120,7,0.0,0.035777777777777776,
ising_model_13,13,120,9,0.0,0.03255555555555556,
ising_model_13,13,120,5,0.0,0.019444444444444445,
,,,,,,
ising_model_16,16,150,1,0.0,0.17533333333333329,
ising_model_16,16,150,3,0.0,0.2946666666666667,
ising_model_16,16,150,7,0.0,0.4511111111111111,
ising_model_16,16,150,9,0.0,0.3488888888888889,
ising_model_16,16,150,5,0.0,0.32477777777777783,
,,,,,,
misex1_241,15,2100,1,3016.3333333333335,115.593,
misex1_241,15,2100,3,2575.3333333333335,89.62622222222222,
misex1_241,15,2100,7,2454.0,123.51622222222221,
misex1_241,15,2100,9,2402.6666666666665,128.10133333333334,
misex1_241,15,2100,5,2514.6666666666665,105.33144444444444,
,,,,,,
mod5mils_65,5,16,1,12.0,0.366,
mod5mils_65,5,16,3,12.0,0.2511111111111111,
mod5mils_65,5,16,7,12.0,0.27922222222222226,
mod5mils_65,5,16,9,12.0,0.21855555555555556,
mod5mils_65,5,16,5,12.0,0.25800000000000006,
,,,,,,
qft_10,10,90,1,101.0,13.977444444444444,
qft_10,10,90,3,90.0,12.248,
qft_10,10,90,7,87.0,13.007777777777777,
qft_10,10,90,9,87.0,16.298555555555552,
qft_10,10,90,5,87.0,15.058333333333334,
,,,,,,
qft_13,13,156,1,214.0,22.163555555555554,
qft_13,13,156,3,172.33333333333334,38.906555555555556,
qft_13,13,156,7,168.0,38.03888888888889,
qft_13,13,156,9,169.66666666666666,52.533888888888896,
qft_13,13,156,5,168.33333333333334,31.109222222222222,
,,,,,,
qft_16,16,240,1,352.6666666666667,47.498333333333335,
qft_16,16,240,3,287.0,88.76622222222223,
qft_16,16,240,7,271.3333333333333,92.38877777777778,
qft_16,16,240,9,284.3333333333333,110.50855555555555,
qft_16,16,240,5,274.6666666666667,84.47066666666667,
,,,,,,
qft_20,20,380,1,585.0,78.26633333333332,
qft_20,20,380,3,485.6666666666667,156.944,
qft_20,20,380,7,453.0,243.05644444444442,
qft_20,20,380,9,485.3333333333333,210.70633333333333,
qft_20,20,380,5,462.0,202.68877777777777,
,,,,,,
radd_250,13,1405,1,2450.6666666666665,79.36255555555557,
radd_250,13,1405,3,2000.0,80.45833333333333,
radd_250,13,1405,7,1885.3333333333333,111.52855555555556,
radd_250,13,1405,9,1871.6666666666667,100.85955555555557,
radd_250,13,1405,5,1902.6666666666667,106.555,
,,,,,,
rd73_252,10,2319,1,4104.333333333333,92.55044444444447,
rd73_252,10,2319,3,3378.3333333333335,117.69588888888887,
rd73_252,10,2319,7,3199.3333333333335,167.95466666666667,
rd73_252,10,2319,9,3181.0,151.79799999999997,
rd73_252,10,2319,5,3230.0,159.29711111111112,
,,,,,,
rd84_142,15,154,1,182.0,25.311444444444447,
rd84_142,15,154,3,172.0,20.970111111111112,
rd84_142,15,154,7,172.0,28.119333333333334,
rd84_142,15,154,9,169.66666666666666,26.730222222222228,
rd84_142,15,154,5,171.66666666666666,24.617111111111114,
,,,,,,
rd84_253,12,5960,1,12166.0,323.80322222222225,
rd84_253,12,5960,3,9577.0,337.56522222222225,
rd84_253,12,5960,7,8992.333333333334,481.7036666666667,
rd84_253,12,5960,9,9027.0,505.64500000000004,
rd84_253,12,5960,5,9044.666666666666,355.65277777777777,
,,,,,,
sqn_258,10,4459,1,7607.0,223.22022222222222,
sqn_258,10,4459,3,6364.0,221.29555555555555,
sqn_258,10,4459,7,6014.0,229.93233333333333,
sqn_258,10,4459,9,5976.0,238.70522222222223,
sqn_258,10,4459,5,6013.333333333333,226.0487777777778,
,,,,,,
square_root_7,15,3089,1,5961.0,269.54755555555556,
square_root_7,15,3089,3,4948.333333333333,211.81122222222223,
square_root_7,15,3089,7,4732.0,405.49388888888893,
square_root_7,15,3089,9,4927.666666666667,341.9477777777778,
square_root_7,15,3089,5,4629.0,338.25777777777773,
,,,,,,
sym6_145,7,1701,1,2041.0,61.24144444444445,
sym6_145,7,1701,3,1947.3333333333333,67.25644444444444,
sym6_145,7,1701,7,1886.3333333333333,63.49555555555556,
sym6_145,7,1701,9,1814.0,99.00322222222222,
sym6_145,7,1701,5,1923.0,59.086444444444446,
,,,,,,
sym9_193,11,15232,1,29310.333333333332,708.6027777777779,
sym9_193,11,15232,3,23145.333333333332,688.5778888888889,
sym9_193,11,15232,7,21753.0,1200.6184444444443,
sym9_193,11,15232,9,22182.0,1066.4803333333334,
sym9_193,11,15232,5,21923.333333333332,1078.0526666666665,
,,,,,,
z4_268,11,1343,1,2283.6666666666665,64.71055555555554,
z4_268,11,1343,3,1891.0,67.20377777777779,
z4_268,11,1343,7,1773.6666666666667,104.78466666666665,
z4_268,11,1343,9,1757.6666666666667,87.78355555555555,
z4_268,11,1343,5,1802.6666666666667,102.6798888888889,
,,,,,,
