benchmark,qubits,original CNOT gates,algorithm name,added CNOT gates,time(s)
4gt13_92,5,30,1,24.0,0.6145555555555555,
4gt13_92,5,30,3,24.0,0.554888888888889,
4gt13_92,5,30,7,24.0,0.823,
4gt13_92,5,30,9,24.0,0.7825555555555553,
4gt13_92,5,30,5,24.0,0.7914444444444445,
,,,,,,
4mod5-v1_22,5,11,1,6.0,0.3754444444444444,
4mod5-v1_22,5,11,3,6.0,0.37066666666666664,
4mod5-v1_22,5,11,7,6.0,0.3562222222222222,
4mod5-v1_22,5,11,9,6.0,0.4646666666666666,
4mod5-v1_22,5,11,5,6.0,0.4258888888888889,
,,,,,,
9symml_195,11,15232,1,18578.666666666668,1507.5868888888888,
9symml_195,11,15232,3,16792.333333333332,1230.0144444444443,
9symml_195,11,15232,7,16005.333333333334,1354.898888888889,
9symml_195,11,15232,9,15871.666666666666,1778.5288888888888,
9symml_195,11,15232,5,16240.0,1525.9133333333334,
,,,,,,
adr4_197,13,1498,1,1736.0,167.10599999999997,
adr4_197,13,1498,3,1623.3333333333333,120.87488888888889,
adr4_197,13,1498,7,1553.3333333333333,195.41122222222222,
adr4_197,13,1498,9,1540.3333333333333,155.09633333333332,
adr4_197,13,1498,5,1567.6666666666667,162.13511111111112,
,,,,,,
alu-v0_27,5,17,1,12.0,0.8364444444444445,
alu-v0_27,5,17,3,12.0,0.687111111111111,
alu-v0_27,5,17,7,12.0,0.9132222222222224,
alu-v0_27,5,17,9,12.0,0.8338888888888889,
alu-v0_27,5,17,5,12.0,0.8400000000000001,
,,,,,,
co14_215,15,7840,1,10019.333333333334,1221.1703333333335,
co14_215,15,7840,3,8065.666666666667,1294.7295555555554,
co14_215,15,7840,7,7720.666666666667,1627.2192222222222,
co14_215,15,7840,9,7766.666666666667,1927.0266666666669,
co14_215,15,7840,5,7890.333333333333,1246.742777777778,
,,,,,,
cycle10_2_110,12,2648,1,3029.3333333333335,233.53288888888892,
cycle10_2_110,12,2648,3,2822.0,230.04944444444442,
cycle10_2_110,12,2648,7,2699.0,272.1523333333333,
cycle10_2_110,12,2648,9,2649.3333333333335,387.206,
cycle10_2_110,12,2648,5,2728.0,334.85511111111117,
,,,,,,
decod24-v2_43,4,22,1,18.0,0.3823333333333333,
decod24-v2_43,4,22,3,18.0,0.3468888888888889,
decod24-v2_43,4,22,7,18.0,0.31288888888888894,
decod24-v2_43,4,22,9,18.0,0.4392222222222222,
decod24-v2_43,4,22,5,18.0,0.2717777777777778,
,,,,,,
ising_model_10,10,90,1,0.0,0.008666666666666668,
ising_model_10,10,90,3,0.0,0.027333333333333334,
ising_model_10,10,90,7,0.0,0.06566666666666668,
ising_model_10,10,90,9,0.0,0.07700000000000001,
ising_model_10,10,90,5,0.0,0.07244444444444445,
,,,,,,
ising_model_13,13,120,1,0.0,0.008888888888888889,
ising_model_13,13,120,3,0.0,0.010000000000000002,
ising_model_13,13,120,7,0.0,0.028,
ising_model_13,13,120,9,0.0,0.029222222222222222,
ising_model_13,13,120,5,0.0,0.01888888888888889,
,,,,,,
ising_model_16,16,150,1,0.0,0.06877777777777777,
ising_model_16,16,150,3,0.0,0.07155555555555555,
ising_model_16,16,150,7,0.0,0.211,
ising_model_16,16,150,9,0.0,0.35799999999999993,
ising_model_16,16,150,5,0.0,0.17266666666666663,
,,,,,,
misex1_241,15,2100,1,2164.0,176.01100000000002,
misex1_241,15,2100,3,2067.0,150.0185555555556,
misex1_241,15,2100,7,2000.3333333333333,186.1637777777778,
misex1_241,15,2100,9,1982.6666666666667,184.2018888888889,
misex1_241,15,2100,5,2032.0,179.11066666666667,
,,,,,,
mod5mils_65,5,16,1,12.0,0.3103333333333333,
mod5mils_65,5,16,3,12.0,0.24544444444444447,
mod5mils_65,5,16,7,12.0,0.41277777777777774,
mod5mils_65,5,16,9,12.0,0.36300000000000004,
mod5mils_65,5,16,5,12.0,0.25955555555555554,
,,,,,,
qft_10,10,90,1,47.666666666666664,13.531666666666666,
qft_10,10,90,3,45.0,15.392333333333333,
qft_10,10,90,7,48.666666666666664,23.28322222222222,
qft_10,10,90,9,48.333333333333336,24.959222222222227,
qft_10,10,90,5,45.333333333333336,18.78988888888889,
,,,,,,
qft_13,13,156,1,111.33333333333333,25.37877777777778,
qft_13,13,156,3,100.0,43.25877777777778,
qft_13,13,156,7,101.66666666666667,58.55955555555555,
qft_13,13,156,9,101.66666666666667,70.769,
qft_13,13,156,5,99.33333333333333,59.439777777777785,
,,,,,,
qft_16,16,240,1,203.33333333333334,57.07133333333333,
qft_16,16,240,3,174.0,92.61555555555556,
qft_16,16,240,7,169.66666666666666,136.77555555555557,
qft_16,16,240,9,176.33333333333334,136.60933333333335,
qft_16,16,240,5,171.33333333333334,126.61622222222223,
,,,,,,
qft_20,20,380,1,363.0,124.17933333333333,
qft_20,20,380,3,308.3333333333333,202.22244444444445,
qft_20,20,380,7,296.0,299.78555555555556,
qft_20,20,380,9,307.0,310.2354444444445,
qft_20,20,380,5,294.0,321.57222222222225,
,,,,,,
radd_250,13,1405,1,1638.3333333333333,158.44444444444446,
radd_250,13,1405,3,1521.0,110.25355555555556,
radd_250,13,1405,7,1458.0,166.61177777777777,
radd_250,13,1405,9,1442.6666666666667,176.48366666666666,
radd_250,13,1405,5,1470.0,140.3634444444444,
,,,,,,
rd73_252,10,2319,1,2685.0,189.17644444444443,
rd73_252,10,2319,3,2506.3333333333335,205.5901111111111,
rd73_252,10,2319,7,2404.0,246.55522222222226,
rd73_252,10,2319,9,2372.6666666666665,238.5308888888889,
rd73_252,10,2319,5,2436.6666666666665,265.0783333333333,
,,,,,,
rd84_142,15,154,1,147.66666666666666,44.026777777777774,
rd84_142,15,154,3,142.66666666666666,32.94044444444445,
rd84_142,15,154,7,140.33333333333334,53.09755555555556,
rd84_142,15,154,9,139.0,48.22511111111111,
rd84_142,15,154,5,142.0,44.263777777777776,
,,,,,,
rd84_253,12,5960,1,7428.0,638.2911111111111,
rd84_253,12,5960,3,6702.333333333333,623.4911111111111,
rd84_253,12,5960,7,6374.666666666667,706.9839999999999,
rd84_253,12,5960,9,6292.333333333333,805.8830000000002,
rd84_253,12,5960,5,6458.0,661.2077777777777,
,,,,,,
sqn_258,10,4459,1,5048.0,394.8863333333333,
sqn_258,10,4459,3,4703.666666666667,402.9732222222222,
sqn_258,10,4459,7,4554.666666666667,395.3842222222222,
sqn_258,10,4459,9,4476.333333333333,479.8508888888889,
sqn_258,10,4459,5,4600.666666666667,396.3175555555556,
,,,,,,
square_root_7,15,3089,1,3887.6666666666665,495.0768888888889,
square_root_7,15,3089,3,3423.3333333333335,414.7478888888889,
square_root_7,15,3089,7,3258.0,550.9854444444445,
