benchmark,qubits,original CNOT gates,algorithm name,added CNOT gates,time(s)
4gt13_92,5,30,1,0.0,0.0003333333333333333,
4gt13_92,5,30,3,0.0,0.0007777777777777778,
4gt13_92,5,30,7,0.0,0.0008888888888888889,
4gt13_92,5,30,9,0.0,0.0031111111111111114,
4gt13_92,5,30,5,0.0,0.0009000000000000001,
,,,,,,
4mod5-v1_22,5,11,1,0.0,0.001888888888888889,
4mod5-v1_22,5,11,3,0.0,0.0028888888888888896,
4mod5-v1_22,5,11,7,0.0,0.004777777777777778,
4mod5-v1_22,5,11,9,0.0,0.0034444444444444444,
4mod5-v1_22,5,11,5,0.0,0.0023,
,,,,,,
9symml_195,11,15232,1,5020.0,561.7952222222223,
9symml_195,11,15232,3,5215.333333333333,463.7659999999999,
9symml_195,11,15232,7,5578.333333333333,579.4305555555555,
9symml_195,11,15232,9,5611.0,700.789888888889,
9symml_195,11,15232,5,5283.6,611.1587,
,,,,,,
adr4_197,13,1498,1,491.6666666666667,56.929111111111105,
adr4_197,13,1498,3,495.3333333333333,73.72299999999998,
adr4_197,13,1498,7,506.3333333333333,111.11200000000001,
adr4_197,13,1498,9,516.3333333333334,125.16544444444445,
adr4_197,13,1498,5,500.7,83.4114,
,,,,,,
alu-v0_27,5,17,1,3.0,0.12544444444444444,
alu-v0_27,5,17,3,3.0,0.14611111111111114,
alu-v0_27,5,17,7,3.0,0.21766666666666667,
alu-v0_27,5,17,9,3.0,0.1958888888888889,
alu-v0_27,5,17,5,3.0,0.1829,
,,,,,,
co14_215,15,7840,1,2856.3333333333335,405.5003333333333,
co14_215,15,7840,3,2617.6666666666665,505.4402222222222,
co14_215,15,7840,7,2804.3333333333335,638.4618888888889,
co14_215,15,7840,9,2501.3333333333335,708.6021111111111,
co14_215,15,7840,5,2736.6,630.0647000000001,
,,,,,,
cycle10_2_110,12,2648,1,842.0,98.52422222222224,
cycle10_2_110,12,2648,3,889.6666666666666,103.82588888888888,
cycle10_2_110,12,2648,7,905.6666666666666,154.27833333333334,
cycle10_2_110,12,2648,9,922.6666666666666,151.21300000000002,
cycle10_2_110,12,2648,5,878.1,108.59639999999999,
,,,,,,
decod24-v2_43,4,22,1,0.0,0.0016666666666666666,
decod24-v2_43,4,22,3,0.0,0.002111111111111111,
decod24-v2_43,4,22,7,0.0,0.0013333333333333337,
decod24-v2_43,4,22,9,0.0,0.0015555555555555557,
decod24-v2_43,4,22,5,0.0,0.0011000000000000003,
,,,,,,
ising_model_10,10,90,1,0.0,0.009222222222222222,
ising_model_10,10,90,3,0.0,0.004222222222222222,
ising_model_10,10,90,7,0.0,0.014222222222222226,
ising_model_10,10,90,9,0.0,0.015111111111111112,
ising_model_10,10,90,5,0.0,0.0122,
,,,,,,
ising_model_13,13,120,1,0.0,0.002888888888888889,
ising_model_13,13,120,3,0.0,0.004666666666666667,
ising_model_13,13,120,7,0.0,0.005555555555555556,
ising_model_13,13,120,9,0.0,0.008222222222222223,
ising_model_13,13,120,5,0.0,0.005900000000000001,
,,,,,,
ising_model_16,16,150,1,0.0,0.045111111111111116,
ising_model_16,16,150,3,0.0,0.025555555555555554,
ising_model_16,16,150,7,0.0,0.1441111111111111,
ising_model_16,16,150,9,0.0,0.1121111111111111,
ising_model_16,16,150,5,0.0,0.10410000000000001,
,,,,,,
misex1_241,15,2100,1,416.3333333333333,56.78966666666666,
misex1_241,15,2100,3,467.0,65.71477777777778,
misex1_241,15,2100,7,438.0,96.22777777777779,
misex1_241,15,2100,9,417.0,82.904,
misex1_241,15,2100,5,436.2,62.623900000000006,
,,,,,,
mod5mils_65,5,16,1,0.0,0.0026666666666666666,
mod5mils_65,5,16,3,0.0,0.002888888888888889,
mod5mils_65,5,16,7,0.0,0.006222222222222223,
mod5mils_65,5,16,9,0.0,0.004333333333333333,
mod5mils_65,5,16,5,0.0,0.0046,
,,,,,,
qft_10,10,90,1,28.0,6.908111111111111,
qft_10,10,90,3,27.0,9.584,
qft_10,10,90,7,27.0,15.215111111111112,
qft_10,10,90,9,27.0,19.59422222222222,
qft_10,10,90,5,27.3,12.863900000000001,
,,,,,,
qft_13,13,156,1,64.33333333333333,18.021222222222224,
qft_13,13,156,3,63.333333333333336,24.729777777777777,
qft_13,13,156,7,62.666666666666664,45.25244444444444,
qft_13,13,156,9,62.0,52.10966666666666,
qft_13,13,156,5,62.1,40.7926,
,,,,,,
qft_16,16,240,1,124.33333333333333,34.29077777777778,
qft_16,16,240,3,119.0,65.34155555555556,
qft_16,16,240,7,115.0,105.63277777777778,
qft_16,16,240,9,117.33333333333333,132.54766666666666,
qft_16,16,240,5,115.5,85.50560000000002,
,,,,,,
qft_20,20,380,1,249.0,59.88433333333333,
qft_20,20,380,3,224.0,140.65744444444445,
qft_20,20,380,7,221.0,243.51544444444446,
qft_20,20,380,9,223.66666666666666,309.76666666666665,
qft_20,20,380,5,219.0,217.29010000000002,
,,,,,,
radd_250,13,1405,1,508.0,58.56844444444445,
radd_250,13,1405,3,523.6666666666666,82.59277777777778,
radd_250,13,1405,7,544.3333333333334,103.72733333333333,
radd_250,13,1405,9,547.3333333333334,103.74000000000001,
radd_250,13,1405,5,526.2,72.1831,
,,,,,,
rd73_252,10,2319,1,778.0,86.92144444444446,
rd73_252,10,2319,3,786.3333333333334,92.74655555555555,
rd73_252,10,2319,7,852.0,108.93844444444444,
rd73_252,10,2319,9,843.6666666666666,147.47722222222222,
rd73_252,10,2319,5,784.5,122.02630000000002,
,,,,,,
rd84_142,15,154,1,55.666666666666664,13.60588888888889,
rd84_142,15,154,3,56.333333333333336,18.773999999999997,
rd84_142,15,154,7,57.0,28.885888888888886,
rd84_142,15,154,9,56.666666666666664,34.15311111111111,
rd84_142,15,154,5,56.1,20.331599999999998,
,,,,,,
rd84_253,12,5960,1,2218.6666666666665,211.34255555555555,
rd84_253,12,5960,3,2259.3333333333335,219.6558888888889,
rd84_253,12,5960,7,2342.6666666666665,377.54766666666666,
rd84_253,12,5960,9,2396.0,375.4167777777777,
rd84_253,12,5960,5,2231.4,241.10759999999996,
,,,,,,
sqn_258,10,4459,1,1365.0,145.9831111111111,
