benchmark,qubits,original CNOT gates,algorithm name,added CNOT gates,time(s)
4gt13_92,5,30,1,24.0,1.7698,
4gt13_92,5,30,3,24.0,1.825,
4gt13_92,5,30,7,24.0,2.5364,
4gt13_92,5,30,9,24.0,1.9647,
4gt13_92,5,30,5,24.0,1.1857000000000002,
,,,,,,
4mod5-v1_22,5,11,1,7.5,0.6006000000000001,
4mod5-v1_22,5,11,3,6.0,0.5443,
4mod5-v1_22,5,11,7,6.0,0.958,
4mod5-v1_22,5,11,9,6.0,1.0094999999999998,
4mod5-v1_22,5,11,5,6.0,0.8206,
,,,,,,
9symml_195,11,15232,1,29263.2,1669.902,
9symml_195,11,15232,3,23091.0,1528.6690000000003,
9symml_195,11,15232,7,21730.5,3277.8520000000003,
9symml_195,11,15232,9,22175.1,2728.004,
9symml_195,11,15232,5,21841.5,2688.7349999999997,
,,,,,,
adr4_197,13,1498,1,2689.2,155.728,
adr4_197,13,1498,3,2182.8,167.12539999999998,
adr4_197,13,1498,7,2053.2,291.4915,
adr4_197,13,1498,9,2061.0,341.71020000000004,
adr4_197,13,1498,5,2043.9,267.03270000000003,
,,,,,,
alu-v0_27,5,17,1,18.0,1.1965999999999997,
alu-v0_27,5,17,3,18.0,1.0441,
alu-v0_27,5,17,7,18.0,1.3001,
alu-v0_27,5,17,9,18.0,1.3455,
alu-v0_27,5,17,5,18.0,0.9471000000000002,
,,,,,,
co14_215,15,7840,1,13124.1,1769.6069,
co14_215,15,7840,3,9670.5,1802.27,
co14_215,15,7840,7,9296.4,2458.424,
co14_215,15,7840,9,9330.9,2960.6659999999997,
co14_215,15,7840,5,9234.9,2733.852,
,,,,,,
cycle10_2_110,12,2648,1,4110.3,445.2739,
cycle10_2_110,12,2648,3,3571.8,491.7950000000001,
cycle10_2_110,12,2648,7,3385.5,637.0782,
cycle10_2_110,12,2648,9,3299.1,593.5393,
cycle10_2_110,12,2648,5,3416.4,497.30060000000003,
,,,,,,
decod24-v2_43,4,22,1,18.0,0.35440000000000005,
decod24-v2_43,4,22,3,18.0,0.28,
decod24-v2_43,4,22,7,18.0,0.8158,
decod24-v2_43,4,22,9,18.0,0.5334000000000001,
decod24-v2_43,4,22,5,18.0,0.5862,
,,,,,,
ising_model_10,10,90,1,0.0,0.031799999999999995,
ising_model_10,10,90,3,0.0,0.0341,
ising_model_10,10,90,7,0.0,0.05229999999999999,
ising_model_10,10,90,9,0.0,0.0261,
ising_model_10,10,90,5,0.0,0.032200000000000006,
,,,,,,
ising_model_13,13,120,1,0.0,0.0683,
ising_model_13,13,120,3,0.0,0.08120000000000001,
ising_model_13,13,120,7,0.0,0.1728,
ising_model_13,13,120,9,0.0,0.0517,
ising_model_13,13,120,5,0.0,0.09380000000000001,
,,,,,,
ising_model_16,16,150,1,0.0,0.3655,
ising_model_16,16,150,3,0.0,0.20800000000000002,
ising_model_16,16,150,7,0.0,0.3506,
ising_model_16,16,150,9,0.0,0.5562,
ising_model_16,16,150,5,0.0,0.20980000000000004,
,,,,,,
misex1_241,15,2100,1,3021.6,330.4752,
misex1_241,15,2100,3,2571.0,352.98730000000006,
misex1_241,15,2100,7,2455.2,332.34180000000003,
misex1_241,15,2100,9,2399.7,383.2877,
misex1_241,15,2100,5,2515.2,369.16929999999996,
,,,,,,
mod5mils_65,5,16,1,12.0,0.9513999999999999,
mod5mils_65,5,16,3,12.0,0.32180000000000003,
mod5mils_65,5,16,7,12.0,1.0504,
mod5mils_65,5,16,9,12.0,0.5598000000000001,
mod5mils_65,5,16,5,12.0,0.6923999999999999,
,,,,,,
qft_10,10,90,1,102.6,23.630900000000004,
qft_10,10,90,3,90.0,18.413800000000002,
qft_10,10,90,7,87.0,35.331,
qft_10,10,90,9,87.6,34.76180000000001,
qft_10,10,90,5,87.3,29.021000000000004,
,,,,,,
qft_13,13,156,1,211.2,69.1332,
qft_13,13,156,3,174.6,111.48060000000001,
qft_13,13,156,7,168.0,103.5778,
qft_13,13,156,9,170.1,138.26110000000003,
qft_13,13,156,5,169.2,87.965,
,,,,,,
qft_16,16,240,1,351.9,134.70999999999998,
qft_16,16,240,3,289.5,307.6626,
qft_16,16,240,7,271.8,238.36350000000002,
qft_16,16,240,9,279.6,291.2085,
qft_16,16,240,5,276.6,246.1417,
,,,,,,
qft_20,20,380,1,588.0,234.9966,
qft_20,20,380,3,482.7,562.5101999999999,
qft_20,20,380,7,456.3,631.9970000000001,
qft_20,20,380,9,481.8,332.5741,
qft_20,20,380,5,458.1,333.8783,
,,,,,,
radd_250,13,1405,1,2443.8,238.05499999999998,
radd_250,13,1405,3,2009.7,236.3962,
radd_250,13,1405,7,1897.8,270.9249,
radd_250,13,1405,9,1868.7,358.8454,
radd_250,13,1405,5,1900.8,275.6303,
,,,,,,
rd73_252,10,2319,1,4109.1,357.4353,
rd73_252,10,2319,3,3381.9,282.4093,
rd73_252,10,2319,7,3197.1,425.74089999999995,
rd73_252,10,2319,9,3175.8,246.77670000000003,
rd73_252,10,2319,5,3231.3,316.7649,
,,,,,,
rd84_142,15,154,1,181.2,69.3631,
rd84_142,15,154,3,172.5,64.12519999999999,
rd84_142,15,154,7,171.6,96.6192,
rd84_142,15,154,9,169.8,42.4302,
rd84_142,15,154,5,172.2,49.736900000000006,
,,,,,,
rd84_253,12,5960,1,12216.9,1056.8953,
rd84_253,12,5960,3,9600.0,816.3757,
rd84_253,12,5960,7,9003.3,1191.2516,
rd84_253,12,5960,9,9022.8,1792.7670000000003,
rd84_253,12,5960,5,9030.0,1174.5292000000002,
,,,,,,
sqn_258,10,4459,1,7631.4,607.1274,
sqn_258,10,4459,3,6334.8,568.7245,
sqn_258,10,4459,7,6004.5,727.2701999999998,
sqn_258,10,4459,9,5976.9,791.6850000000001,
sqn_258,10,4459,5,6018.0,716.9544,
,,,,,,
square_root_7,15,3089,1,5888.1,525.5876000000001,
square_root_7,15,3089,3,4994.7,458.98460000000006,
square_root_7,15,3089,7,4716.9,1057.2979,
square_root_7,15,3089,9,4902.0,1491.075,
square_root_7,15,3089,5,4634.4,834.6297000000002,
,,,,,,
sym6_145,7,1701,1,2043.6,213.12599999999998,
sym6_145,7,1701,3,1947.0,194.6257,
sym6_145,7,1701,7,1888.8,170.5363,
sym6_145,7,1701,9,1808.7,104.41309999999999,
sym6_145,7,1701,5,1920.3,164.76950000000002,
,,,,,,
sym9_193,11,15232,1,29263.2,1707.789,
sym9_193,11,15232,3,23091.0,1392.6026,
sym9_193,11,15232,7,21730.5,3242.2100000000005,
sym9_193,11,15232,9,22175.1,2428.157,
sym9_193,11,15232,5,21839.4,2600.8019999999997,
,,,,,,
z4_268,11,1343,1,2296.5,166.9859,
z4_268,11,1343,3,1902.0,102.48209999999999,
z4_268,11,1343,7,1778.4,312.9836,
z4_268,11,1343,9,1746.3,202.1277,
z4_268,11,1343,5,1807.5,194.11819999999997,
,,,,,,
